day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.07085
5,0.07039
6,0.06869
7,0.06586
8,0.06213
9,0.05782
10,0.05318
11,0.04845
12,0.04378
13,0.03932
14,0.03517
15,0.03147
16,0.02832
17,0.02575
18,0.02295
19,0.02088
20,0.01977
21,0.01871
22,0.01765
23,0.01661
24,0.01563
25,0.01476
26,0.01406
27,0.01351
28,0.01310
29,0.01274
30,0.01236
31,0.01190
32,0.01131
33,0.01056
34,0.00968
35,0.00871
36,0.00775
37,0.00692
38,0.00630
39,0.00596
40,0.00588
41,0.00599
42,0.00618
43,0.00631
44,0.00631
45,0.00614
46,0.00586
47,0.00555
48,0.00532
49,0.00519
50,0.00518
51,0.00524
52,0.00529
53,0.00520
54,0.00486
55,0.00446
56,0.00400
57,0.00351
58,0.00307
59,0.00268
60,0.00239
61,0.00218
62,0.00208
63,0.00207
64,0.00214
65,0.00227
66,0.00244
67,0.00259
68,0.00271
69,0.00277
70,0.00278
71,0.00275
72,0.00269
73,0.00259
74,0.00248
75,0.00235
76,0.00223
77,0.00212
78,0.00202
79,0.00191
80,0.00177
81,0.00160
82,0.00139
83,0.00114
84,0.00090
85,0.00071
86,0.00058
87,0.00057
88,0.00067
89,0.00106
90,0.00166
91,0.00214
92,0.00262
93,0.00306
94,0.00341
95,0.00364
96,0.00378
97,0.00386
98,0.00393
99,0.00406
100,0.00428
101,0.00460
102,0.00498
103,0.00537
104,0.00570
105,0.00595
106,0.00610
107,0.00619
108,0.00628
109,0.00642
110,0.00668
111,0.00708
112,0.00763
113,0.00834
114,0.00915
115,0.01002
116,0.01088
117,0.01168
118,0.01234
119,0.01283
120,0.01314
121,0.01329
122,0.01335
123,0.01346
124,0.01403
125,0.01525
126,0.01656
127,0.01827
128,0.02037
129,0.02290
130,0.02588
131,0.02934
132,0.03328
133,0.03760
134,0.04216
135,0.04678
136,0.05134
137,0.05578
138,0.06021
139,0.06480
140,0.06979
141,0.07537
142,0.08164
143,0.08863
144,0.09639
145,0.10495
146,0.11432
147,0.12435
148,0.13469
149,0.14489
150,0.15446
151,0.16314
152,0.17106
153,0.17879
154,0.18724
155,0.19743
156,0.21013
157,0.22561
158,0.24345
159,0.26263
160,0.29040
161,0.31428
162,0.32706
163,0.33816
164,0.34871
165,0.35927
166,0.37110
167,0.38422
168,0.39812
169,0.41185
170,0.42448
171,0.43562
172,0.44585
173,0.45710
174,0.47256
175,0.49634
176,0.53263
177,0.58453
178,0.65281
179,0.73458
180,0.82187
181,0.90327
182,0.96639
183,0.99994
184,0.99285
185,0.94655
186,0.87000
187,0.77653
188,0.67978
189,0.59031
190,0.51396
191,0.45222
192,0.40374
193,0.36616
194,0.33728
195,0.31478
196,0.29366
197,0.28154
198,0.27700
199,0.27380
200,0.27116
201,0.26888
202,0.26738
203,0.26779
204,0.27158
205,0.28010
206,0.29389
207,0.31195
208,0.33159
209,0.34877
210,0.35925
211,0.35992
212,0.35000
213,0.33131
214,0.30757
215,0.28311
216,0.26152
217,0.24472
218,0.23248
219,0.22360
220,0.21663
221,0.21050
222,0.20468
223,0.19922
224,0.19447
225,0.19083
226,0.18856
227,0.18767
228,0.18795
229,0.18902
230,0.19039
231,0.19145
232,0.19095
233,0.18838
234,0.18435
235,0.17924
236,0.17380
237,0.16889
238,0.16527
239,0.16343
240,0.16352
241,0.16530
242,0.16820
243,0.17141
244,0.17403
245,0.17534
246,0.17494
247,0.17296
248,0.16997
249,0.16678
250,0.16420
251,0.16270
252,0.16228
253,0.16253
254,0.16278
255,0.16244
256,0.16116
257,0.15891
258,0.15579
259,0.15199
260,0.14765
261,0.14285
262,0.13767
263,0.13233
264,0.12708
265,0.12234
266,0.11737
267,0.11384
268,0.11229
269,0.11131
270,0.11028
271,0.10899
272,0.10753
273,0.10608
274,0.10486
275,0.10395
276,0.10334
277,0.10299
278,0.10292
279,0.10321
280,0.10389
281,0.10491
282,0.10612
283,0.10727
284,0.10812
285,0.10855
286,0.10850
287,0.10803
288,0.10717
289,0.10602
290,0.10466
291,0.10317
292,0.10163
293,0.10009
294,0.09846
295,0.09664
296,0.09448
297,0.09195
298,0.08915
299,0.08631
300,0.08374
301,0.08177
302,0.08052
303,0.08126
304,0.08307
305,0.08573
306,0.08902
307,0.09260
308,0.09599
309,0.09862
310,0.09990
311,0.09957
312,0.09758
313,0.09425
314,0.09009
315,0.08569
316,0.08153
317,0.07788
318,0.07482
319,0.07234
320,0.07042
321,0.06912
322,0.06849
323,0.06852
324,0.06907
325,0.06982
326,0.07038
327,0.07038
328,0.06964
329,0.06819
330,0.06633
331,0.06435
332,0.06251
333,0.06095
334,0.05967
335,0.05861
336,0.05763
337,0.05583
338,0.05328
339,0.05095
340,0.04825
341,0.04543
342,0.04286
343,0.04086
344,0.03969
345,0.03943
346,0.04003
347,0.04135
348,0.04318
349,0.04538
350,0.04786
351,0.05057
352,0.05348
353,0.05656
354,0.05973
355,0.06288
356,0.06583
357,0.06832
358,0.07007
359,0.00000
360,0.00000
