day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00001
104,0.00003
105,0.00009
106,0.00023
107,0.00050
108,0.00100
109,0.00179
110,0.00291
111,0.00427
112,0.00567
113,0.00677
114,0.00730
115,0.00714
116,0.00641
117,0.00540
118,0.00447
119,0.00390
120,0.00382
121,0.00420
122,0.00487
123,0.00561
124,0.00630
125,0.00617
126,0.00549
127,0.00447
128,0.00332
129,0.00223
130,0.00136
131,0.00075
132,0.00040
133,0.00026
134,0.00032
135,0.00057
136,0.00107
137,0.00187
138,0.00295
139,0.00423
140,0.00555
141,0.00670
142,0.00753
143,0.00801
144,0.00825
145,0.00850
146,0.00902
147,0.01000
148,0.01147
149,0.01324
150,0.01498
151,0.01633
152,0.01704
153,0.01711
154,0.01682
155,0.01661
156,0.01699
157,0.01840
158,0.02102
159,0.02479
160,0.03227
161,0.04119
162,0.04821
163,0.05642
164,0.06622
165,0.07795
166,0.09183
167,0.10806
168,0.12689
169,0.14863
170,0.17346
171,0.20107
172,0.23055
173,0.26055
174,0.28993
175,0.31828
176,0.34621
177,0.37507
178,0.40649
179,0.44183
180,0.48181
181,0.52671
182,0.57611
183,0.62861
184,0.68180
185,0.73260
186,0.77799
187,0.81601
188,0.84653
189,0.87128
190,0.89308
191,0.91447
192,0.93653
193,0.95839
194,0.97777
195,0.99585
196,1.00000
197,0.99438
198,0.98448
199,0.97167
200,0.95597
201,0.93637
202,0.91155
203,0.88111
204,0.84624
205,0.80968
206,0.77521
207,0.74679
208,0.72768
209,0.71953
210,0.72170
211,0.73100
212,0.74233
213,0.75007
214,0.74988
215,0.74010
216,0.72202
217,0.69912
218,0.67561
219,0.65502
220,0.63931
221,0.62887
222,0.62334
223,0.62279
224,0.62797
225,0.64010
226,0.65911
227,0.68233
228,0.70447
229,0.71918
230,0.72132
231,0.69557
232,0.64655
233,0.60610
234,0.56646
235,0.53219
236,0.50649
237,0.49072
238,0.48411
239,0.48404
240,0.48677
241,0.48858
242,0.48677
243,0.48009
244,0.46859
245,0.45359
246,0.43693
247,0.42067
248,0.40686
249,0.39711
250,0.39215
251,0.39174
252,0.39483
253,0.40010
254,0.40630
255,0.41226
256,0.41676
257,0.41845
258,0.41609
259,0.40909
260,0.39772
261,0.38305
262,0.36638
263,0.34877
264,0.33092
265,0.31324
266,0.28790
267,0.26488
268,0.25206
269,0.24184
270,0.23436
271,0.22901
272,0.22441
273,0.21881
274,0.21062
275,0.19900
276,0.18403
277,0.16655
278,0.14776
279,0.12889
280,0.11104
281,0.09513
282,0.08194
283,0.07205
284,0.06575
285,0.06291
286,0.06297
287,0.06497
288,0.06775
289,0.07019
290,0.07155
291,0.07149
292,0.06994
293,0.06704
294,0.06310
295,0.05863
296,0.05429
297,0.05071
298,0.04830
299,0.04705
300,0.04652
301,0.04597
302,0.04329
303,0.03787
304,0.03273
305,0.02723
306,0.02214
307,0.01802
308,0.01509
309,0.01325
310,0.01226
311,0.01183
312,0.01181
313,0.01216
314,0.01289
315,0.01393
316,0.01510
317,0.01610
318,0.01654
319,0.01612
320,0.01473
321,0.01249
322,0.00978
323,0.00703
324,0.00462
325,0.00277
326,0.00152
327,0.00076
328,0.00038
329,0.00025
330,0.00030
331,0.00049
332,0.00083
333,0.00129
334,0.00180
335,0.00223
336,0.00247
337,0.00233
338,0.00178
339,0.00135
340,0.00101
341,0.00087
342,0.00096
343,0.00126
344,0.00169
345,0.00212
346,0.00243
347,0.00250
348,0.00231
349,0.00191
350,0.00141
351,0.00093
352,0.00054
353,0.00028
354,0.00013
355,0.00006
356,0.00002
357,0.00001
358,0.00000
359,0.00000
360,0.00000
