day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00001
53,0.00012
54,0.00071
55,0.00185
56,0.00360
57,0.00521
58,0.00551
59,0.00421
60,0.00229
61,0.00088
62,0.00024
63,0.00004
64,0.00001
65,0.00000
66,0.00002
67,0.00009
68,0.00041
69,0.00129
70,0.00291
71,0.00480
72,0.00594
73,0.00597
74,0.00580
75,0.00627
76,0.00722
77,0.00824
78,0.00969
79,0.01194
80,0.01409
81,0.01439
82,0.01190
83,0.00763
84,0.00369
85,0.00133
86,0.00045
87,0.00060
88,0.00199
89,0.00857
90,0.01926
91,0.02576
92,0.03029
93,0.03514
94,0.04216
95,0.04868
96,0.04966
97,0.04316
98,0.03207
99,0.02176
100,0.01661
101,0.01778
102,0.02328
103,0.02928
104,0.03273
105,0.03330
106,0.03256
107,0.03138
108,0.02981
109,0.02859
110,0.02887
111,0.03033
112,0.03062
113,0.02745
114,0.02164
115,0.01655
116,0.01430
117,0.01423
118,0.01424
119,0.01283
120,0.00997
121,0.00691
122,0.00494
123,0.00467
124,0.00871
125,0.01695
126,0.02398
127,0.03266
128,0.04560
129,0.06439
130,0.08655
131,0.11114
132,0.13565
133,0.15775
134,0.17687
135,0.19615
136,0.22138
137,0.25384
138,0.28517
139,0.30790
140,0.32869
141,0.35954
142,0.39932
143,0.43779
144,0.46973
145,0.49678
146,0.52412
147,0.56004
148,0.60497
149,0.64616
150,0.67547
151,0.70228
152,0.73835
153,0.77965
154,0.81069
155,0.82260
156,0.82499
157,0.83822
158,0.87076
159,0.91077
160,0.94311
161,0.96566
162,0.98488
163,0.99848
164,0.99505
165,0.96231
166,0.93032
167,0.89579
168,0.85040
169,0.79246
170,0.73528
171,0.69109
172,0.65950
173,0.63554
174,0.61441
175,0.58844
176,0.55245
177,0.50974
178,0.46650
179,0.42597
180,0.38948
181,0.35696
182,0.32685
183,0.29654
184,0.26388
185,0.22922
186,0.19532
187,0.16564
188,0.14265
189,0.12556
190,0.11205
191,0.10340
192,0.10167
193,0.10291
194,0.10081
195,0.09452
196,0.09582
197,0.10110
198,0.09933
199,0.08660
200,0.07363
201,0.06512
202,0.05929
203,0.05504
204,0.05513
205,0.06112
206,0.06805
207,0.06884
208,0.06269
209,0.05496
210,0.04909
211,0.04350
212,0.03641
213,0.02993
214,0.02783
215,0.03077
216,0.03505
217,0.03674
218,0.03592
219,0.03444
220,0.03276
221,0.02985
222,0.02618
223,0.02350
224,0.02351
225,0.02826
226,0.03890
227,0.05186
228,0.05847
229,0.05225
230,0.03612
231,0.01423
232,0.00628
233,0.00859
234,0.01243
235,0.01477
236,0.01476
237,0.01410
238,0.01514
239,0.01830
240,0.02165
241,0.02323
242,0.02341
243,0.02360
244,0.02350
245,0.02130
246,0.01651
247,0.01109
248,0.00757
249,0.00654
250,0.00652
251,0.00621
252,0.00625
253,0.00799
254,0.01148
255,0.01515
256,0.01704
257,0.01610
258,0.01276
259,0.00844
260,0.00457
261,0.00198
262,0.00068
263,0.00018
264,0.00004
265,0.00001
266,0.00000
267,0.00000
268,0.00001
269,0.00006
270,0.00032
271,0.00125
272,0.00345
273,0.00692
274,0.01012
275,0.01089
276,0.00862
277,0.00501
278,0.00213
279,0.00066
280,0.00015
281,0.00002
282,0.00000
283,0.00001
284,0.00008
285,0.00036
286,0.00115
287,0.00269
288,0.00458
289,0.00565
290,0.00502
291,0.00320
292,0.00150
293,0.00073
294,0.00100
295,0.00231
296,0.00421
297,0.00551
298,0.00521
299,0.00361
300,0.00189
301,0.00090
302,0.00147
303,0.00377
304,0.00523
305,0.00533
306,0.00401
307,0.00224
308,0.00093
309,0.00029
310,0.00006
311,0.00001
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00001
336,0.00007
337,0.00093
338,0.00406
339,0.00817
340,0.01229
341,0.01428
342,0.01319
343,0.00989
344,0.00604
345,0.00297
346,0.00115
347,0.00034
348,0.00008
349,0.00001
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
