day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00016
5,0.00004
6,0.00001
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00001
55,0.00003
56,0.00011
57,0.00031
58,0.00076
59,0.00157
60,0.00275
61,0.00407
62,0.00510
63,0.00537
64,0.00475
65,0.00351
66,0.00216
67,0.00111
68,0.00047
69,0.00018
70,0.00007
71,0.00008
72,0.00022
73,0.00059
74,0.00138
75,0.00274
76,0.00468
77,0.00687
78,0.00873
79,0.00965
80,0.00929
81,0.00779
82,0.00567
83,0.00358
84,0.00194
85,0.00090
86,0.00035
87,0.00012
88,0.00003
89,0.00003
90,0.00013
91,0.00040
92,0.00101
93,0.00223
94,0.00430
95,0.00723
96,0.01059
97,0.01345
98,0.01483
99,0.01428
100,0.01219
101,0.00960
102,0.00760
103,0.00668
104,0.00668
105,0.00712
106,0.00766
107,0.00829
108,0.00921
109,0.01064
110,0.01267
111,0.01526
112,0.01818
113,0.02088
114,0.02268
115,0.02302
116,0.02188
117,0.01993
118,0.01824
119,0.01760
120,0.01811
121,0.01925
122,0.02045
123,0.02138
124,0.02259
125,0.02461
126,0.02698
127,0.03002
128,0.03351
129,0.03751
130,0.04237
131,0.04842
132,0.05542
133,0.06242
134,0.06816
135,0.07211
136,0.07520
137,0.07988
138,0.08910
139,0.10488
140,0.12747
141,0.15552
142,0.18713
143,0.21602
144,0.24453
145,0.27279
146,0.30129
147,0.33047
148,0.35996
149,0.38788
150,0.41162
151,0.42982
152,0.44435
153,0.45895
154,0.47670
155,0.49826
156,0.52185
157,0.54559
158,0.56948
159,0.59573
160,0.64019
161,0.68496
162,0.71669
163,0.74814
164,0.78215
165,0.85354
166,0.92940
167,0.96611
168,0.98298
169,0.97191
170,0.93296
171,0.86752
172,0.80497
173,0.75696
174,0.72491
175,0.70201
176,0.68031
177,0.65669
178,0.63292
179,0.61167
180,0.59233
181,0.57032
182,0.54005
183,0.49915
184,0.45166
185,0.40524
186,0.36632
187,0.33789
188,0.31958
189,0.30888
190,0.30235
191,0.29659
192,0.28909
193,0.27914
194,0.26791
195,0.25688
196,0.24804
197,0.23920
198,0.22901
199,0.21835
200,0.20805
201,0.20034
202,0.19151
203,0.17996
204,0.16707
205,0.15499
206,0.14474
207,0.13604
208,0.12909
209,0.12485
210,0.12392
211,0.12518
212,0.12630
213,0.12571
214,0.12337
215,0.12015
216,0.11666
217,0.11278
218,0.10819
219,0.10290
220,0.09731
221,0.09176
222,0.08627
223,0.08089
224,0.07602
225,0.07243
226,0.07064
227,0.07024
228,0.06995
229,0.06835
230,0.06485
231,0.05768
232,0.05144
233,0.04918
234,0.04824
235,0.04841
236,0.04916
237,0.05035
238,0.05130
239,0.05117
240,0.04995
241,0.04786
242,0.04478
243,0.04029
244,0.03442
245,0.02766
246,0.02127
247,0.01651
248,0.01408
249,0.01381
250,0.01500
251,0.01683
252,0.01872
253,0.02029
254,0.02127
255,0.02166
256,0.02198
257,0.02307
258,0.02543
259,0.02851
260,0.03092
261,0.03125
262,0.02937
263,0.02629
264,0.02325
265,0.02082
266,0.01809
267,0.01645
268,0.01695
269,0.01903
270,0.02228
271,0.02595
272,0.02936
273,0.03185
274,0.03263
275,0.03118
276,0.02788
277,0.02407
278,0.02121
279,0.02000
280,0.02008
281,0.02057
282,0.02058
283,0.01966
284,0.01797
285,0.01638
286,0.01601
287,0.01734
288,0.01961
289,0.02102
290,0.02014
291,0.01683
292,0.01218
293,0.00773
294,0.00468
295,0.00361
296,0.00460
297,0.00738
298,0.01122
299,0.01501
300,0.01778
301,0.01937
302,0.02159
303,0.02555
304,0.02869
305,0.03073
306,0.03090
307,0.02923
308,0.02616
309,0.02213
310,0.01770
311,0.01374
312,0.01133
313,0.01120
314,0.01326
315,0.01652
316,0.01937
317,0.02059
318,0.01998
319,0.01828
320,0.01647
321,0.01494
322,0.01341
323,0.01149
324,0.00933
325,0.00752
326,0.00658
327,0.00650
328,0.00688
329,0.00728
330,0.00745
331,0.00734
332,0.00688
333,0.00605
334,0.00500
335,0.00414
336,0.00399
337,0.00570
338,0.00862
339,0.01036
340,0.01132
341,0.01136
342,0.01065
343,0.00939
344,0.00775
345,0.00596
346,0.00443
347,0.00367
348,0.00410
349,0.00572
350,0.00796
351,0.00987
352,0.01050
353,0.00952
354,0.00733
355,0.00479
356,0.00265
357,0.00124
358,0.00049
359,0.00000
360,0.00000
