day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00001
79,0.00004
80,0.00024
81,0.00088
82,0.00215
83,0.00364
84,0.00455
85,0.00456
86,0.00396
87,0.00353
88,0.00344
89,0.00278
90,0.00302
91,0.00467
92,0.00633
93,0.00774
94,0.01079
95,0.01796
96,0.03013
97,0.04455
98,0.05699
99,0.06829
100,0.08309
101,0.10013
102,0.11165
103,0.11599
104,0.12316
105,0.14397
106,0.17996
107,0.22511
108,0.27162
109,0.31532
110,0.36052
111,0.41787
112,0.49322
113,0.57839
114,0.65442
115,0.70491
116,0.72485
117,0.72082
118,0.71116
119,0.71856
120,0.74922
121,0.78417
122,0.80223
123,0.81022
124,0.86045
125,0.92949
126,0.94163
127,0.92819
128,0.91189
129,0.90618
130,0.91389
131,0.94074
132,0.98097
133,1.00000
134,0.96966
135,0.89442
136,0.79832
137,0.71636
138,0.68181
139,0.69035
140,0.70507
141,0.70485
142,0.69041
143,0.65382
144,0.58854
145,0.51809
146,0.46910
147,0.43253
148,0.38845
149,0.34398
150,0.31548
151,0.30031
152,0.28550
153,0.26651
154,0.24680
155,0.22984
156,0.21614
157,0.20055
158,0.17514
159,0.14057
160,0.09571
161,0.07086
162,0.06436
163,0.06193
164,0.06015
165,0.05395
166,0.04171
167,0.02752
168,0.01577
169,0.00894
170,0.00727
171,0.00770
172,0.00731
173,0.00645
174,0.00633
175,0.00666
176,0.00625
177,0.00552
178,0.00628
179,0.00831
180,0.01198
181,0.01898
182,0.02423
183,0.02058
184,0.01134
185,0.00416
186,0.00107
187,0.00041
188,0.00106
189,0.00297
190,0.00575
191,0.00812
192,0.00886
193,0.00763
194,0.00505
195,0.00166
196,0.00021
197,0.00003
198,0.00002
199,0.00015
200,0.00072
201,0.00222
202,0.00481
203,0.00781
204,0.01012
205,0.01070
206,0.00890
207,0.00546
208,0.00233
209,0.00067
210,0.00012
211,0.00001
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00004
221,0.00024
222,0.00089
223,0.00226
224,0.00411
225,0.00631
226,0.00912
227,0.01166
228,0.01237
229,0.01107
230,0.00849
231,0.00408
232,0.00160
233,0.00202
234,0.00328
235,0.00430
236,0.00443
237,0.00357
238,0.00217
239,0.00095
240,0.00029
241,0.00006
242,0.00001
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00001
251,0.00007
252,0.00034
253,0.00104
254,0.00207
255,0.00276
256,0.00245
257,0.00147
258,0.00079
259,0.00103
260,0.00214
261,0.00355
262,0.00444
263,0.00433
264,0.00328
265,0.00181
266,0.00041
267,0.00002
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00002
286,0.00013
287,0.00066
288,0.00207
289,0.00420
290,0.00564
291,0.00517
292,0.00372
293,0.00299
294,0.00299
295,0.00258
296,0.00157
297,0.00080
298,0.00091
299,0.00179
300,0.00270
301,0.00270
302,0.00120
303,0.00016
304,0.00002
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
