day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00887
5,0.01041
6,0.00814
7,0.00441
8,0.00246
9,0.00315
10,0.00521
11,0.00661
12,0.00638
13,0.00531
14,0.00454
15,0.00455
16,0.00519
17,0.00580
18,0.00511
19,0.00307
20,0.00175
21,0.00122
22,0.00181
23,0.00323
24,0.00468
25,0.00556
26,0.00571
27,0.00490
28,0.00322
29,0.00149
30,0.00047
31,0.00011
32,0.00009
33,0.00032
34,0.00095
35,0.00200
36,0.00316
37,0.00410
38,0.00456
39,0.00414
40,0.00296
41,0.00200
42,0.00193
43,0.00217
44,0.00184
45,0.00106
46,0.00058
47,0.00090
48,0.00220
49,0.00414
50,0.00581
51,0.00641
52,0.00584
53,0.00505
54,0.00632
55,0.00719
56,0.00669
57,0.00551
58,0.00512
59,0.00583
60,0.00650
61,0.00631
62,0.00569
63,0.00509
64,0.00455
65,0.00430
66,0.00445
67,0.00426
68,0.00318
69,0.00175
70,0.00092
71,0.00104
72,0.00183
73,0.00292
74,0.00449
75,0.00687
76,0.00937
77,0.01045
78,0.00971
79,0.00865
80,0.00901
81,0.01047
82,0.01134
83,0.01136
84,0.01217
85,0.01520
86,0.02005
87,0.02483
88,0.03014
89,0.05155
90,0.08649
91,0.10619
92,0.11917
93,0.13374
94,0.15952
95,0.19811
96,0.24272
97,0.28534
98,0.32605
99,0.37232
100,0.42577
101,0.47872
102,0.52772
103,0.57935
104,0.63930
105,0.70295
106,0.75827
107,0.79602
108,0.81926
109,0.84273
110,0.87924
111,0.92753
112,0.97383
113,1.00000
114,0.99435
115,0.96496
116,0.93615
117,0.92285
118,0.92142
119,0.92992
120,0.95403
121,0.98584
122,0.99937
123,0.97648
124,0.90330
125,0.84936
126,0.82796
127,0.80121
128,0.76973
129,0.73667
130,0.69797
131,0.66278
132,0.64815
133,0.64396
134,0.62270
135,0.57463
136,0.51417
137,0.46972
138,0.45486
139,0.45141
140,0.43357
141,0.39758
142,0.35916
143,0.33166
144,0.31579
145,0.30633
146,0.30097
147,0.29951
148,0.29600
149,0.28171
150,0.25586
151,0.22584
152,0.19996
153,0.18243
154,0.17120
155,0.16029
156,0.14522
157,0.12698
158,0.11114
159,0.10232
160,0.09966
161,0.09545
162,0.08836
163,0.08248
164,0.07995
165,0.07761
166,0.07242
167,0.06595
168,0.06109
169,0.05892
170,0.05823
171,0.05456
172,0.04525
173,0.03556
174,0.03112
175,0.03055
176,0.03119
177,0.03384
178,0.03825
179,0.03944
180,0.03383
181,0.02550
182,0.02141
183,0.02340
184,0.02774
185,0.03046
186,0.03072
187,0.02919
188,0.02673
189,0.02521
190,0.02629
191,0.02908
192,0.03180
193,0.03315
194,0.03122
195,0.02330
196,0.02113
197,0.02682
198,0.03362
199,0.03712
200,0.03573
201,0.03096
202,0.02576
203,0.02201
204,0.01978
205,0.01895
206,0.01937
207,0.01967
208,0.01888
209,0.01849
210,0.02023
211,0.02307
212,0.02412
213,0.02187
214,0.01776
215,0.01383
216,0.01066
217,0.00807
218,0.00587
219,0.00435
220,0.00432
221,0.00565
222,0.00682
223,0.00744
224,0.00887
225,0.01051
226,0.00988
227,0.00703
228,0.00449
229,0.00353
230,0.00343
231,0.00283
232,0.00155
233,0.00110
234,0.00137
235,0.00191
236,0.00207
237,0.00194
238,0.00230
239,0.00350
240,0.00482
241,0.00516
242,0.00417
243,0.00251
244,0.00111
245,0.00035
246,0.00010
247,0.00016
248,0.00064
249,0.00180
250,0.00353
251,0.00512
252,0.00597
253,0.00620
254,0.00593
255,0.00489
256,0.00319
257,0.00154
258,0.00056
259,0.00032
260,0.00065
261,0.00137
262,0.00197
263,0.00189
264,0.00119
265,0.00048
266,0.00007
267,0.00000
268,0.00000
269,0.00000
270,0.00003
271,0.00022
272,0.00086
273,0.00219
274,0.00363
275,0.00405
276,0.00330
277,0.00246
278,0.00223
279,0.00217
280,0.00190
281,0.00175
282,0.00201
283,0.00236
284,0.00249
285,0.00248
286,0.00230
287,0.00175
288,0.00098
289,0.00048
290,0.00059
291,0.00148
292,0.00289
293,0.00390
294,0.00358
295,0.00221
296,0.00090
297,0.00023
298,0.00004
299,0.00000
300,0.00000
301,0.00000
302,0.00009
303,0.00049
304,0.00116
305,0.00188
306,0.00204
307,0.00152
308,0.00111
309,0.00160
310,0.00289
311,0.00393
312,0.00367
313,0.00256
314,0.00188
315,0.00201
316,0.00212
317,0.00161
318,0.00081
319,0.00027
320,0.00006
321,0.00001
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00001
327,0.00004
328,0.00021
329,0.00070
330,0.00160
331,0.00261
332,0.00322
333,0.00312
334,0.00236
335,0.00135
336,0.00069
337,0.00129
338,0.00325
339,0.00436
340,0.00449
341,0.00382
342,0.00277
343,0.00160
344,0.00065
345,0.00017
346,0.00003
347,0.00000
348,0.00000
349,0.00001
350,0.00006
351,0.00028
352,0.00091
353,0.00199
354,0.00302
355,0.00347
356,0.00337
357,0.00358
358,0.00551
359,0.00000
360,0.00000
