day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01620
5,0.01613
6,0.01592
7,0.01559
8,0.01516
9,0.01465
10,0.01408
11,0.01346
12,0.01279
13,0.01210
14,0.01143
15,0.01080
16,0.01029
17,0.00994
18,0.00987
19,0.01032
20,0.01096
21,0.01177
22,0.01264
23,0.01349
24,0.01421
25,0.01472
26,0.01498
27,0.01497
28,0.01468
29,0.01415
30,0.01341
31,0.01251
32,0.01148
33,0.01036
34,0.00917
35,0.00797
36,0.00676
37,0.00561
38,0.00453
39,0.00355
40,0.00271
41,0.00201
42,0.00146
43,0.00106
44,0.00079
45,0.00065
46,0.00062
47,0.00070
48,0.00087
49,0.00112
50,0.00143
51,0.00179
52,0.00216
53,0.00267
54,0.00306
55,0.00321
56,0.00324
57,0.00317
58,0.00302
59,0.00281
60,0.00260
61,0.00243
62,0.00234
63,0.00238
64,0.00256
65,0.00288
66,0.00332
67,0.00386
68,0.00445
69,0.00503
70,0.00554
71,0.00593
72,0.00614
73,0.00613
74,0.00593
75,0.00554
76,0.00501
77,0.00439
78,0.00375
79,0.00314
80,0.00262
81,0.00223
82,0.00202
83,0.00202
84,0.00224
85,0.00272
86,0.00345
87,0.00444
88,0.00566
89,0.00788
90,0.01041
91,0.01227
92,0.01425
93,0.01635
94,0.01860
95,0.02105
96,0.02373
97,0.02668
98,0.02992
99,0.03347
100,0.03726
101,0.04124
102,0.04538
103,0.04966
104,0.05414
105,0.05892
106,0.06420
107,0.07020
108,0.07723
109,0.08555
110,0.09542
111,0.10702
112,0.12048
113,0.13585
114,0.15291
115,0.17149
116,0.19140
117,0.21240
118,0.23422
119,0.25655
120,0.27907
121,0.30139
122,0.32318
123,0.34415
124,0.37365
125,0.40138
126,0.41926
127,0.43732
128,0.45606
129,0.47590
130,0.49714
131,0.51990
132,0.54414
133,0.56970
134,0.59629
135,0.62359
136,0.65123
137,0.67888
138,0.70619
139,0.73278
140,0.75838
141,0.78274
142,0.80563
143,0.82682
144,0.84613
145,0.86341
146,0.87855
147,0.89145
148,0.90212
149,0.91060
150,0.91703
151,0.92165
152,0.92476
153,0.92687
154,0.92852
155,0.93019
156,0.93232
157,0.93530
158,0.93937
159,0.94468
160,0.95494
161,0.96689
162,0.97532
163,0.98344
164,0.99066
165,0.99617
166,0.99947
167,1.00000
168,0.99724
169,0.99073
170,0.98008
171,0.96506
172,0.94558
173,0.92178
174,0.89409
175,0.86320
176,0.83005
177,0.79577
178,0.76166
179,0.72906
180,0.69891
181,0.67188
182,0.64826
183,0.62804
184,0.61096
185,0.59659
186,0.58446
187,0.57416
188,0.56540
189,0.55803
190,0.55198
191,0.54722
192,0.54370
193,0.54098
194,0.53849
195,0.53346
196,0.52524
197,0.51664
198,0.50532
199,0.49134
200,0.47511
201,0.45731
202,0.43880
203,0.42049
204,0.40335
205,0.38826
206,0.37569
207,0.36594
208,0.35906
209,0.35487
210,0.35293
211,0.35265
212,0.35328
213,0.35404
214,0.35421
215,0.35321
216,0.35072
217,0.34669
218,0.34130
219,0.33516
220,0.32886
221,0.32297
222,0.31790
223,0.31389
224,0.31096
225,0.30897
226,0.30764
227,0.30666
228,0.30575
229,0.30469
230,0.30339
231,0.30096
232,0.29825
233,0.29637
234,0.29447
235,0.29248
236,0.29034
237,0.28797
238,0.28531
239,0.28239
240,0.27927
241,0.27612
242,0.27314
243,0.27059
244,0.26876
245,0.26788
246,0.26807
247,0.26938
248,0.27177
249,0.27513
250,0.27928
251,0.28400
252,0.28904
253,0.29417
254,0.29917
255,0.30385
256,0.30803
257,0.31153
258,0.31411
259,0.31560
260,0.31580
261,0.31451
262,0.31159
263,0.30701
264,0.30083
265,0.29326
266,0.28000
267,0.26597
268,0.25692
269,0.24866
270,0.24163
271,0.23608
272,0.23202
273,0.22937
274,0.22792
275,0.22732
276,0.22715
277,0.22695
278,0.22624
279,0.22463
280,0.22186
281,0.21783
282,0.21262
283,0.20649
284,0.19982
285,0.19314
286,0.18685
287,0.18125
288,0.17648
289,0.17254
290,0.16932
291,0.16665
292,0.16432
293,0.16219
294,0.16014
295,0.15816
296,0.15623
297,0.15438
298,0.15258
299,0.15072
300,0.14864
301,0.14617
302,0.14117
303,0.13457
304,0.12909
305,0.12292
306,0.11625
307,0.10936
308,0.10247
309,0.09581
310,0.08952
311,0.08361
312,0.07802
313,0.07266
314,0.06741
315,0.06221
316,0.05702
317,0.05188
318,0.04685
319,0.04205
320,0.03756
321,0.03349
322,0.02988
323,0.02677
324,0.02417
325,0.02200
326,0.02022
327,0.01880
328,0.01769
329,0.01689
330,0.01637
331,0.01611
332,0.01608
333,0.01623
334,0.01649
335,0.01678
336,0.01703
337,0.01707
338,0.01664
339,0.01602
340,0.01519
341,0.01419
342,0.01313
343,0.01207
344,0.01112
345,0.01035
346,0.00982
347,0.00956
348,0.00960
349,0.00991
350,0.01049
351,0.01125
352,0.01212
353,0.01304
354,0.01392
355,0.01471
356,0.01535
357,0.01581
358,0.01609
359,0.00000
360,0.00000
