day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00089
5,0.00058
6,0.00078
7,0.00111
8,0.00090
9,0.00044
10,0.00046
11,0.00128
12,0.00216
13,0.00189
14,0.00090
15,0.00025
16,0.00004
17,0.00000
18,0.00000
19,0.00002
20,0.00015
21,0.00062
22,0.00144
23,0.00206
24,0.00219
25,0.00230
26,0.00260
27,0.00259
28,0.00194
29,0.00110
30,0.00081
31,0.00127
32,0.00184
33,0.00178
34,0.00130
35,0.00146
36,0.00270
37,0.00390
38,0.00391
39,0.00351
40,0.00389
41,0.00454
42,0.00434
43,0.00343
44,0.00263
45,0.00303
46,0.00550
47,0.00868
48,0.00991
49,0.00919
50,0.00919
51,0.01163
52,0.01598
53,0.02065
54,0.02282
55,0.02454
56,0.02629
57,0.03142
58,0.04987
59,0.07955
60,0.09648
61,0.09000
62,0.08226
63,0.08329
64,0.08999
65,0.10567
66,0.12497
67,0.13662
68,0.13888
69,0.13884
70,0.15087
71,0.18488
72,0.24131
73,0.29685
74,0.32265
75,0.31947
76,0.31973
77,0.35502
78,0.41162
79,0.45275
80,0.47006
81,0.48151
82,0.50406
83,0.53622
84,0.56923
85,0.61091
86,0.65462
87,0.67983
88,0.70834
89,0.80965
90,0.88102
91,0.89501
92,0.89103
93,0.86026
94,0.83601
95,0.84513
96,0.86872
97,0.89808
98,0.93398
99,0.94694
100,0.92437
101,0.89947
102,0.91646
103,0.97859
104,1.00000
105,0.90784
106,0.76455
107,0.66547
108,0.63188
109,0.63665
110,0.65179
111,0.65227
112,0.59921
113,0.49389
114,0.39592
115,0.33520
116,0.30661
117,0.29166
118,0.25604
119,0.20653
120,0.18340
121,0.18883
122,0.19560
123,0.19148
124,0.17068
125,0.12905
126,0.08900
127,0.06332
128,0.05572
129,0.04916
130,0.03723
131,0.02804
132,0.02493
133,0.02349
134,0.01970
135,0.01400
136,0.00928
137,0.00665
138,0.00580
139,0.00679
140,0.00806
141,0.00704
142,0.00425
143,0.00224
144,0.00199
145,0.00330
146,0.00568
147,0.00706
148,0.00549
149,0.00250
150,0.00062
151,0.00008
152,0.00000
153,0.00000
154,0.00000
155,0.00000
156,0.00001
157,0.00006
158,0.00034
159,0.00106
160,0.00198
161,0.00115
162,0.00045
163,0.00050
164,0.00094
165,0.00107
166,0.00064
167,0.00018
168,0.00002
169,0.00000
170,0.00000
171,0.00000
172,0.00000
173,0.00000
174,0.00000
175,0.00000
176,0.00000
177,0.00000
178,0.00004
179,0.00045
180,0.00235
181,0.00645
182,0.00901
183,0.00639
184,0.00241
185,0.00052
186,0.00007
187,0.00000
188,0.00000
189,0.00000
190,0.00000
191,0.00000
192,0.00000
193,0.00000
194,0.00000
195,0.00000
196,0.00000
197,0.00000
198,0.00000
199,0.00000
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00000
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00000
236,0.00000
237,0.00000
238,0.00000
239,0.00001
240,0.00010
241,0.00049
242,0.00141
243,0.00264
244,0.00345
245,0.00311
246,0.00182
247,0.00065
248,0.00014
249,0.00008
250,0.00029
251,0.00074
252,0.00105
253,0.00083
254,0.00037
255,0.00010
256,0.00006
257,0.00023
258,0.00069
259,0.00127
260,0.00177
261,0.00227
262,0.00267
263,0.00253
264,0.00196
265,0.00190
266,0.00285
267,0.00229
268,0.00155
269,0.00210
270,0.00384
271,0.00546
272,0.00514
273,0.00296
274,0.00172
275,0.00268
276,0.00406
277,0.00381
278,0.00259
279,0.00253
280,0.00319
281,0.00266
282,0.00125
283,0.00034
284,0.00014
285,0.00056
286,0.00179
287,0.00311
288,0.00312
289,0.00248
290,0.00273
291,0.00356
292,0.00390
293,0.00360
294,0.00311
295,0.00225
296,0.00172
297,0.00227
298,0.00342
299,0.00426
300,0.00429
301,0.00386
302,0.00347
303,0.00349
304,0.00373
305,0.00370
306,0.00291
307,0.00192
308,0.00152
309,0.00168
310,0.00219
311,0.00297
312,0.00345
313,0.00296
314,0.00171
315,0.00064
316,0.00023
317,0.00046
318,0.00121
319,0.00212
320,0.00257
321,0.00228
322,0.00183
323,0.00190
324,0.00219
325,0.00196
326,0.00148
327,0.00131
328,0.00139
329,0.00175
330,0.00234
331,0.00247
332,0.00197
333,0.00142
334,0.00127
335,0.00167
336,0.00201
337,0.00144
338,0.00113
339,0.00105
340,0.00060
341,0.00028
342,0.00046
343,0.00094
344,0.00109
345,0.00065
346,0.00020
347,0.00003
348,0.00000
349,0.00000
350,0.00000
351,0.00001
352,0.00006
353,0.00031
354,0.00080
355,0.00115
356,0.00107
357,0.00107
358,0.00116
359,0.00000
360,0.00000
