day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.05856
5,0.06049
6,0.05925
7,0.05558
8,0.05050
9,0.04489
10,0.03935
11,0.03426
12,0.02986
13,0.02624
14,0.02327
15,0.02063
16,0.01797
17,0.01514
18,0.01102
19,0.00797
20,0.00703
21,0.00679
22,0.00690
23,0.00700
24,0.00697
25,0.00689
26,0.00685
27,0.00686
28,0.00679
29,0.00645
30,0.00580
31,0.00494
32,0.00417
33,0.00380
34,0.00410
35,0.00517
36,0.00691
37,0.00910
38,0.01138
39,0.01335
40,0.01461
41,0.01484
42,0.01391
43,0.01197
44,0.00938
45,0.00673
46,0.00450
47,0.00301
48,0.00236
49,0.00249
50,0.00321
51,0.00424
52,0.00523
53,0.00593
54,0.00567
55,0.00521
56,0.00502
57,0.00543
58,0.00655
59,0.00822
60,0.01006
61,0.01165
62,0.01275
63,0.01339
64,0.01386
65,0.01452
66,0.01551
67,0.01670
68,0.01776
69,0.01852
70,0.01904
71,0.01957
72,0.02027
73,0.02098
74,0.02125
75,0.02054
76,0.01862
77,0.01574
78,0.01261
79,0.01006
80,0.00872
81,0.00877
82,0.00986
83,0.01137
84,0.01263
85,0.01334
86,0.01366
87,0.01409
88,0.01521
89,0.01840
90,0.02159
91,0.02233
92,0.02152
93,0.01951
94,0.01718
95,0.01562
96,0.01564
97,0.01749
98,0.02076
99,0.02459
100,0.02805
101,0.03047
102,0.03156
103,0.03138
104,0.03018
105,0.02837
106,0.02643
107,0.02492
108,0.02434
109,0.02499
110,0.02685
111,0.02958
112,0.03247
113,0.03475
114,0.03581
115,0.03550
116,0.03415
117,0.03248
118,0.03123
119,0.03092
120,0.03173
121,0.03357
122,0.03633
123,0.03982
124,0.04557
125,0.05007
126,0.05105
127,0.05041
128,0.04904
129,0.04832
130,0.04934
131,0.05226
132,0.05613
133,0.05933
134,0.06042
135,0.05907
136,0.05600
137,0.05265
138,0.05041
139,0.05008
140,0.05164
141,0.05445
142,0.05782
143,0.06145
144,0.06549
145,0.07031
146,0.07601
147,0.08219
148,0.08805
149,0.09279
150,0.09607
151,0.09814
152,0.09986
153,0.10227
154,0.10618
155,0.11178
156,0.11846
157,0.12508
158,0.13068
159,0.13492
160,0.13961
161,0.14330
162,0.14432
163,0.14273
164,0.13769
165,0.12920
166,0.11852
167,0.10791
168,0.09996
169,0.09678
170,0.09944
171,0.10769
172,0.12019
173,0.13503
174,0.15037
175,0.16516
176,0.17960
177,0.19509
178,0.21367
179,0.23668
180,0.26356
181,0.29170
182,0.31736
183,0.33722
184,0.34999
185,0.35736
186,0.36343
187,0.37317
188,0.39029
189,0.41591
190,0.44858
191,0.48547
192,0.52413
193,0.56380
194,0.60552
195,0.65974
196,0.73739
197,0.81027
198,0.85816
199,0.89533
200,0.91853
201,0.92649
202,0.92011
203,0.90152
204,0.87364
205,0.84080
206,0.80834
207,0.78160
208,0.76462
209,0.75933
210,0.76567
211,0.78224
212,0.80708
213,0.83932
214,0.87537
215,0.91224
216,0.94667
217,0.97518
218,0.99391
219,0.99872
220,0.98591
221,0.95382
222,0.90464
223,0.84501
224,0.78471
225,0.73278
226,0.69325
227,0.66470
228,0.64247
229,0.62223
230,0.60247
231,0.58222
232,0.56175
233,0.54592
234,0.52930
235,0.50445
236,0.47082
237,0.43125
238,0.39062
239,0.35365
240,0.32312
241,0.29933
242,0.28073
243,0.26518
244,0.25103
245,0.23777
246,0.22576
247,0.21549
248,0.20698
249,0.19991
250,0.19401
251,0.18945
252,0.18655
253,0.18513
254,0.18407
255,0.18140
256,0.17513
257,0.16429
258,0.14938
259,0.13218
260,0.11495
261,0.09946
262,0.08661
263,0.07645
264,0.06856
265,0.06241
266,0.05572
267,0.05112
268,0.04906
269,0.04727
270,0.04535
271,0.04322
272,0.04136
273,0.04061
274,0.04172
275,0.04476
276,0.04903
277,0.05339
278,0.05681
279,0.05886
280,0.05975
281,0.06016
282,0.06086
283,0.06242
284,0.06499
285,0.06827
286,0.07157
287,0.07400
288,0.07475
289,0.07326
290,0.06938
291,0.06354
292,0.05635
293,0.04858
294,0.04113
295,0.03503
296,0.03128
297,0.03054
298,0.03290
299,0.03777
300,0.04402
301,0.05029
302,0.05648
303,0.05712
304,0.05325
305,0.04666
306,0.03857
307,0.03059
308,0.02421
309,0.02037
310,0.01930
311,0.02054
312,0.02319
313,0.02600
314,0.02798
315,0.02852
316,0.02755
317,0.02537
318,0.02242
319,0.01910
320,0.01575
321,0.01268
322,0.01019
323,0.00847
324,0.00752
325,0.00710
326,0.00691
327,0.00676
328,0.00675
329,0.00726
330,0.00880
331,0.01184
332,0.01655
333,0.02271
334,0.02963
335,0.03620
336,0.04126
337,0.04411
338,0.04227
339,0.03908
340,0.03576
341,0.03324
342,0.03203
343,0.03204
344,0.03270
345,0.03316
346,0.03265
347,0.03077
348,0.02767
349,0.02394
350,0.02045
351,0.01806
352,0.01744
353,0.01904
354,0.02303
355,0.02932
356,0.03736
357,0.04599
358,0.05361
359,0.00000
360,0.00000
