day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.05542
5,0.05583
6,0.05543
7,0.05428
8,0.05246
9,0.05011
10,0.04739
11,0.04444
12,0.04140
13,0.03837
14,0.03541
15,0.03257
16,0.02987
17,0.02731
18,0.02378
19,0.02062
20,0.01880
21,0.01725
22,0.01597
23,0.01498
24,0.01427
25,0.01383
26,0.01360
27,0.01354
28,0.01356
29,0.01360
30,0.01361
31,0.01354
32,0.01337
33,0.01309
34,0.01271
35,0.01227
36,0.01181
37,0.01139
38,0.01107
39,0.01091
40,0.01098
41,0.01128
42,0.01183
43,0.01262
44,0.01360
45,0.01476
46,0.01605
47,0.01742
48,0.01883
49,0.02023
50,0.02156
51,0.02277
52,0.02381
53,0.02490
54,0.02549
55,0.02554
56,0.02534
57,0.02490
58,0.02423
59,0.02334
60,0.02223
61,0.02090
62,0.01938
63,0.01767
64,0.01583
65,0.01389
66,0.01194
67,0.01005
68,0.00830
69,0.00675
70,0.00543
71,0.00439
72,0.00364
73,0.00316
74,0.00294
75,0.00294
76,0.00312
77,0.00343
78,0.00383
79,0.00424
80,0.00465
81,0.00502
82,0.00532
83,0.00555
84,0.00570
85,0.00577
86,0.00575
87,0.00566
88,0.00549
89,0.00507
90,0.00452
91,0.00409
92,0.00365
93,0.00323
94,0.00288
95,0.00262
96,0.00250
97,0.00254
98,0.00276
99,0.00316
100,0.00372
101,0.00441
102,0.00518
103,0.00597
104,0.00668
105,0.00726
106,0.00765
107,0.00783
108,0.00778
109,0.00752
110,0.00712
111,0.00665
112,0.00618
113,0.00581
114,0.00562
115,0.00568
116,0.00606
117,0.00676
118,0.00778
119,0.00908
120,0.01062
121,0.01232
122,0.01411
123,0.01591
124,0.01846
125,0.02074
126,0.02206
127,0.02328
128,0.02447
129,0.02572
130,0.02714
131,0.02878
132,0.03067
133,0.03281
134,0.03516
135,0.03769
136,0.04035
137,0.04318
138,0.04627
139,0.04981
140,0.05411
141,0.05963
142,0.06675
143,0.07587
144,0.08735
145,0.10146
146,0.11833
147,0.13799
148,0.16034
149,0.18521
150,0.21234
151,0.24152
152,0.27253
153,0.30531
154,0.33987
155,0.37617
156,0.41431
157,0.45436
158,0.49631
159,0.54000
160,0.60803
161,0.67700
162,0.71941
163,0.76033
164,0.79901
165,0.83468
166,0.86673
167,0.89498
168,0.91937
169,0.93998
170,0.95702
171,0.97077
172,0.98155
173,0.98967
174,0.99536
175,0.99878
176,0.99992
177,0.99868
178,0.99427
179,0.98617
180,0.97392
181,0.95735
182,0.93631
183,0.91089
184,0.88148
185,0.84876
186,0.81363
187,0.77718
188,0.74060
189,0.70510
190,0.67174
191,0.64146
192,0.61497
193,0.59242
194,0.57348
195,0.55647
196,0.53707
197,0.52103
198,0.50973
199,0.49775
200,0.48467
201,0.47020
202,0.45427
203,0.43691
204,0.41828
205,0.39872
206,0.37863
207,0.35843
208,0.33860
209,0.31965
210,0.30204
211,0.28627
212,0.27269
213,0.26156
214,0.25301
215,0.24697
216,0.24328
217,0.24160
218,0.24139
219,0.24215
220,0.24346
221,0.24499
222,0.24654
223,0.24803
224,0.24950
225,0.25108
226,0.25294
227,0.25527
228,0.25817
229,0.26170
230,0.26574
231,0.27127
232,0.27746
233,0.28176
234,0.28440
235,0.28613
236,0.28691
237,0.28675
238,0.28572
239,0.28386
240,0.28126
241,0.27791
242,0.27389
243,0.26931
244,0.26431
245,0.25909
246,0.25387
247,0.24891
248,0.24448
249,0.24077
250,0.23795
251,0.23608
252,0.23514
253,0.23502
254,0.23560
255,0.23662
256,0.23788
257,0.23923
258,0.24053
259,0.24167
260,0.24254
261,0.24302
262,0.24298
263,0.24222
264,0.24059
265,0.23789
266,0.23150
267,0.22249
268,0.21489
269,0.20656
270,0.19759
271,0.18823
272,0.17877
273,0.16927
274,0.15985
275,0.15062
276,0.14166
277,0.13304
278,0.12486
279,0.11728
280,0.11037
281,0.10421
282,0.09884
283,0.09427
284,0.09048
285,0.08740
286,0.08496
287,0.08307
288,0.08166
289,0.08066
290,0.08003
291,0.07973
292,0.07973
293,0.07994
294,0.08028
295,0.08064
296,0.08095
297,0.08112
298,0.08114
299,0.08103
300,0.08087
301,0.08081
302,0.08131
303,0.08280
304,0.08461
305,0.08691
306,0.08950
307,0.09208
308,0.09432
309,0.09587
310,0.09646
311,0.09589
312,0.09411
313,0.09119
314,0.08731
315,0.08278
316,0.07794
317,0.07317
318,0.06877
319,0.06492
320,0.06174
321,0.05921
322,0.05725
323,0.05573
324,0.05450
325,0.05338
326,0.05227
327,0.05106
328,0.04974
329,0.04832
330,0.04689
331,0.04555
332,0.04438
333,0.04342
334,0.04270
335,0.04219
336,0.04183
337,0.04136
338,0.04072
339,0.04007
340,0.03919
341,0.03811
342,0.03687
343,0.03560
344,0.03440
345,0.03339
346,0.03269
347,0.03240
348,0.03259
349,0.03331
350,0.03458
351,0.03638
352,0.03864
353,0.04128
354,0.04416
355,0.04708
356,0.04983
357,0.05223
358,0.05409
359,0.00000
360,0.00000
