day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00596
5,0.00736
6,0.00796
7,0.00674
8,0.00594
9,0.00614
10,0.00638
11,0.00626
12,0.00540
13,0.00499
14,0.00509
15,0.00536
16,0.00485
17,0.00395
18,0.00358
19,0.00290
20,0.00251
21,0.00263
22,0.00365
23,0.00429
24,0.00385
25,0.00395
26,0.00459
27,0.00428
28,0.00315
29,0.00241
30,0.00221
31,0.00228
32,0.00288
33,0.00429
34,0.00514
35,0.00482
36,0.00491
37,0.00451
38,0.00346
39,0.00230
40,0.00158
41,0.00191
42,0.00254
43,0.00281
44,0.00241
45,0.00205
46,0.00217
47,0.00184
48,0.00137
49,0.00137
50,0.00187
51,0.00245
52,0.00325
53,0.00482
54,0.00423
55,0.00384
56,0.00434
57,0.00438
58,0.00712
59,0.00810
60,0.00581
61,0.00414
62,0.00400
63,0.00477
64,0.00520
65,0.00588
66,0.00785
67,0.00711
68,0.00514
69,0.00342
70,0.00319
71,0.00368
72,0.00454
73,0.00534
74,0.00871
75,0.00898
76,0.00892
77,0.00930
78,0.00940
79,0.01128
80,0.01285
81,0.01057
82,0.00831
83,0.00797
84,0.00641
85,0.00758
86,0.00998
87,0.01327
88,0.01363
89,0.01416
90,0.01809
91,0.02188
92,0.02510
93,0.02350
94,0.01923
95,0.01711
96,0.01965
97,0.02477
98,0.02803
99,0.02995
100,0.03198
101,0.03204
102,0.03231
103,0.03497
104,0.03557
105,0.03543
106,0.03686
107,0.03836
108,0.03970
109,0.04128
110,0.04487
111,0.04623
112,0.04962
113,0.05687
114,0.05589
115,0.05221
116,0.05540
117,0.06098
118,0.05960
119,0.05264
120,0.05261
121,0.09915
122,0.24036
123,0.23140
124,0.18359
125,0.24355
126,0.13557
127,0.23501
128,0.53722
129,1.00000
130,0.93214
131,0.37643
132,0.26190
133,0.25458
134,0.16202
135,0.13269
136,0.30194
137,0.65062
138,0.72574
139,0.32787
140,0.09602
141,0.08902
142,0.16222
143,0.20266
144,0.12297
145,0.05251
146,0.03578
147,0.03152
148,0.03305
149,0.03521
150,0.03272
151,0.03000
152,0.02682
153,0.02153
154,0.01863
155,0.01866
156,0.01736
157,0.01444
158,0.01267
159,0.01109
160,0.01186
161,0.01049
162,0.00809
163,0.00812
164,0.00756
165,0.00683
166,0.00682
167,0.00702
168,0.00424
169,0.00287
170,0.00391
171,0.00456
172,0.00634
173,0.00581
174,0.00357
175,0.00287
176,0.00320
177,0.00668
178,0.00381
179,0.00359
180,0.00429
181,0.00343
182,0.00310
183,0.00319
184,0.00359
185,0.00301
186,0.00175
187,0.00209
188,0.00349
189,0.00471
190,0.00416
191,0.00330
192,0.00260
193,0.00236
194,0.00269
195,0.00248
196,0.00174
197,0.00260
198,0.00322
199,0.00261
200,0.00233
201,0.00297
202,0.00328
203,0.00290
204,0.00264
205,0.00259
206,0.00289
207,0.00278
208,0.00203
209,0.00198
210,0.00200
211,0.00192
212,0.00195
213,0.00217
214,0.00245
215,0.00307
216,0.00240
217,0.00185
218,0.00221
219,0.00214
220,0.00196
221,0.00207
222,0.00169
223,0.00106
224,0.00065
225,0.00054
226,0.00091
227,0.00190
228,0.00270
229,0.00198
230,0.00079
231,0.00136
232,0.00173
233,0.00216
234,0.00269
235,0.00188
236,0.00135
237,0.00131
238,0.00098
239,0.00103
240,0.00162
241,0.00234
242,0.00199
243,0.00160
244,0.00176
245,0.00244
246,0.00254
247,0.00228
248,0.00196
249,0.00154
250,0.00124
251,0.00104
252,0.00105
253,0.00109
254,0.00075
255,0.00065
256,0.00077
257,0.00083
258,0.00111
259,0.00124
260,0.00133
261,0.00175
262,0.00189
263,0.00137
264,0.00088
265,0.00074
266,0.00094
267,0.00104
268,0.00058
269,0.00031
270,0.00054
271,0.00063
272,0.00035
273,0.00023
274,0.00051
275,0.00068
276,0.00051
277,0.00056
278,0.00084
279,0.00106
280,0.00134
281,0.00072
282,0.00081
283,0.00080
284,0.00080
285,0.00197
286,0.00234
287,0.00152
288,0.00119
289,0.00176
290,0.00151
291,0.00140
292,0.00151
293,0.00119
294,0.00111
295,0.00077
296,0.00072
297,0.00077
298,0.00134
299,0.00111
300,0.00104
301,0.00112
302,0.00147
303,0.00143
304,0.00148
305,0.00157
306,0.00163
307,0.00145
308,0.00153
309,0.00159
310,0.00143
311,0.00184
312,0.00213
313,0.00215
314,0.00259
315,0.00257
316,0.00216
317,0.00236
318,0.00264
319,0.00220
320,0.00207
321,0.00233
322,0.00241
323,0.00220
324,0.00269
325,0.00336
326,0.00266
327,0.00187
328,0.00201
329,0.00208
330,0.00196
331,0.00190
332,0.00236
333,0.00269
334,0.00197
335,0.00146
336,0.00154
337,0.00202
338,0.00187
339,0.00169
340,0.00220
341,0.00214
342,0.00154
343,0.00130
344,0.00137
345,0.00159
346,0.00244
347,0.00295
348,0.00270
349,0.00233
350,0.00251
351,0.00388
352,0.00535
353,0.00646
354,0.00647
355,0.00537
356,0.00484
357,0.00413
358,0.00413
359,0.00000
360,0.00000
