day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00002
8,0.00006
9,0.00018
10,0.00044
11,0.00091
12,0.00165
13,0.00257
14,0.00345
15,0.00398
16,0.00395
17,0.00336
18,0.00197
19,0.00079
20,0.00035
21,0.00014
22,0.00005
23,0.00001
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00001
83,0.00005
84,0.00015
85,0.00038
86,0.00083
87,0.00155
88,0.00247
89,0.00370
90,0.00415
91,0.00383
92,0.00343
93,0.00340
94,0.00411
95,0.00560
96,0.00759
97,0.00952
98,0.01080
99,0.01103
100,0.01030
101,0.00931
102,0.00900
103,0.01012
104,0.01281
105,0.01665
106,0.02100
107,0.02544
108,0.02979
109,0.03382
110,0.03702
111,0.03883
112,0.03904
113,0.03811
114,0.03713
115,0.03743
116,0.04021
117,0.04626
118,0.05560
119,0.06740
120,0.08007
121,0.09179
122,0.10121
123,0.10789
124,0.11385
125,0.11858
126,0.12266
127,0.12813
128,0.13526
129,0.14451
130,0.15645
131,0.17069
132,0.18707
133,0.20438
134,0.22157
135,0.23843
136,0.25557
137,0.27345
138,0.29132
139,0.30712
140,0.31840
141,0.32373
142,0.32371
143,0.32096
144,0.31940
145,0.32317
146,0.33561
147,0.35838
148,0.39081
149,0.42992
150,0.47104
151,0.50901
152,0.53955
153,0.56056
154,0.57247
155,0.57775
156,0.58010
157,0.58296
158,0.58907
159,0.60055
160,0.62392
161,0.65552
162,0.70716
163,0.77142
164,0.82079
165,0.87058
166,0.91779
167,0.95801
168,0.98645
169,1.00000
170,0.99674
171,0.97841
172,0.94627
173,0.89992
174,0.83993
175,0.77103
176,0.70244
177,0.64434
178,0.60306
179,0.57835
180,0.56475
181,0.55528
182,0.54560
183,0.53435
184,0.52178
185,0.50899
186,0.49719
187,0.48650
188,0.47499
189,0.45973
190,0.43933
191,0.41577
192,0.39384
193,0.37845
194,0.37233
195,0.37698
196,0.38431
197,0.39029
198,0.38562
199,0.36677
200,0.33972
201,0.31012
202,0.28324
203,0.26118
204,0.24245
205,0.22382
206,0.20286
207,0.17944
208,0.15582
209,0.13544
210,0.12140
211,0.11504
212,0.11535
213,0.11931
214,0.12325
215,0.12423
216,0.12095
217,0.11386
218,0.10469
219,0.09558
220,0.08814
221,0.08286
222,0.07932
223,0.07701
224,0.07628
225,0.07858
226,0.08586
227,0.09923
228,0.11758
229,0.13712
230,0.15248
231,0.15791
232,0.15057
233,0.14330
234,0.13611
235,0.12752
236,0.11516
237,0.09841
238,0.07965
239,0.06230
240,0.04883
241,0.03992
242,0.03503
243,0.03330
244,0.03403
245,0.03661
246,0.04039
247,0.04454
248,0.04812
249,0.05026
250,0.05042
251,0.04866
252,0.04554
253,0.04175
254,0.03787
255,0.03441
256,0.03202
257,0.03145
258,0.03271
259,0.03488
260,0.03661
261,0.03682
262,0.03514
263,0.03183
264,0.02740
265,0.02240
266,0.01522
267,0.00967
268,0.00742
269,0.00600
270,0.00494
271,0.00395
272,0.00303
273,0.00245
274,0.00247
275,0.00322
276,0.00455
277,0.00607
278,0.00724
279,0.00761
280,0.00701
281,0.00568
282,0.00412
283,0.00290
284,0.00239
285,0.00270
286,0.00367
287,0.00502
288,0.00643
289,0.00767
290,0.00860
291,0.00917
292,0.00934
293,0.00921
294,0.00900
295,0.00895
296,0.00911
297,0.00921
298,0.00890
299,0.00798
300,0.00667
301,0.00545
302,0.00460
303,0.00444
304,0.00419
305,0.00354
306,0.00259
307,0.00163
308,0.00089
309,0.00050
310,0.00043
311,0.00069
312,0.00127
313,0.00213
314,0.00307
315,0.00379
316,0.00402
317,0.00367
318,0.00288
319,0.00195
320,0.00113
321,0.00057
322,0.00025
323,0.00011
324,0.00010
325,0.00020
326,0.00047
327,0.00097
328,0.00174
329,0.00267
330,0.00353
331,0.00402
332,0.00392
333,0.00328
334,0.00233
335,0.00142
336,0.00074
337,0.00023
338,0.00004
339,0.00001
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
