day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00002
53,0.00016
54,0.00071
55,0.00171
56,0.00346
57,0.00591
58,0.00855
59,0.01045
60,0.01081
61,0.00945
62,0.00696
63,0.00430
64,0.00223
65,0.00097
66,0.00035
67,0.00010
68,0.00003
69,0.00001
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00000
124,0.00000
125,0.00000
126,0.00000
127,0.00001
128,0.00005
129,0.00021
130,0.00073
131,0.00214
132,0.00530
133,0.01110
134,0.01969
135,0.02969
136,0.03818
137,0.04196
138,0.03948
139,0.03189
140,0.02232
141,0.01408
142,0.00909
143,0.00757
144,0.00843
145,0.01003
146,0.01087
147,0.01016
148,0.00808
149,0.00549
150,0.00335
151,0.00234
152,0.00270
153,0.00433
154,0.00680
155,0.00928
156,0.01073
157,0.01055
158,0.00896
159,0.00692
160,0.00585
161,0.00846
162,0.01276
163,0.01851
164,0.02526
165,0.03263
166,0.04030
167,0.04786
168,0.05475
169,0.06020
170,0.06340
171,0.06418
172,0.06374
173,0.06472
174,0.07008
175,0.08145
176,0.09810
177,0.11739
178,0.13612
179,0.15230
180,0.16625
181,0.18027
182,0.19773
183,0.22168
184,0.25337
185,0.29185
186,0.33480
187,0.37966
188,0.42447
189,0.46765
190,0.50732
191,0.54059
192,0.56461
193,0.57965
194,0.59200
195,0.63032
196,0.69764
197,0.74725
198,0.78274
199,0.79889
200,0.80275
201,0.80703
202,0.82075
203,0.84454
204,0.87259
205,0.89811
206,0.91897
207,0.93824
208,0.95895
209,0.97954
210,0.99469
211,1.00000
212,0.99443
213,0.97771
214,0.94689
215,0.89729
216,0.82802
217,0.74655
218,0.66747
219,0.60584
220,0.56982
221,0.55733
222,0.55825
223,0.56037
224,0.55551
225,0.54197
226,0.52222
227,0.49812
228,0.46873
229,0.43244
230,0.39101
231,0.33562
232,0.30571
233,0.30639
234,0.31631
235,0.32691
236,0.33037
237,0.32189
238,0.30064
239,0.26938
240,0.23317
241,0.19723
242,0.16515
243,0.13831
244,0.11655
245,0.09903
246,0.08481
247,0.07297
248,0.06318
249,0.05638
250,0.05505
251,0.06215
252,0.07898
253,0.10283
254,0.12630
255,0.13987
256,0.13726
257,0.12014
258,0.09777
259,0.08105
260,0.07551
261,0.07729
262,0.07851
263,0.07354
264,0.06227
265,0.04885
266,0.03461
267,0.02878
268,0.02800
269,0.02715
270,0.02540
271,0.02299
272,0.02074
273,0.01949
274,0.01960
275,0.02097
276,0.02329
277,0.02611
278,0.02877
279,0.03023
280,0.02940
281,0.02579
282,0.02000
283,0.01350
284,0.00785
285,0.00390
286,0.00165
287,0.00066
288,0.00043
289,0.00086
290,0.00229
291,0.00543
292,0.01086
293,0.01836
294,0.02643
295,0.03279
296,0.03581
297,0.03557
298,0.03355
299,0.03107
300,0.02823
301,0.02430
302,0.01601
303,0.00768
304,0.00384
305,0.00162
306,0.00057
307,0.00017
308,0.00004
309,0.00001
310,0.00000
311,0.00000
312,0.00001
313,0.00004
314,0.00016
315,0.00050
316,0.00129
317,0.00277
318,0.00501
319,0.00764
320,0.00984
321,0.01075
322,0.00996
323,0.00784
324,0.00525
325,0.00298
326,0.00144
327,0.00058
328,0.00020
329,0.00006
330,0.00001
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00005
338,0.00025
339,0.00070
340,0.00167
341,0.00341
342,0.00585
343,0.00846
344,0.01032
345,0.01067
346,0.00936
347,0.00699
348,0.00445
349,0.00241
350,0.00111
351,0.00044
352,0.00015
353,0.00004
354,0.00001
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
