day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00003
72,0.00019
73,0.00077
74,0.00209
75,0.00389
76,0.00510
77,0.00501
78,0.00452
79,0.00498
80,0.00639
81,0.00816
82,0.01040
83,0.01273
84,0.01355
85,0.01244
86,0.01072
87,0.00947
88,0.00918
89,0.01266
90,0.01977
91,0.02599
92,0.03345
93,0.04219
94,0.05253
95,0.06389
96,0.07404
97,0.08278
98,0.09441
99,0.11233
100,0.13312
101,0.15260
102,0.17444
103,0.20306
104,0.23322
105,0.25718
106,0.27518
107,0.29352
108,0.31884
109,0.35563
110,0.40410
111,0.46032
112,0.51964
113,0.57752
114,0.62918
115,0.67359
116,0.71565
117,0.76209
118,0.81949
119,0.88839
120,0.94999
121,0.98188
122,0.99199
123,1.00000
124,0.99806
125,0.97803
126,0.96228
127,0.95516
128,0.96048
129,0.95622
130,0.92676
131,0.90507
132,0.92669
133,0.96808
134,0.98170
135,0.95610
136,0.90414
137,0.83651
138,0.76510
139,0.69933
140,0.64208
141,0.59301
142,0.55082
143,0.51416
144,0.48333
145,0.45492
146,0.41949
147,0.37596
148,0.33600
149,0.30576
150,0.27518
151,0.23349
152,0.18660
153,0.15337
154,0.14726
155,0.16073
156,0.16961
157,0.15684
158,0.12957
159,0.10825
160,0.09692
161,0.08181
162,0.06911
163,0.06151
164,0.05859
165,0.05671
166,0.05401
167,0.05385
168,0.05943
169,0.06579
170,0.06454
171,0.05463
172,0.04257
173,0.03587
174,0.03792
175,0.04521
176,0.05025
177,0.04874
178,0.04266
179,0.03626
180,0.03023
181,0.02412
182,0.01990
183,0.01826
184,0.01678
185,0.01339
186,0.00886
187,0.00602
188,0.00679
189,0.01017
190,0.01436
191,0.01977
192,0.02713
193,0.03377
194,0.03579
195,0.02810
196,0.01720
197,0.01446
198,0.01538
199,0.01657
200,0.01584
201,0.01345
202,0.01069
203,0.00842
204,0.00701
205,0.00644
206,0.00589
207,0.00489
208,0.00439
209,0.00496
210,0.00526
211,0.00407
212,0.00212
213,0.00073
214,0.00016
215,0.00003
216,0.00002
217,0.00012
218,0.00058
219,0.00184
220,0.00385
221,0.00525
222,0.00461
223,0.00266
224,0.00111
225,0.00072
226,0.00168
227,0.00389
228,0.00648
229,0.00816
230,0.00833
231,0.00712
232,0.00631
233,0.00529
234,0.00342
235,0.00160
236,0.00057
237,0.00042
238,0.00114
239,0.00274
240,0.00444
241,0.00491
242,0.00374
243,0.00200
244,0.00094
245,0.00108
246,0.00239
247,0.00414
248,0.00499
249,0.00428
250,0.00308
251,0.00300
252,0.00429
253,0.00570
254,0.00628
255,0.00632
256,0.00599
257,0.00474
258,0.00275
259,0.00108
260,0.00028
261,0.00005
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00001
272,0.00005
273,0.00029
274,0.00109
275,0.00270
276,0.00448
277,0.00519
278,0.00475
279,0.00447
280,0.00496
281,0.00511
282,0.00399
283,0.00219
284,0.00083
285,0.00024
286,0.00022
287,0.00075
288,0.00204
289,0.00381
290,0.00491
291,0.00437
292,0.00266
293,0.00108
294,0.00029
295,0.00005
296,0.00001
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00003
315,0.00020
316,0.00084
317,0.00231
318,0.00419
319,0.00508
320,0.00413
321,0.00228
322,0.00087
323,0.00036
324,0.00070
325,0.00193
326,0.00377
327,0.00498
328,0.00447
329,0.00272
330,0.00111
331,0.00029
332,0.00005
333,0.00001
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
