day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.25398
5,0.25897
6,0.26238
7,0.26430
8,0.26478
9,0.26390
10,0.26178
11,0.25858
12,0.25449
13,0.24970
14,0.24442
15,0.23884
16,0.23317
17,0.22758
18,0.21960
19,0.21222
20,0.20776
21,0.20367
22,0.19994
23,0.19659
24,0.19358
25,0.19086
26,0.18840
27,0.18620
28,0.18425
29,0.18254
30,0.18109
31,0.17992
32,0.17908
33,0.17865
34,0.17865
35,0.17915
36,0.18021
37,0.18192
38,0.18433
39,0.18751
40,0.19150
41,0.19635
42,0.20216
43,0.20884
44,0.21634
45,0.22459
46,0.23350
47,0.24298
48,0.25291
49,0.26315
50,0.27358
51,0.28403
52,0.29436
53,0.30931
54,0.32350
55,0.33237
56,0.34076
57,0.34867
58,0.35615
59,0.36325
60,0.37004
61,0.37668
62,0.38329
63,0.38999
64,0.39689
65,0.40411
66,0.41175
67,0.41989
68,0.42862
69,0.43804
70,0.44813
71,0.45888
72,0.47027
73,0.48227
74,0.49485
75,0.50795
76,0.52154
77,0.53557
78,0.55004
79,0.56492
80,0.58019
81,0.59590
82,0.61207
83,0.62880
84,0.64614
85,0.66420
86,0.68307
87,0.70285
88,0.72369
89,0.75688
90,0.79180
91,0.81597
92,0.84049
93,0.86503
94,0.88916
95,0.91239
96,0.93398
97,0.95333
98,0.96994
99,0.98329
100,0.99295
101,0.99859
102,1.00000
103,0.99711
104,0.99001
105,0.97875
106,0.96367
107,0.94565
108,0.92529
109,0.90321
110,0.88005
111,0.85641
112,0.83285
113,0.80982
114,0.78772
115,0.76704
116,0.74777
117,0.73000
118,0.71369
119,0.69879
120,0.68520
121,0.67277
122,0.66137
123,0.65086
124,0.63666
125,0.62367
126,0.61570
127,0.60821
128,0.60119
129,0.59465
130,0.58860
131,0.58306
132,0.57804
133,0.57359
134,0.56961
135,0.56606
136,0.56286
137,0.55992
138,0.55713
139,0.55435
140,0.55145
141,0.54829
142,0.54464
143,0.54040
144,0.53548
145,0.52979
146,0.52326
147,0.51588
148,0.50765
149,0.49860
150,0.48880
151,0.47830
152,0.46726
153,0.45586
154,0.44425
155,0.43259
156,0.42101
157,0.40966
158,0.39865
159,0.38809
160,0.37334
161,0.35978
162,0.35148
163,0.34368
164,0.33633
165,0.32936
166,0.32269
167,0.31624
168,0.30992
169,0.30367
170,0.29740
171,0.29108
172,0.28466
173,0.27813
174,0.27150
175,0.26479
176,0.25802
177,0.25125
178,0.24455
179,0.23799
180,0.23165
181,0.22560
182,0.21990
183,0.21461
184,0.20978
185,0.20542
186,0.20155
187,0.19819
188,0.19534
189,0.19291
190,0.19086
191,0.18911
192,0.18762
193,0.18633
194,0.18518
195,0.18361
196,0.18211
197,0.18112
198,0.18013
199,0.17913
200,0.17815
201,0.17718
202,0.17627
203,0.17541
204,0.17462
205,0.17392
206,0.17331
207,0.17277
208,0.17228
209,0.17184
210,0.17141
211,0.17097
212,0.17049
213,0.16996
214,0.16935
215,0.16865
216,0.16786
217,0.16699
218,0.16606
219,0.16510
220,0.16412
221,0.16317
222,0.16228
223,0.16147
224,0.16079
225,0.16027
226,0.15991
227,0.15973
228,0.15974
229,0.15992
230,0.16028
231,0.16115
232,0.16229
233,0.16322
234,0.16423
235,0.16530
236,0.16641
237,0.16755
238,0.16868
239,0.16980
240,0.17088
241,0.17190
242,0.17283
243,0.17365
244,0.17436
245,0.17492
246,0.17531
247,0.17553
248,0.17555
249,0.17536
250,0.17496
251,0.17430
252,0.17340
253,0.17227
254,0.17092
255,0.16936
256,0.16761
257,0.16568
258,0.16360
259,0.16139
260,0.15907
261,0.15667
262,0.15424
263,0.15181
264,0.14940
265,0.14705
266,0.14371
267,0.14063
268,0.13880
269,0.13718
270,0.13578
271,0.13459
272,0.13362
273,0.13287
274,0.13233
275,0.13199
276,0.13183
277,0.13181
278,0.13194
279,0.13216
280,0.13243
281,0.13272
282,0.13300
283,0.13324
284,0.13341
285,0.13349
286,0.13345
287,0.13331
288,0.13304
289,0.13267
290,0.13223
291,0.13176
292,0.13128
293,0.13083
294,0.13046
295,0.13020
296,0.13007
297,0.13014
298,0.13038
299,0.13080
300,0.13138
301,0.13211
302,0.13341
303,0.13482
304,0.13575
305,0.13662
306,0.13737
307,0.13797
308,0.13838
309,0.13857
310,0.13854
311,0.13826
312,0.13775
313,0.13701
314,0.13604
315,0.13487
316,0.13353
317,0.13206
318,0.13049
319,0.12884
320,0.12713
321,0.12538
322,0.12362
323,0.12186
324,0.12011
325,0.11838
326,0.11670
327,0.11506
328,0.11349
329,0.11198
330,0.11057
331,0.10927
332,0.10809
333,0.10707
334,0.10625
335,0.10566
336,0.10532
337,0.10546
338,0.10637
339,0.10761
340,0.10940
341,0.11182
342,0.11504
343,0.11903
344,0.12383
345,0.12950
346,0.13603
347,0.14341
348,0.15161
349,0.16056
350,0.17017
351,0.18032
352,0.19079
353,0.20134
354,0.21177
355,0.22184
356,0.23131
357,0.23996
358,0.24758
359,0.00000
360,0.00000
