day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.06875
5,0.06771
6,0.06611
7,0.06386
8,0.06095
9,0.05738
10,0.05322
11,0.04861
12,0.04370
13,0.03872
14,0.03389
15,0.02940
16,0.02540
17,0.02200
18,0.01821
19,0.01573
20,0.01484
21,0.01442
22,0.01435
23,0.01452
24,0.01483
25,0.01517
26,0.01548
27,0.01570
28,0.01580
29,0.01576
30,0.01557
31,0.01523
32,0.01475
33,0.01414
34,0.01342
35,0.01261
36,0.01175
37,0.01088
38,0.01002
39,0.00921
40,0.00847
41,0.00784
42,0.00736
43,0.00704
44,0.00694
45,0.00710
46,0.00755
47,0.00833
48,0.00948
49,0.01098
50,0.01278
51,0.01481
52,0.01697
53,0.02014
54,0.02292
55,0.02430
56,0.02520
57,0.02558
58,0.02542
59,0.02473
60,0.02361
61,0.02219
62,0.02060
63,0.01897
64,0.01741
65,0.01603
66,0.01491
67,0.01412
68,0.01370
69,0.01367
70,0.01402
71,0.01478
72,0.01592
73,0.01743
74,0.01926
75,0.02142
76,0.02388
77,0.02661
78,0.02960
79,0.03279
80,0.03614
81,0.03957
82,0.04301
83,0.04634
84,0.04944
85,0.05221
86,0.05458
87,0.05646
88,0.05786
89,0.05906
90,0.05959
91,0.05973
92,0.05995
93,0.06043
94,0.06138
95,0.06302
96,0.06540
97,0.06855
98,0.07241
99,0.07687
100,0.08175
101,0.08684
102,0.09191
103,0.09674
104,0.10114
105,0.10500
106,0.10824
107,0.11085
108,0.11296
109,0.11474
110,0.11638
111,0.11806
112,0.11994
113,0.12214
114,0.12470
115,0.12761
116,0.13078
117,0.13411
118,0.13743
119,0.14058
120,0.14344
121,0.14597
122,0.14819
123,0.15021
124,0.15317
125,0.15649
126,0.15921
127,0.16243
128,0.16619
129,0.17046
130,0.17518
131,0.18028
132,0.18567
133,0.19137
134,0.19748
135,0.20420
136,0.21182
137,0.22064
138,0.23102
139,0.24324
140,0.25749
141,0.27382
142,0.29217
143,0.31238
144,0.33387
145,0.35620
146,0.37896
147,0.40179
148,0.42448
149,0.44698
150,0.46939
151,0.49196
152,0.51401
153,0.53694
154,0.56114
155,0.58707
156,0.61487
157,0.64458
158,0.67607
159,0.70908
160,0.75391
161,0.80556
162,0.84728
163,0.87898
164,0.90816
165,0.93415
166,0.95624
167,0.97386
168,0.98692
169,0.99546
170,0.99963
171,0.99965
172,0.99585
173,0.98858
174,0.97741
175,0.96320
176,0.94633
177,0.92720
178,0.90616
179,0.88359
180,0.86003
181,0.83606
182,0.81226
183,0.78919
184,0.76742
185,0.74743
186,0.72961
187,0.71417
188,0.70112
189,0.69034
190,0.68146
191,0.67398
192,0.66724
193,0.66057
194,0.65343
195,0.64432
196,0.63013
197,0.61541
198,0.60373
199,0.59177
200,0.57996
201,0.56877
202,0.55870
203,0.55026
204,0.54374
205,0.53938
206,0.53731
207,0.53750
208,0.53977
209,0.54378
210,0.54902
211,0.55493
212,0.56089
213,0.56635
214,0.57078
215,0.57388
216,0.57561
217,0.57610
218,0.57556
219,0.57430
220,0.57267
221,0.57100
222,0.56954
223,0.56851
224,0.56801
225,0.56804
226,0.56850
227,0.56921
228,0.56990
229,0.57031
230,0.57019
231,0.56874
232,0.56546
233,0.56155
234,0.55717
235,0.55204
236,0.54629
237,0.54007
238,0.53355
239,0.52690
240,0.52029
241,0.51388
242,0.50782
243,0.50225
244,0.49727
245,0.49292
246,0.48921
247,0.48604
248,0.48324
249,0.48057
250,0.47774
251,0.47443
252,0.47041
253,0.46549
254,0.45954
255,0.45254
256,0.44452
257,0.43560
258,0.42591
259,0.41564
260,0.40495
261,0.39399
262,0.38286
263,0.37161
264,0.36022
265,0.34868
266,0.33110
267,0.31287
268,0.30039
269,0.28802
270,0.27570
271,0.26362
272,0.25194
273,0.24091
274,0.23062
275,0.22115
276,0.21254
277,0.20478
278,0.19785
279,0.19171
280,0.18632
281,0.18163
282,0.17761
283,0.17427
284,0.17158
285,0.16957
286,0.16819
287,0.16734
288,0.16693
289,0.16685
290,0.16693
291,0.16704
292,0.16704
293,0.16681
294,0.16628
295,0.16545
296,0.16432
297,0.16298
298,0.16152
299,0.16004
300,0.15861
301,0.15725
302,0.15528
303,0.15319
304,0.15155
305,0.14960
306,0.14726
307,0.14449
308,0.14129
309,0.13772
310,0.13389
311,0.12990
312,0.12581
313,0.12168
314,0.11752
315,0.11332
316,0.10905
317,0.10470
318,0.10025
319,0.09571
320,0.09116
321,0.08668
322,0.08239
323,0.07841
324,0.07483
325,0.07174
326,0.06920
327,0.06722
328,0.06580
329,0.06494
330,0.06458
331,0.06467
332,0.06515
333,0.06598
334,0.06704
335,0.06825
336,0.06953
337,0.07140
338,0.07305
339,0.07390
340,0.07452
341,0.07487
342,0.07496
343,0.07480
344,0.07439
345,0.07381
346,0.07312
347,0.07237
348,0.07163
349,0.07095
350,0.07037
351,0.06992
352,0.06963
353,0.06949
354,0.06947
355,0.06954
356,0.06962
357,0.06960
358,0.06936
359,0.00000
360,0.00000
