day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00115
5,0.00142
6,0.00240
7,0.00386
8,0.00530
9,0.00609
10,0.00579
11,0.00459
12,0.00305
13,0.00171
14,0.00081
15,0.00032
16,0.00011
17,0.00003
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00000
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00000
124,0.00000
125,0.00000
126,0.00000
127,0.00000
128,0.00000
129,0.00000
130,0.00000
131,0.00000
132,0.00000
133,0.00000
134,0.00002
135,0.00008
136,0.00025
137,0.00067
138,0.00147
139,0.00272
140,0.00421
141,0.00549
142,0.00600
143,0.00550
144,0.00422
145,0.00270
146,0.00144
147,0.00063
148,0.00023
149,0.00007
150,0.00002
151,0.00001
152,0.00004
153,0.00016
154,0.00052
155,0.00137
156,0.00301
157,0.00552
158,0.00847
159,0.01097
160,0.01188
161,0.01020
162,0.00879
163,0.00810
164,0.00815
165,0.00871
166,0.00977
167,0.01174
168,0.01508
169,0.01972
170,0.02482
171,0.02894
172,0.03063
173,0.02946
174,0.02656
175,0.02426
176,0.02470
177,0.02845
178,0.03428
179,0.04024
180,0.04516
181,0.04876
182,0.05102
183,0.05206
184,0.05243
185,0.05334
186,0.05593
187,0.06018
188,0.06450
189,0.06714
190,0.06802
191,0.06939
192,0.07426
193,0.08402
194,0.09698
195,0.11216
196,0.11390
197,0.10551
198,0.09404
199,0.08421
200,0.07914
201,0.07881
202,0.08057
203,0.08164
204,0.08167
205,0.08327
206,0.09051
207,0.10597
208,0.12886
209,0.15531
210,0.18016
211,0.20028
212,0.21663
213,0.23306
214,0.25355
215,0.28085
216,0.31636
217,0.35916
218,0.40481
219,0.44659
220,0.47966
221,0.50414
222,0.52406
223,0.54342
224,0.56349
225,0.58323
226,0.60125
227,0.61713
228,0.63189
229,0.64752
230,0.66528
231,0.69285
232,0.71492
233,0.72468
234,0.73321
235,0.74381
236,0.75911
237,0.78060
238,0.80825
239,0.84079
240,0.87663
241,0.91439
242,0.95176
243,0.98331
244,1.00000
245,0.99303
246,0.96034
247,0.91045
248,0.85969
249,0.82415
250,0.81254
251,0.82429
252,0.85277
253,0.88952
254,0.92651
255,0.95619
256,0.97157
257,0.96759
258,0.94295
259,0.90069
260,0.84637
261,0.78498
262,0.71909
263,0.64973
264,0.57921
265,0.51198
266,0.43018
267,0.37315
268,0.34771
269,0.32457
270,0.29885
271,0.26943
272,0.23850
273,0.20893
274,0.18224
275,0.15828
276,0.13606
277,0.11475
278,0.09441
279,0.07641
280,0.06279
281,0.05480
282,0.05160
283,0.05045
284,0.04851
285,0.04470
286,0.04043
287,0.03842
288,0.04080
289,0.04723
290,0.05454
291,0.05822
292,0.05568
293,0.04777
294,0.03731
295,0.02712
296,0.01896
297,0.01367
298,0.01150
299,0.01210
300,0.01448
301,0.01714
302,0.01863
303,0.01666
304,0.01373
305,0.01040
306,0.00718
307,0.00444
308,0.00243
309,0.00121
310,0.00072
311,0.00090
312,0.00179
313,0.00347
314,0.00586
315,0.00855
316,0.01089
317,0.01233
318,0.01292
319,0.01325
320,0.01391
321,0.01476
322,0.01520
323,0.01487
324,0.01410
325,0.01357
326,0.01360
327,0.01408
328,0.01483
329,0.01589
330,0.01726
331,0.01852
332,0.01879
333,0.01731
334,0.01408
335,0.00994
336,0.00601
337,0.00222
338,0.00049
339,0.00015
340,0.00004
341,0.00001
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00002
347,0.00007
348,0.00024
349,0.00066
350,0.00147
351,0.00274
352,0.00426
353,0.00552
354,0.00599
355,0.00545
356,0.00418
357,0.00274
358,0.00165
359,0.00000
360,0.00000
