day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.11500
5,0.11731
6,0.11694
7,0.11406
8,0.10911
9,0.10268
10,0.09535
11,0.08765
12,0.08000
13,0.07277
14,0.06631
15,0.06099
16,0.05718
17,0.05519
18,0.05601
19,0.06007
20,0.06409
21,0.06819
22,0.07164
23,0.07384
24,0.07441
25,0.07328
26,0.07068
27,0.06708
28,0.06303
29,0.05911
30,0.05570
31,0.05294
32,0.05082
33,0.04921
34,0.04791
35,0.04676
36,0.04568
37,0.04468
38,0.04384
39,0.04327
40,0.04308
41,0.04336
42,0.04413
43,0.04537
44,0.04704
45,0.04915
46,0.05170
47,0.05471
48,0.05821
49,0.06218
50,0.06654
51,0.07118
52,0.07592
53,0.08284
54,0.08937
55,0.09354
56,0.09776
57,0.10227
58,0.10729
59,0.11296
60,0.11925
61,0.12594
62,0.13258
63,0.13859
64,0.14347
65,0.14689
66,0.14887
67,0.14987
68,0.15073
69,0.15261
70,0.15672
71,0.16414
72,0.17559
73,0.19133
74,0.21119
75,0.23460
76,0.26077
77,0.28883
78,0.31795
79,0.34732
80,0.37627
81,0.40434
82,0.43121
83,0.45681
84,0.48132
85,0.50520
86,0.52913
87,0.55383
88,0.57991
89,0.62238
90,0.66744
91,0.69795
92,0.72757
93,0.75540
94,0.78080
95,0.80349
96,0.82379
97,0.84210
98,0.85893
99,0.87480
100,0.89027
101,0.90580
102,0.92171
103,0.93800
104,0.95427
105,0.96968
106,0.98305
107,0.99313
108,0.99894
109,1.00000
110,0.99648
111,0.98909
112,0.97875
113,0.96665
114,0.95354
115,0.94001
116,0.92659
117,0.91382
118,0.90213
119,0.89170
120,0.88223
121,0.87291
122,0.86260
123,0.85012
124,0.82524
125,0.79406
126,0.77004
127,0.74477
128,0.71926
129,0.69445
130,0.67093
131,0.64894
132,0.62839
133,0.60878
134,0.58938
135,0.56941
136,0.54826
137,0.52567
138,0.50179
139,0.47711
140,0.45238
141,0.42840
142,0.40590
143,0.38545
144,0.36732
145,0.35164
146,0.33804
147,0.32605
148,0.31515
149,0.30486
150,0.29474
151,0.28444
152,0.27374
153,0.26256
154,0.25097
155,0.23920
156,0.22760
157,0.21660
158,0.20661
159,0.19792
160,0.18773
161,0.18013
162,0.17634
163,0.17315
164,0.17041
165,0.16806
166,0.16601
167,0.16416
168,0.16222
169,0.15980
170,0.15644
171,0.15176
172,0.14558
173,0.13800
174,0.12939
175,0.12031
176,0.11138
177,0.10314
178,0.09596
179,0.09000
180,0.08518
181,0.08133
182,0.07827
183,0.07581
184,0.07381
185,0.07221
186,0.07100
187,0.07024
188,0.06996
189,0.07017
190,0.07079
191,0.07166
192,0.07260
193,0.07339
194,0.07383
195,0.07343
196,0.07177
197,0.06980
198,0.06723
199,0.06420
200,0.06096
201,0.05784
202,0.05524
203,0.05355
204,0.05308
205,0.05397
206,0.05618
207,0.05943
208,0.06330
209,0.06725
210,0.07073
211,0.07327
212,0.07453
213,0.07455
214,0.07352
215,0.07179
216,0.06976
217,0.06782
218,0.06629
219,0.06530
220,0.06481
221,0.06464
222,0.06449
223,0.06409
224,0.06321
225,0.06181
226,0.06005
227,0.05825
228,0.05688
229,0.05645
230,0.05728
231,0.06125
232,0.06751
233,0.07252
234,0.07746
235,0.08174
236,0.08488
237,0.08655
238,0.08669
239,0.08549
240,0.08334
241,0.08081
242,0.07844
243,0.07672
244,0.07592
245,0.07618
246,0.07732
247,0.07911
248,0.08130
249,0.08367
250,0.08601
251,0.08816
252,0.08995
253,0.09123
254,0.09184
255,0.09164
256,0.09057
257,0.08863
258,0.08595
259,0.08270
260,0.07917
261,0.07563
262,0.07236
263,0.06954
264,0.06724
265,0.06547
266,0.06370
267,0.06267
268,0.06237
269,0.06233
270,0.06250
271,0.06284
272,0.06326
273,0.06365
274,0.06389
275,0.06386
276,0.06346
277,0.06267
278,0.06152
279,0.06019
280,0.05887
281,0.05781
282,0.05717
283,0.05705
284,0.05741
285,0.05809
286,0.05887
287,0.05949
288,0.05976
289,0.05956
290,0.05891
291,0.05792
292,0.05679
293,0.05572
294,0.05487
295,0.05430
296,0.05400
297,0.05391
298,0.05398
299,0.05424
300,0.05478
301,0.05572
302,0.05815
303,0.06153
304,0.06409
305,0.06649
306,0.06837
307,0.06944
308,0.06952
309,0.06863
310,0.06692
311,0.06467
312,0.06223
313,0.05992
314,0.05794
315,0.05636
316,0.05515
317,0.05419
318,0.05333
319,0.05247
320,0.05157
321,0.05067
322,0.04990
323,0.04938
324,0.04917
325,0.04921
326,0.04935
327,0.04937
328,0.04908
329,0.04841
330,0.04750
331,0.04662
332,0.04607
333,0.04610
334,0.04680
335,0.04807
336,0.04963
337,0.05154
338,0.05213
339,0.05130
340,0.04960
341,0.04727
342,0.04467
343,0.04220
344,0.04021
345,0.03903
346,0.03879
347,0.03958
348,0.04145
349,0.04443
350,0.04856
351,0.05388
352,0.06038
353,0.06799
354,0.07653
355,0.08563
356,0.09476
357,0.10324
358,0.11032
359,0.00000
360,0.00000
