day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00001
48,0.00005
49,0.00015
50,0.00037
51,0.00076
52,0.00129
53,0.00203
54,0.00223
55,0.00188
56,0.00132
57,0.00078
58,0.00038
59,0.00015
60,0.00005
61,0.00001
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00001
90,0.00004
91,0.00013
92,0.00031
93,0.00066
94,0.00117
95,0.00174
96,0.00216
97,0.00224
98,0.00196
99,0.00144
100,0.00089
101,0.00047
102,0.00021
103,0.00008
104,0.00002
105,0.00001
106,0.00000
107,0.00000
108,0.00000
109,0.00001
110,0.00002
111,0.00008
112,0.00020
113,0.00046
114,0.00088
115,0.00142
116,0.00194
117,0.00223
118,0.00216
119,0.00175
120,0.00120
121,0.00069
122,0.00036
123,0.00027
124,0.00057
125,0.00130
126,0.00194
127,0.00253
128,0.00298
129,0.00336
130,0.00385
131,0.00463
132,0.00577
133,0.00721
134,0.00877
135,0.01033
136,0.01190
137,0.01373
138,0.01626
139,0.02006
140,0.02573
141,0.03370
142,0.04381
143,0.05530
144,0.06743
145,0.08045
146,0.09581
147,0.11516
148,0.13905
149,0.16686
150,0.19789
151,0.23218
152,0.26944
153,0.30822
154,0.34619
155,0.38194
156,0.43324
157,0.48960
158,0.55331
159,0.62481
160,0.72936
161,0.82814
162,0.88574
163,0.92809
164,0.95562
165,0.96963
166,0.97186
167,0.96554
168,0.95586
169,0.94827
170,0.94600
171,0.94905
172,0.95536
173,0.96275
174,0.96939
175,0.97213
176,0.96651
177,0.95144
178,0.93548
179,0.92730
180,0.93167
181,0.94421
182,0.95352
183,0.94968
184,0.93188
185,0.90821
186,0.88833
187,0.87619
188,0.86932
189,0.86318
190,0.85357
191,0.84397
192,0.84081
193,0.84416
194,0.85117
195,0.85391
196,0.84573
197,0.82566
198,0.79757
199,0.76824
200,0.74131
201,0.71585
202,0.68940
203,0.66238
204,0.63771
205,0.61765
206,0.60262
207,0.59222
208,0.58675
209,0.58599
210,0.58776
211,0.58899
212,0.58807
213,0.58586
214,0.58419
215,0.58414
216,0.58593
217,0.58953
218,0.59436
219,0.59880
220,0.60109
221,0.60147
222,0.60287
223,0.60826
224,0.61683
225,0.62278
226,0.61372
227,0.59141
228,0.55965
229,0.52119
230,0.48445
231,0.44096
232,0.40629
233,0.38590
234,0.36806
235,0.35637
236,0.35226
237,0.35265
238,0.35219
239,0.34757
240,0.33952
241,0.33075
242,0.32232
243,0.31207
244,0.29638
245,0.27331
246,0.24440
247,0.21334
248,0.18695
249,0.16853
250,0.15864
251,0.15546
252,0.15580
253,0.15629
254,0.15447
255,0.14928
256,0.14100
257,0.13056
258,0.11850
259,0.10484
260,0.08973
261,0.07420
262,0.05978
263,0.04752
264,0.03749
265,0.02953
266,0.02160
267,0.01737
268,0.01627
269,0.01551
270,0.01435
271,0.01241
272,0.00978
273,0.00696
274,0.00452
275,0.00292
276,0.00234
277,0.00266
278,0.00352
279,0.00444
280,0.00500
281,0.00514
282,0.00508
283,0.00509
284,0.00516
285,0.00500
286,0.00436
287,0.00327
288,0.00208
289,0.00110
290,0.00049
291,0.00019
292,0.00006
293,0.00002
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
