day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.02774
5,0.02631
6,0.02457
7,0.02265
8,0.02074
9,0.01890
10,0.01712
11,0.01536
12,0.01357
13,0.01174
14,0.00990
15,0.00818
16,0.00678
17,0.00594
18,0.00598
19,0.00702
20,0.00800
21,0.00897
22,0.00989
23,0.01076
24,0.01157
25,0.01218
26,0.01237
27,0.01197
28,0.01100
29,0.00970
30,0.00848
31,0.00768
32,0.00744
33,0.00762
34,0.00796
35,0.00822
36,0.00827
37,0.00807
38,0.00762
39,0.00703
40,0.00655
41,0.00656
42,0.00738
43,0.00903
44,0.01116
45,0.01309
46,0.01416
47,0.01406
48,0.01303
49,0.01175
50,0.01093
51,0.01100
52,0.01191
53,0.01391
54,0.01561
55,0.01643
56,0.01716
57,0.01789
58,0.01849
59,0.01878
60,0.01866
61,0.01814
62,0.01729
63,0.01613
64,0.01466
65,0.01288
66,0.01092
67,0.00896
68,0.00721
69,0.00587
70,0.00506
71,0.00484
72,0.00519
73,0.00600
74,0.00709
75,0.00821
76,0.00915
77,0.00979
78,0.01016
79,0.01036
80,0.01053
81,0.01088
82,0.01163
83,0.01294
84,0.01481
85,0.01692
86,0.01888
87,0.02046
88,0.02182
89,0.02475
90,0.02961
91,0.03423
92,0.03958
93,0.04544
94,0.05178
95,0.05880
96,0.06686
97,0.07635
98,0.08747
99,0.10007
100,0.11362
101,0.12761
102,0.14189
103,0.15680
104,0.17274
105,0.18967
106,0.20699
107,0.22437
108,0.24233
109,0.26203
110,0.28451
111,0.30999
112,0.33793
113,0.36749
114,0.39800
115,0.42911
116,0.46086
117,0.49375
118,0.52874
119,0.56659
120,0.60686
121,0.64732
122,0.68474
123,0.71673
124,0.75541
125,0.79226
126,0.81975
127,0.84912
128,0.87772
129,0.90308
130,0.92479
131,0.94431
132,0.96278
133,0.97953
134,0.99243
135,0.99946
136,1.00000
137,0.99449
138,0.98335
139,0.96653
140,0.94436
141,0.91875
142,0.89332
143,0.87193
144,0.85671
145,0.84691
146,0.83956
147,0.83121
148,0.81953
149,0.80390
150,0.78482
151,0.76300
152,0.73883
153,0.71234
154,0.68354
155,0.65293
156,0.62175
157,0.59166
158,0.56430
159,0.54072
160,0.51317
161,0.49222
162,0.48134
163,0.47150
164,0.46157
165,0.45069
166,0.43864
167,0.42594
168,0.41333
169,0.40113
170,0.38895
171,0.37595
172,0.36164
173,0.34640
174,0.33128
175,0.31725
176,0.30436
177,0.29160
178,0.27738
179,0.26066
180,0.24180
181,0.22252
182,0.20531
183,0.19231
184,0.18452
185,0.18160
186,0.18234
187,0.18542
188,0.18971
189,0.19434
190,0.19847
191,0.20131
192,0.20230
193,0.20136
194,0.19891
195,0.19426
196,0.19058
197,0.18939
198,0.18881
199,0.18813
200,0.18658
201,0.18368
202,0.17921
203,0.17332
204,0.16645
205,0.15915
206,0.15207
207,0.14577
208,0.14067
209,0.13705
210,0.13511
211,0.13481
212,0.13580
213,0.13730
214,0.13832
215,0.13804
216,0.13622
217,0.13319
218,0.12953
219,0.12562
220,0.12136
221,0.11655
222,0.11134
223,0.10669
224,0.10403
225,0.10441
226,0.10767
227,0.11225
228,0.11597
229,0.11748
230,0.11670
231,0.11315
232,0.10936
233,0.10688
234,0.10374
235,0.09937
236,0.09386
237,0.08807
238,0.08321
239,0.08019
240,0.07916
241,0.07958
242,0.08059
243,0.08144
244,0.08162
245,0.08086
246,0.07905
247,0.07626
248,0.07274
249,0.06892
250,0.06539
251,0.06270
252,0.06117
253,0.06054
254,0.06023
255,0.05964
256,0.05856
257,0.05721
258,0.05603
259,0.05524
260,0.05473
261,0.05420
262,0.05338
263,0.05217
264,0.05056
265,0.04850
266,0.04441
267,0.03991
268,0.03750
269,0.03618
270,0.03590
271,0.03600
272,0.03553
273,0.03383
274,0.03100
275,0.02778
276,0.02514
277,0.02367
278,0.02358
279,0.02480
280,0.02712
281,0.03013
282,0.03320
283,0.03564
284,0.03691
285,0.03689
286,0.03595
287,0.03473
288,0.03382
289,0.03341
290,0.03320
291,0.03252
292,0.03075
293,0.02763
294,0.02340
295,0.01873
296,0.01447
297,0.01137
298,0.00993
299,0.01027
300,0.01224
301,0.01527
302,0.02002
303,0.02331
304,0.02402
305,0.02379
306,0.02296
307,0.02179
308,0.02046
309,0.01905
310,0.01764
311,0.01632
312,0.01513
313,0.01405
314,0.01307
315,0.01229
316,0.01192
317,0.01216
318,0.01303
319,0.01433
320,0.01567
321,0.01669
322,0.01713
323,0.01694
324,0.01615
325,0.01492
326,0.01347
327,0.01212
328,0.01128
329,0.01133
330,0.01237
331,0.01416
332,0.01615
333,0.01781
334,0.01877
335,0.01896
336,0.01850
337,0.01686
338,0.01483
339,0.01376
340,0.01341
341,0.01405
342,0.01564
343,0.01779
344,0.01984
345,0.02120
346,0.02156
347,0.02115
348,0.02070
349,0.02105
350,0.02261
351,0.02518
352,0.02801
353,0.03024
354,0.03134
355,0.03135
356,0.03069
357,0.02980
358,0.02883
359,0.00000
360,0.00000
