day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.08245
5,0.07657
6,0.07065
7,0.06487
8,0.05933
9,0.05411
10,0.04923
11,0.04468
12,0.04044
13,0.03650
14,0.03282
15,0.02939
16,0.02622
17,0.02333
18,0.01964
19,0.01658
20,0.01499
21,0.01372
22,0.01274
23,0.01201
24,0.01149
25,0.01113
26,0.01086
27,0.01065
28,0.01042
29,0.01013
30,0.00976
31,0.00927
32,0.00868
33,0.00797
34,0.00719
35,0.00634
36,0.00547
37,0.00460
38,0.00378
39,0.00302
40,0.00236
41,0.00180
42,0.00135
43,0.00099
44,0.00073
45,0.00054
46,0.00043
47,0.00039
48,0.00040
49,0.00047
50,0.00060
51,0.00079
52,0.00104
53,0.00155
54,0.00219
55,0.00270
56,0.00326
57,0.00387
58,0.00451
59,0.00517
60,0.00583
61,0.00645
62,0.00703
63,0.00752
64,0.00790
65,0.00816
66,0.00826
67,0.00820
68,0.00799
69,0.00764
70,0.00715
71,0.00658
72,0.00594
73,0.00528
74,0.00463
75,0.00405
76,0.00356
77,0.00317
78,0.00289
79,0.00272
80,0.00264
81,0.00264
82,0.00270
83,0.00280
84,0.00291
85,0.00304
86,0.00317
87,0.00332
88,0.00348
89,0.00381
90,0.00428
91,0.00470
92,0.00523
93,0.00586
94,0.00659
95,0.00741
96,0.00831
97,0.00926
98,0.01024
99,0.01121
100,0.01216
101,0.01306
102,0.01391
103,0.01468
104,0.01540
105,0.01606
106,0.01669
107,0.01732
108,0.01797
109,0.01870
110,0.01954
111,0.02053
112,0.02171
113,0.02307
114,0.02465
115,0.02644
116,0.02841
117,0.03056
118,0.03285
119,0.03523
120,0.03766
121,0.04010
122,0.04248
123,0.04478
124,0.04794
125,0.05074
126,0.05231
127,0.05362
128,0.05466
129,0.05541
130,0.05590
131,0.05619
132,0.05638
133,0.05664
134,0.05719
135,0.05829
136,0.06019
137,0.06320
138,0.06759
139,0.07360
140,0.08143
141,0.09121
142,0.10298
143,0.11671
144,0.13237
145,0.14951
146,0.16775
147,0.18671
148,0.20598
149,0.22517
150,0.24397
151,0.26218
152,0.27972
153,0.29666
154,0.31324
155,0.32979
156,0.34681
157,0.36471
158,0.38382
159,0.40435
160,0.43799
161,0.47403
162,0.49908
163,0.52433
164,0.54930
165,0.57353
166,0.59659
167,0.61809
168,0.63790
169,0.65587
170,0.67187
171,0.68573
172,0.69730
173,0.70637
174,0.71266
175,0.71614
176,0.71671
177,0.71436
178,0.70912
179,0.70142
180,0.69195
181,0.68143
182,0.67068
183,0.66059
184,0.65198
185,0.64561
186,0.64210
187,0.64187
188,0.64513
189,0.65183
190,0.66184
191,0.67448
192,0.68888
193,0.70408
194,0.71908
195,0.73676
196,0.75131
197,0.75760
198,0.75810
199,0.75437
200,0.74667
201,0.73554
202,0.72208
203,0.70764
204,0.69353
205,0.68099
206,0.67110
207,0.66468
208,0.66223
209,0.66388
210,0.66940
211,0.67824
212,0.68962
213,0.70261
214,0.71618
215,0.72943
216,0.74178
217,0.75288
218,0.76263
219,0.77109
220,0.77849
221,0.78510
222,0.79118
223,0.79692
224,0.80242
225,0.80762
226,0.81234
227,0.81641
228,0.81963
229,0.82185
230,0.82304
231,0.82312
232,0.82196
233,0.82035
234,0.81953
235,0.81964
236,0.82130
237,0.82514
238,0.83153
239,0.84076
240,0.85292
241,0.86786
242,0.88518
243,0.90422
244,0.92403
245,0.94355
246,0.96164
247,0.97717
248,0.98907
249,0.99664
250,1.00000
251,0.99928
252,0.99506
253,0.98825
254,0.97983
255,0.97067
256,0.96145
257,0.95246
258,0.94370
259,0.93474
260,0.92483
261,0.91313
262,0.89894
263,0.88175
264,0.86135
265,0.83786
266,0.80713
267,0.76461
268,0.72654
269,0.69887
270,0.67347
271,0.65129
272,0.63286
273,0.61846
274,0.60817
275,0.60185
276,0.59913
277,0.59949
278,0.60222
279,0.60653
280,0.61158
281,0.61652
282,0.62050
283,0.62290
284,0.62333
285,0.62163
286,0.61776
287,0.61185
288,0.60412
289,0.59486
290,0.58434
291,0.57283
292,0.56055
293,0.54766
294,0.53426
295,0.52052
296,0.50652
297,0.49238
298,0.47823
299,0.46424
300,0.45085
301,0.43795
302,0.41995
303,0.40360
304,0.39392
305,0.38516
306,0.37713
307,0.36962
308,0.36241
309,0.35524
310,0.34788
311,0.34014
312,0.33190
313,0.32315
314,0.31397
315,0.30456
316,0.29517
317,0.28617
318,0.27782
319,0.27034
320,0.26381
321,0.25824
322,0.25351
323,0.24939
324,0.24560
325,0.24183
326,0.23775
327,0.23310
328,0.22761
329,0.22120
330,0.21391
331,0.20584
332,0.19712
333,0.18797
334,0.17856
335,0.16912
336,0.15981
337,0.14655
338,0.13433
339,0.12713
340,0.12077
341,0.11533
342,0.11087
343,0.10743
344,0.10501
345,0.10358
346,0.10304
347,0.10323
348,0.10394
349,0.10493
350,0.10590
351,0.10653
352,0.10654
353,0.10574
354,0.10400
355,0.10129
356,0.09763
357,0.09315
358,0.08800
359,0.00000
360,0.00000
