day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01858
5,0.01901
6,0.01725
7,0.01422
8,0.01194
9,0.01064
10,0.00976
11,0.00965
12,0.01022
13,0.01037
14,0.00960
15,0.00843
16,0.00766
17,0.00805
18,0.00980
19,0.00863
20,0.00632
21,0.00549
22,0.00638
23,0.00728
24,0.00689
25,0.00588
26,0.00555
27,0.00561
28,0.00524
29,0.00503
30,0.00555
31,0.00611
32,0.00598
33,0.00542
34,0.00529
35,0.00698
36,0.01123
37,0.01498
38,0.01437
39,0.01071
40,0.00797
41,0.00762
42,0.00867
43,0.00988
44,0.01055
45,0.01099
46,0.01209
47,0.01293
48,0.01196
49,0.01030
50,0.00983
51,0.01074
52,0.01235
53,0.01383
54,0.01310
55,0.01237
56,0.01338
57,0.01786
58,0.02633
59,0.03580
60,0.04141
61,0.04232
62,0.04190
63,0.04213
64,0.04311
65,0.04558
66,0.04933
67,0.05264
68,0.05538
69,0.06010
70,0.06872
71,0.08020
72,0.09262
73,0.10416
74,0.11373
75,0.12348
76,0.13634
77,0.15125
78,0.16609
79,0.18489
80,0.21316
81,0.24398
82,0.26416
83,0.27453
84,0.28792
85,0.31373
86,0.34880
87,0.38051
88,0.40681
89,0.45576
90,0.50672
91,0.53962
92,0.57332
93,0.60307
94,0.62942
95,0.66345
96,0.71725
97,0.78684
98,0.84540
99,0.86134
100,0.83727
101,0.81326
102,0.81843
103,0.84485
104,0.87356
105,0.90463
106,0.94853
107,0.99221
108,1.00000
109,0.95966
110,0.89950
111,0.85040
112,0.82044
113,0.81052
114,0.81454
115,0.79568
116,0.71968
117,0.61818
118,0.54882
119,0.51969
120,0.51393
121,0.52498
122,0.53898
123,0.53249
124,0.45261
125,0.34218
126,0.29460
127,0.27754
128,0.27220
129,0.25485
130,0.22896
131,0.21069
132,0.19255
133,0.16772
134,0.14825
135,0.14137
136,0.14325
137,0.14535
138,0.13702
139,0.11611
140,0.09090
141,0.06897
142,0.05356
143,0.04597
144,0.04420
145,0.04386
146,0.04262
147,0.03938
148,0.03327
149,0.02653
150,0.02188
151,0.01862
152,0.01523
153,0.01208
154,0.00987
155,0.00836
156,0.00731
157,0.00672
158,0.00626
159,0.00577
160,0.00578
161,0.00656
162,0.00778
163,0.01137
164,0.02215
165,0.04677
166,0.07835
167,0.08779
168,0.06142
169,0.02655
170,0.00777
171,0.00231
172,0.00155
173,0.00206
174,0.00295
175,0.00368
176,0.00358
177,0.00258
178,0.00136
179,0.00066
180,0.00098
181,0.00251
182,0.00447
183,0.00524
184,0.00446
185,0.00332
186,0.00237
187,0.00144
188,0.00064
189,0.00020
190,0.00005
191,0.00009
192,0.00047
193,0.00163
194,0.00373
195,0.00623
196,0.00603
197,0.00482
198,0.00385
199,0.00356
200,0.00397
201,0.00490
202,0.00579
203,0.00597
204,0.00577
205,0.00601
206,0.00642
207,0.00615
208,0.00520
209,0.00436
210,0.00432
211,0.00500
212,0.00548
213,0.00530
214,0.00534
215,0.00637
216,0.00750
217,0.00781
218,0.00884
219,0.01202
220,0.01459
221,0.01273
222,0.00767
223,0.00346
224,0.00209
225,0.00393
226,0.00870
227,0.01363
228,0.01493
229,0.01316
230,0.01385
231,0.02527
232,0.03626
233,0.03629
234,0.03030
235,0.02158
236,0.01434
237,0.01022
238,0.00878
239,0.00946
240,0.01175
241,0.01445
242,0.01588
243,0.01528
244,0.01356
245,0.01193
246,0.01076
247,0.01007
248,0.01024
249,0.01167
250,0.01429
251,0.01787
252,0.02184
253,0.02459
254,0.02435
255,0.02122
256,0.01711
257,0.01368
258,0.01142
259,0.01074
260,0.01200
261,0.01442
262,0.01632
263,0.01625
264,0.01409
265,0.01150
266,0.01169
267,0.01635
268,0.01948
269,0.02040
270,0.01894
271,0.01628
272,0.01393
273,0.01188
274,0.01013
275,0.00985
276,0.01106
277,0.01253
278,0.01366
279,0.01492
280,0.01645
281,0.01779
282,0.01916
283,0.02106
284,0.02243
285,0.02175
286,0.01960
287,0.01832
288,0.01914
289,0.02062
290,0.02054
291,0.01845
292,0.01550
293,0.01313
294,0.01254
295,0.01416
296,0.01696
297,0.01885
298,0.01830
299,0.01578
300,0.01373
301,0.01413
302,0.01744
303,0.01931
304,0.01850
305,0.01662
306,0.01486
307,0.01431
308,0.01514
309,0.01692
310,0.01941
311,0.02188
312,0.02255
313,0.02128
314,0.01994
315,0.01881
316,0.01650
317,0.01320
318,0.01111
319,0.01068
320,0.01033
321,0.00975
322,0.00980
323,0.01068
324,0.01182
325,0.01268
326,0.01304
327,0.01223
328,0.01031
329,0.00836
330,0.00693
331,0.00597
332,0.00601
333,0.00719
334,0.00831
335,0.00831
336,0.00723
337,0.00619
338,0.00704
339,0.00699
340,0.00542
341,0.00355
342,0.00281
343,0.00321
344,0.00387
345,0.00446
346,0.00566
347,0.00814
348,0.01102
349,0.01217
350,0.01077
351,0.00875
352,0.00822
353,0.00886
354,0.00949
355,0.01051
356,0.01281
357,0.01545
358,0.01725
359,0.00000
360,0.00000
