day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00001
41,0.00005
42,0.00020
43,0.00051
44,0.00079
45,0.00087
46,0.00099
47,0.00130
48,0.00142
49,0.00106
50,0.00052
51,0.00031
52,0.00057
53,0.00129
54,0.00128
55,0.00097
56,0.00100
57,0.00136
58,0.00195
59,0.00272
60,0.00318
61,0.00317
62,0.00330
63,0.00384
64,0.00405
65,0.00380
66,0.00461
67,0.00726
68,0.01078
69,0.01570
70,0.02347
71,0.03234
72,0.03981
73,0.04777
74,0.05908
75,0.07041
76,0.07846
77,0.08560
78,0.09416
79,0.10692
80,0.12582
81,0.14937
82,0.17598
83,0.20253
84,0.22847
85,0.26407
86,0.32050
87,0.38757
88,0.44431
89,0.51725
90,0.60114
91,0.66089
92,0.70281
93,0.70484
94,0.67567
95,0.65457
96,0.67323
97,0.72695
98,0.78144
99,0.81003
100,0.82154
101,0.83782
102,0.85979
103,0.87429
104,0.87892
105,0.88867
106,0.91792
107,0.96017
108,0.99516
109,1.00000
110,0.94962
111,0.84972
112,0.75327
113,0.69807
114,0.66696
115,0.63303
116,0.59884
117,0.56624
118,0.52546
119,0.49732
120,0.50535
121,0.52303
122,0.51943
123,0.50108
124,0.47754
125,0.47289
126,0.44723
127,0.39220
128,0.34350
129,0.31265
130,0.28578
131,0.26069
132,0.24872
133,0.25184
134,0.25584
135,0.24696
136,0.22490
137,0.20061
138,0.18655
139,0.18309
140,0.17735
141,0.16224
142,0.14759
143,0.14503
144,0.15261
145,0.16108
146,0.16709
147,0.17164
148,0.17167
149,0.16643
150,0.16113
151,0.15672
152,0.15116
153,0.14977
154,0.15045
155,0.13660
156,0.10755
157,0.08170
158,0.06702
159,0.06141
160,0.06240
161,0.05729
162,0.04971
163,0.04448
164,0.04143
165,0.03644
166,0.02848
167,0.02052
168,0.01514
169,0.01346
170,0.01524
171,0.01835
172,0.02003
173,0.01945
174,0.01740
175,0.01469
176,0.01173
177,0.00958
178,0.00905
179,0.00951
180,0.01258
181,0.02128
182,0.02821
183,0.02367
184,0.01398
185,0.00805
186,0.00612
187,0.00563
188,0.00534
189,0.00514
190,0.00489
191,0.00432
192,0.00336
193,0.00252
194,0.00216
195,0.00303
196,0.00496
197,0.00539
198,0.00475
199,0.00409
200,0.00378
201,0.00328
202,0.00248
203,0.00193
204,0.00176
205,0.00161
206,0.00135
207,0.00101
208,0.00066
209,0.00052
210,0.00067
211,0.00090
212,0.00109
213,0.00139
214,0.00157
215,0.00125
216,0.00078
217,0.00068
218,0.00077
219,0.00063
220,0.00031
221,0.00009
222,0.00005
223,0.00018
224,0.00048
225,0.00078
226,0.00084
227,0.00081
228,0.00085
229,0.00073
230,0.00039
231,0.00008
232,0.00012
233,0.00038
234,0.00069
235,0.00073
236,0.00047
237,0.00030
238,0.00057
239,0.00133
240,0.00212
241,0.00229
242,0.00185
243,0.00122
244,0.00064
245,0.00025
246,0.00006
247,0.00001
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00001
287,0.00007
288,0.00041
289,0.00128
290,0.00216
291,0.00210
292,0.00124
293,0.00045
294,0.00010
295,0.00001
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00002
302,0.00027
303,0.00071
304,0.00072
305,0.00043
306,0.00016
307,0.00003
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
