day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00645
5,0.00681
6,0.00676
7,0.00635
8,0.00579
9,0.00532
10,0.00510
11,0.00516
12,0.00547
13,0.00594
14,0.00646
15,0.00697
16,0.00744
17,0.00787
18,0.00856
19,0.00938
20,0.00999
21,0.01051
22,0.01075
23,0.01056
24,0.00988
25,0.00881
26,0.00757
27,0.00640
28,0.00547
29,0.00479
30,0.00432
31,0.00395
32,0.00357
33,0.00314
34,0.00262
35,0.00205
36,0.00149
37,0.00099
38,0.00061
39,0.00033
40,0.00017
41,0.00008
42,0.00003
43,0.00001
44,0.00001
45,0.00002
46,0.00005
47,0.00013
48,0.00028
49,0.00054
50,0.00097
51,0.00157
52,0.00230
53,0.00339
54,0.00411
55,0.00418
56,0.00394
57,0.00350
58,0.00304
59,0.00269
60,0.00252
61,0.00249
62,0.00254
63,0.00258
64,0.00259
65,0.00265
66,0.00285
67,0.00327
68,0.00390
69,0.00463
70,0.00533
71,0.00588
72,0.00627
73,0.00653
74,0.00674
75,0.00690
76,0.00698
77,0.00694
78,0.00674
79,0.00636
80,0.00579
81,0.00503
82,0.00414
83,0.00320
84,0.00231
85,0.00159
86,0.00114
87,0.00102
88,0.00135
89,0.00295
90,0.00588
91,0.00872
92,0.01201
93,0.01531
94,0.01818
95,0.02023
96,0.02125
97,0.02126
98,0.02051
99,0.01933
100,0.01811
101,0.01711
102,0.01648
103,0.01629
104,0.01655
105,0.01732
106,0.01870
107,0.02076
108,0.02347
109,0.02674
110,0.03044
111,0.03456
112,0.03921
113,0.04449
114,0.05026
115,0.05593
116,0.06073
117,0.06407
118,0.06591
119,0.06679
120,0.06764
121,0.06937
122,0.07262
123,0.07765
124,0.08914
125,0.10520
126,0.11953
127,0.13675
128,0.15649
129,0.17773
130,0.19903
131,0.21885
132,0.23612
133,0.25054
134,0.26278
135,0.27424
136,0.28676
137,0.30189
138,0.32079
139,0.34403
140,0.37156
141,0.40272
142,0.43628
143,0.47061
144,0.50388
145,0.53428
146,0.56035
147,0.58120
148,0.59687
149,0.60845
150,0.61803
151,0.62831
152,0.64180
153,0.66013
154,0.68377
155,0.71233
156,0.74520
157,0.78203
158,0.82227
159,0.86455
160,0.92512
161,0.97361
162,0.99263
163,1.00000
164,0.99663
165,0.98474
166,0.96701
167,0.94555
168,0.92133
169,0.89412
170,0.86302
171,0.82734
172,0.78733
173,0.74445
174,0.70095
175,0.65925
176,0.62123
177,0.58794
178,0.55978
179,0.53660
180,0.51814
181,0.50433
182,0.49500
183,0.48950
184,0.48658
185,0.48446
186,0.48120
187,0.47515
188,0.46548
189,0.45239
190,0.43709
191,0.42126
192,0.40639
193,0.39339
194,0.38251
195,0.37033
196,0.36219
197,0.35936
198,0.35817
199,0.35819
200,0.35892
201,0.35973
202,0.35967
203,0.35732
204,0.35122
205,0.34060
206,0.32596
207,0.30917
208,0.29273
209,0.27876
210,0.26805
211,0.25988
212,0.25257
213,0.24438
214,0.23435
215,0.22262
216,0.21017
217,0.19827
218,0.18793
219,0.17955
220,0.17302
221,0.16785
222,0.16356
223,0.15988
224,0.15680
225,0.15437
226,0.15253
227,0.15103
228,0.14952
229,0.14769
230,0.14529
231,0.14021
232,0.13384
233,0.12937
234,0.12562
235,0.12331
236,0.12281
237,0.12381
238,0.12538
239,0.12628
240,0.12551
241,0.12275
242,0.11872
243,0.11525
244,0.11460
245,0.11853
246,0.12740
247,0.13969
248,0.15231
249,0.16173
250,0.16540
251,0.16264
252,0.15467
253,0.14392
254,0.13296
255,0.12369
256,0.11701
257,0.11274
258,0.11005
259,0.10784
260,0.10523
261,0.10183
262,0.09777
263,0.09347
264,0.08936
265,0.08570
266,0.08110
267,0.07700
268,0.07418
269,0.07094
270,0.06715
271,0.06285
272,0.05830
273,0.05390
274,0.05001
275,0.04683
276,0.04442
277,0.04274
278,0.04174
279,0.04143
280,0.04187
281,0.04305
282,0.04476
283,0.04654
284,0.04778
285,0.04798
286,0.04689
287,0.04493
288,0.04286
289,0.04151
290,0.04148
291,0.04286
292,0.04522
293,0.04781
294,0.04984
295,0.05078
296,0.05050
297,0.04919
298,0.04714
299,0.04458
300,0.04160
301,0.03824
302,0.03278
303,0.02758
304,0.02490
305,0.02318
306,0.02262
307,0.02325
308,0.02485
309,0.02696
310,0.02902
311,0.03040
312,0.03063
313,0.02955
314,0.02744
315,0.02486
316,0.02246
317,0.02072
318,0.01980
319,0.01954
320,0.01958
321,0.01960
322,0.01946
323,0.01917
324,0.01888
325,0.01871
326,0.01865
327,0.01854
328,0.01816
329,0.01733
330,0.01606
331,0.01448
332,0.01280
333,0.01115
334,0.00963
335,0.00828
336,0.00711
337,0.00587
338,0.00518
339,0.00499
340,0.00482
341,0.00453
342,0.00408
343,0.00351
344,0.00297
345,0.00267
346,0.00274
347,0.00324
348,0.00408
349,0.00508
350,0.00593
351,0.00640
352,0.00638
353,0.00596
354,0.00540
355,0.00497
356,0.00491
357,0.00523
358,0.00582
359,0.00000
360,0.00000
