day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.04031
5,0.04042
6,0.03978
7,0.03840
8,0.03640
9,0.03389
10,0.03093
11,0.02761
12,0.02405
13,0.02044
14,0.01703
15,0.01406
16,0.01173
17,0.01010
18,0.00892
19,0.00856
20,0.00854
21,0.00850
22,0.00838
23,0.00817
24,0.00791
25,0.00763
26,0.00734
27,0.00707
28,0.00681
29,0.00657
30,0.00636
31,0.00615
32,0.00593
33,0.00567
34,0.00533
35,0.00491
36,0.00443
37,0.00391
38,0.00342
39,0.00303
40,0.00283
41,0.00289
42,0.00323
43,0.00383
44,0.00457
45,0.00527
46,0.00573
47,0.00580
48,0.00545
49,0.00473
50,0.00381
51,0.00283
52,0.00195
53,0.00099
54,0.00042
55,0.00026
56,0.00021
57,0.00026
58,0.00038
59,0.00057
60,0.00081
61,0.00107
62,0.00132
63,0.00152
64,0.00165
65,0.00170
66,0.00172
67,0.00173
68,0.00177
69,0.00185
70,0.00196
71,0.00210
72,0.00228
73,0.00251
74,0.00277
75,0.00307
76,0.00338
77,0.00365
78,0.00385
79,0.00396
80,0.00403
81,0.00409
82,0.00424
83,0.00454
84,0.00504
85,0.00575
86,0.00668
87,0.00782
88,0.00914
89,0.01133
90,0.01346
91,0.01459
92,0.01534
93,0.01568
94,0.01567
95,0.01549
96,0.01535
97,0.01545
98,0.01588
99,0.01666
100,0.01771
101,0.01887
102,0.01997
103,0.02085
104,0.02141
105,0.02164
106,0.02158
107,0.02136
108,0.02118
109,0.02127
110,0.02187
111,0.02312
112,0.02508
113,0.02769
114,0.03076
115,0.03404
116,0.03726
117,0.04018
118,0.04264
119,0.04466
120,0.04640
121,0.04819
122,0.05044
123,0.05352
124,0.06044
125,0.06991
126,0.07796
127,0.08723
128,0.09765
129,0.10907
130,0.12128
131,0.13398
132,0.14694
133,0.16002
134,0.17342
135,0.18770
136,0.20386
137,0.22311
138,0.24668
139,0.27538
140,0.30936
141,0.34714
142,0.38638
143,0.42444
144,0.45920
145,0.48963
146,0.51607
147,0.53974
148,0.56203
149,0.58386
150,0.60539
151,0.62301
152,0.63999
153,0.65677
154,0.67439
155,0.69405
156,0.71656
157,0.74196
158,0.76949
159,0.79790
160,0.83538
161,0.86595
162,0.88494
163,0.90250
164,0.92683
165,0.94585
166,0.95219
167,0.95453
168,0.95346
169,0.94990
170,0.94476
171,0.93889
172,0.93301
173,0.92783
174,0.92435
175,0.92401
176,0.92859
177,0.94252
178,0.96068
179,0.97882
180,0.99164
181,0.99406
182,0.98236
183,0.95624
184,0.91884
185,0.87478
186,0.82917
187,0.78638
188,0.74934
189,0.71941
190,0.69675
191,0.68084
192,0.67099
193,0.66662
194,0.66728
195,0.67380
196,0.68354
197,0.69400
198,0.70521
199,0.72065
200,0.73178
201,0.73388
202,0.73216
203,0.72731
204,0.72033
205,0.71221
206,0.70372
207,0.69530
208,0.68700
209,0.67849
210,0.66925
211,0.65873
212,0.64653
213,0.63259
214,0.61727
215,0.60120
216,0.58535
217,0.57064
218,0.55772
219,0.54706
220,0.53885
221,0.53289
222,0.52841
223,0.52455
224,0.52049
225,0.51555
226,0.50919
227,0.50098
228,0.49053
229,0.47756
230,0.46192
231,0.43666
232,0.40878
233,0.38693
234,0.36483
235,0.33930
236,0.31575
237,0.29930
238,0.28604
239,0.27596
240,0.26865
241,0.26347
242,0.25972
243,0.25677
244,0.25418
245,0.25171
246,0.24940
247,0.24758
248,0.24682
249,0.24774
250,0.25079
251,0.25604
252,0.26293
253,0.27035
254,0.27684
255,0.28078
256,0.28144
257,0.27867
258,0.27289
259,0.26478
260,0.25505
261,0.24421
262,0.23263
263,0.22059
264,0.20849
265,0.19690
266,0.18232
267,0.17100
268,0.16538
269,0.16126
270,0.15746
271,0.15348
272,0.14909
273,0.14441
274,0.13980
275,0.13566
276,0.13230
277,0.12990
278,0.12855
279,0.12822
280,0.12881
281,0.13010
282,0.13175
283,0.13334
284,0.13444
285,0.13477
286,0.13417
287,0.13263
288,0.13022
289,0.12702
290,0.12309
291,0.11858
292,0.11382
293,0.10941
294,0.10606
295,0.10424
296,0.10404
297,0.10502
298,0.10640
299,0.10731
300,0.10715
301,0.10573
302,0.10187
303,0.09756
304,0.09510
305,0.09320
306,0.09186
307,0.09105
308,0.09069
309,0.09064
310,0.09066
311,0.09042
312,0.08965
313,0.08835
314,0.08668
315,0.08494
316,0.08332
317,0.08182
318,0.08026
319,0.07841
320,0.07608
321,0.07330
322,0.07023
323,0.06717
324,0.06438
325,0.06201
326,0.06005
327,0.05838
328,0.05683
329,0.05530
330,0.05377
331,0.05234
332,0.05110
333,0.05004
334,0.04907
335,0.04801
336,0.04665
337,0.04368
338,0.03974
339,0.03669
340,0.03363
341,0.03081
342,0.02847
343,0.02672
344,0.02555
345,0.02486
346,0.02451
347,0.02437
348,0.02438
349,0.02460
350,0.02517
351,0.02621
352,0.02773
353,0.02967
354,0.03187
355,0.03413
356,0.03626
357,0.03809
358,0.03945
359,0.00000
360,0.00000
