day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00896
5,0.00805
6,0.00755
7,0.00727
8,0.00699
9,0.00659
10,0.00599
11,0.00522
12,0.00435
13,0.00344
14,0.00259
15,0.00185
16,0.00125
17,0.00080
18,0.00038
19,0.00015
20,0.00008
21,0.00004
22,0.00002
23,0.00001
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00001
56,0.00001
57,0.00003
58,0.00007
59,0.00013
60,0.00025
61,0.00043
62,0.00072
63,0.00114
64,0.00170
65,0.00242
66,0.00328
67,0.00423
68,0.00520
69,0.00612
70,0.00693
71,0.00761
72,0.00821
73,0.00878
74,0.00941
75,0.01016
76,0.01101
77,0.01191
78,0.01271
79,0.01325
80,0.01338
81,0.01303
82,0.01219
83,0.01098
84,0.00960
85,0.00826
86,0.00717
87,0.00646
88,0.00613
89,0.00620
90,0.00649
91,0.00659
92,0.00646
93,0.00608
94,0.00545
95,0.00465
96,0.00377
97,0.00291
98,0.00215
99,0.00155
100,0.00116
101,0.00101
102,0.00109
103,0.00143
104,0.00206
105,0.00303
106,0.00436
107,0.00613
108,0.00837
109,0.01112
110,0.01442
111,0.01829
112,0.02272
113,0.02772
114,0.03327
115,0.03944
116,0.04637
117,0.05442
118,0.06397
119,0.07550
120,0.08939
121,0.10576
122,0.12431
123,0.14433
124,0.17455
125,0.20221
126,0.21782
127,0.23146
128,0.24411
129,0.25729
130,0.27273
131,0.29204
132,0.31628
133,0.34545
134,0.37913
135,0.41653
136,0.45655
137,0.49790
138,0.53913
139,0.57864
140,0.61485
141,0.64638
142,0.67233
143,0.69249
144,0.70746
145,0.71851
146,0.72726
147,0.73522
148,0.74335
149,0.75170
150,0.75963
151,0.76628
152,0.77095
153,0.77349
154,0.77443
155,0.77490
156,0.77631
157,0.77996
158,0.78670
159,0.79668
160,0.81653
161,0.83834
162,0.85206
163,0.86387
164,0.87341
165,0.88064
166,0.88575
167,0.88906
168,0.89098
169,0.89196
170,0.89247
171,0.89290
172,0.89344
173,0.89392
174,0.89373
175,0.89181
176,0.88686
177,0.87764
178,0.86308
179,0.84309
180,0.81860
181,0.79105
182,0.76227
183,0.73418
184,0.70858
185,0.68690
186,0.67016
187,0.65890
188,0.65323
189,0.65289
190,0.65730
191,0.66561
192,0.67683
193,0.68996
194,0.70420
195,0.72732
196,0.75377
197,0.77567
198,0.80237
199,0.83440
200,0.87102
201,0.90988
202,0.94710
203,0.97776
204,0.99678
205,1.00000
206,0.98518
207,0.95259
208,0.90503
209,0.84710
210,0.78510
211,0.72450
212,0.66914
213,0.62121
214,0.58135
215,0.54908
216,0.52322
217,0.50233
218,0.48506
219,0.47025
220,0.45701
221,0.44466
222,0.43271
223,0.42085
224,0.40888
225,0.39680
226,0.38476
227,0.37303
228,0.36180
229,0.35110
230,0.34070
231,0.32447
232,0.30629
233,0.29247
234,0.27776
235,0.26308
236,0.24974
237,0.23910
238,0.23216
239,0.22931
240,0.23016
241,0.23327
242,0.23680
243,0.23903
244,0.23867
245,0.23505
246,0.22821
247,0.21882
248,0.20799
249,0.19702
250,0.18719
251,0.17949
252,0.17451
253,0.17237
254,0.17267
255,0.17465
256,0.17725
257,0.17931
258,0.17994
259,0.17858
260,0.17499
261,0.16924
262,0.16171
263,0.15292
264,0.14351
265,0.13409
266,0.12111
267,0.10995
268,0.10386
269,0.09874
270,0.09456
271,0.09143
272,0.08951
273,0.08895
274,0.08981
275,0.09199
276,0.09512
277,0.09865
278,0.10192
279,0.10431
280,0.10541
281,0.10507
282,0.10339
283,0.10071
284,0.09739
285,0.09375
286,0.08992
287,0.08589
288,0.08156
289,0.07688
290,0.07193
291,0.06696
292,0.06237
293,0.05861
294,0.05608
295,0.05508
296,0.05569
297,0.05775
298,0.06087
299,0.06450
300,0.06797
301,0.07065
302,0.07193
303,0.07003
304,0.06700
305,0.06317
306,0.05900
307,0.05489
308,0.05112
309,0.04782
310,0.04502
311,0.04265
312,0.04059
313,0.03872
314,0.03695
315,0.03520
316,0.03345
317,0.03171
318,0.03009
319,0.02874
320,0.02786
321,0.02761
322,0.02810
323,0.02928
324,0.03097
325,0.03284
326,0.03447
327,0.03544
328,0.03538
329,0.03411
330,0.03162
331,0.02812
332,0.02396
333,0.01959
334,0.01550
335,0.01206
336,0.00946
337,0.00730
338,0.00663
339,0.00690
340,0.00750
341,0.00833
342,0.00935
343,0.01059
344,0.01213
345,0.01403
346,0.01629
347,0.01881
348,0.02134
349,0.02353
350,0.02500
351,0.02549
352,0.02488
353,0.02325
354,0.02084
355,0.01799
356,0.01511
357,0.01252
358,0.01045
359,0.00000
360,0.00000
