day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00043
5,0.00019
6,0.00008
7,0.00003
8,0.00001
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00001
100,0.00003
101,0.00007
102,0.00018
103,0.00041
104,0.00079
105,0.00132
106,0.00190
107,0.00236
108,0.00255
109,0.00238
110,0.00194
111,0.00137
112,0.00085
113,0.00045
114,0.00022
115,0.00012
116,0.00014
117,0.00031
118,0.00069
119,0.00140
120,0.00249
121,0.00391
122,0.00540
123,0.00660
124,0.00697
125,0.00575
126,0.00430
127,0.00286
128,0.00174
129,0.00109
130,0.00090
131,0.00108
132,0.00152
133,0.00204
134,0.00242
135,0.00251
136,0.00228
137,0.00181
138,0.00127
139,0.00082
140,0.00058
141,0.00059
142,0.00086
143,0.00134
144,0.00193
145,0.00251
146,0.00297
147,0.00333
148,0.00371
149,0.00432
150,0.00532
151,0.00677
152,0.00869
153,0.01120
154,0.01466
155,0.01947
156,0.02608
157,0.03485
158,0.04617
159,0.06036
160,0.08743
161,0.11932
162,0.14356
163,0.17123
164,0.20427
165,0.24426
166,0.29113
167,0.34284
168,0.39635
169,0.44901
170,0.48929
171,0.52728
172,0.56449
173,0.60201
174,0.64017
175,0.67868
176,0.71711
177,0.75532
178,0.79313
179,0.82943
180,0.86215
181,0.88959
182,0.91207
183,0.93189
184,0.95110
185,0.96922
186,0.98334
187,0.99064
188,0.99082
189,0.98615
190,0.97950
191,0.97259
192,0.96637
193,0.96226
194,0.96221
195,0.96381
196,0.96412
197,0.95905
198,0.94543
199,0.92401
200,0.88770
201,0.84972
202,0.81967
203,0.78535
204,0.74808
205,0.71158
206,0.67943
207,0.65237
208,0.62804
209,0.60348
210,0.57818
211,0.55411
212,0.53415
213,0.51997
214,0.51119
215,0.50578
216,0.50122
217,0.49532
218,0.48657
219,0.47401
220,0.45733
221,0.43688
222,0.41373
223,0.38924
224,0.36468
225,0.34112
226,0.31958
227,0.30130
228,0.28760
229,0.27939
230,0.27636
231,0.27734
232,0.27815
233,0.27603
234,0.27191
235,0.26717
236,0.26359
237,0.26014
238,0.25619
239,0.25251
240,0.24900
241,0.24529
242,0.24109
243,0.23661
244,0.23255
245,0.22970
246,0.22850
247,0.22878
248,0.22977
249,0.23053
250,0.23046
251,0.22962
252,0.22848
253,0.22715
254,0.22481
255,0.22026
256,0.21302
257,0.20394
258,0.19472
259,0.18678
260,0.18059
261,0.17567
262,0.17122
263,0.16637
264,0.16034
265,0.15256
266,0.13806
267,0.12269
268,0.11329
269,0.10507
270,0.09821
271,0.09121
272,0.08356
273,0.07538
274,0.06728
275,0.06009
276,0.05449
277,0.05072
278,0.04866
279,0.04780
280,0.04777
281,0.04858
282,0.05056
283,0.05398
284,0.05862
285,0.06350
286,0.06725
287,0.06876
288,0.06766
289,0.06450
290,0.06035
291,0.05628
292,0.05299
293,0.05066
294,0.04914
295,0.04813
296,0.04739
297,0.04674
298,0.04605
299,0.04526
300,0.04438
301,0.04350
302,0.04226
303,0.04027
304,0.03741
305,0.03297
306,0.02735
307,0.02150
308,0.01648
309,0.01302
310,0.01131
311,0.01117
312,0.01229
313,0.01447
314,0.01745
315,0.02063
316,0.02299
317,0.02346
318,0.02151
319,0.01755
320,0.01271
321,0.00830
322,0.00519
323,0.00364
324,0.00344
325,0.00417
326,0.00546
327,0.00701
328,0.00863
329,0.01016
330,0.01144
331,0.01228
332,0.01254
333,0.01217
334,0.01124
335,0.00987
336,0.00823
337,0.00566
338,0.00354
339,0.00275
340,0.00247
341,0.00253
342,0.00266
343,0.00263
344,0.00236
345,0.00196
346,0.00164
347,0.00160
348,0.00193
349,0.00256
350,0.00331
351,0.00396
352,0.00432
353,0.00428
354,0.00386
355,0.00314
356,0.00230
357,0.00150
358,0.00087
359,0.00000
360,0.00000
