day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00258
5,0.00230
6,0.00155
7,0.00080
8,0.00032
9,0.00010
10,0.00002
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00001
47,0.00008
48,0.00033
49,0.00099
50,0.00224
51,0.00379
52,0.00489
53,0.00423
54,0.00212
55,0.00095
56,0.00032
57,0.00008
58,0.00002
59,0.00000
60,0.00000
61,0.00000
62,0.00002
63,0.00010
64,0.00034
65,0.00090
66,0.00191
67,0.00330
68,0.00477
69,0.00588
70,0.00620
71,0.00548
72,0.00398
73,0.00244
74,0.00161
75,0.00174
76,0.00252
77,0.00355
78,0.00474
79,0.00625
80,0.00783
81,0.00887
82,0.00922
83,0.00964
84,0.01136
85,0.01567
86,0.02388
87,0.03704
88,0.05548
89,0.09045
90,0.12461
91,0.14178
92,0.15583
93,0.17224
94,0.19747
95,0.23594
96,0.28799
97,0.34970
98,0.41487
99,0.47761
100,0.53490
101,0.58745
102,0.63523
103,0.67361
104,0.70071
105,0.72576
106,0.76098
107,0.80881
108,0.86381
109,0.91970
110,0.96753
111,0.99567
112,1.00000
113,0.99155
114,0.98627
115,0.98564
116,0.97486
117,0.94454
118,0.90678
119,0.88387
120,0.88652
121,0.90787
122,0.93301
123,0.94926
124,0.94624
125,0.92210
126,0.89529
127,0.86035
128,0.81903
129,0.77753
130,0.74602
131,0.73232
132,0.73343
133,0.73545
134,0.72445
135,0.69740
136,0.66229
137,0.62896
138,0.60009
139,0.56972
140,0.53276
141,0.49771
142,0.48133
143,0.48596
144,0.49374
145,0.49153
146,0.48537
147,0.48592
148,0.49229
149,0.49293
150,0.47723
151,0.44276
152,0.39455
153,0.34329
154,0.30331
155,0.28428
156,0.28151
157,0.27900
158,0.26478
159,0.24052
160,0.20510
161,0.17679
162,0.15823
163,0.13895
164,0.12108
165,0.10587
166,0.09274
167,0.08087
168,0.07068
169,0.06343
170,0.05973
171,0.05854
172,0.05782
173,0.05640
174,0.05498
175,0.05470
176,0.05458
177,0.05209
178,0.04656
179,0.04060
180,0.03712
181,0.03634
182,0.03604
183,0.03397
184,0.02994
185,0.02543
186,0.02173
187,0.01914
188,0.01740
189,0.01664
190,0.01702
191,0.01803
192,0.01881
193,0.01912
194,0.01924
195,0.01832
196,0.01497
197,0.01174
198,0.00926
199,0.00862
200,0.01007
201,0.01265
202,0.01464
203,0.01478
204,0.01314
205,0.01083
206,0.00889
207,0.00752
208,0.00637
209,0.00528
210,0.00440
211,0.00383
212,0.00364
213,0.00428
214,0.00599
215,0.00819
216,0.00991
217,0.01085
218,0.01138
219,0.01171
220,0.01156
221,0.01078
222,0.00962
223,0.00848
224,0.00760
225,0.00723
226,0.00754
227,0.00843
228,0.00953
229,0.01035
230,0.01061
231,0.01019
232,0.00940
233,0.00845
234,0.00694
235,0.00510
236,0.00351
237,0.00280
238,0.00326
239,0.00460
240,0.00609
241,0.00712
242,0.00757
243,0.00762
244,0.00740
245,0.00711
246,0.00708
247,0.00753
248,0.00820
249,0.00853
250,0.00826
251,0.00777
252,0.00768
253,0.00823
254,0.00890
255,0.00886
256,0.00781
257,0.00621
258,0.00464
259,0.00339
260,0.00268
261,0.00286
262,0.00413
263,0.00612
264,0.00800
265,0.00897
266,0.00815
267,0.00594
268,0.00422
269,0.00271
270,0.00172
271,0.00148
272,0.00188
273,0.00250
274,0.00287
275,0.00289
276,0.00286
277,0.00298
278,0.00307
279,0.00303
280,0.00318
281,0.00388
282,0.00503
283,0.00620
284,0.00696
285,0.00712
286,0.00679
287,0.00620
288,0.00545
289,0.00445
290,0.00320
291,0.00198
292,0.00119
293,0.00116
294,0.00205
295,0.00372
296,0.00560
297,0.00680
298,0.00675
299,0.00569
300,0.00459
301,0.00436
302,0.00579
303,0.00742
304,0.00785
305,0.00813
306,0.00874
307,0.00956
308,0.00992
309,0.00940
310,0.00819
311,0.00671
312,0.00534
313,0.00427
314,0.00337
315,0.00240
316,0.00140
317,0.00064
318,0.00023
319,0.00007
320,0.00004
321,0.00013
322,0.00046
323,0.00127
324,0.00265
325,0.00418
326,0.00502
327,0.00459
328,0.00323
329,0.00174
330,0.00072
331,0.00023
332,0.00005
333,0.00001
334,0.00001
335,0.00004
336,0.00016
337,0.00074
338,0.00179
339,0.00239
340,0.00246
341,0.00193
342,0.00115
343,0.00051
344,0.00017
345,0.00004
346,0.00001
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00001
354,0.00007
355,0.00025
356,0.00067
357,0.00138
358,0.00214
359,0.00000
360,0.00000
