day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01660
5,0.01559
6,0.01453
7,0.01350
8,0.01255
9,0.01168
10,0.01093
11,0.01031
12,0.00984
13,0.00959
14,0.00959
15,0.00986
16,0.01038
17,0.01108
18,0.01227
19,0.01336
20,0.01389
21,0.01418
22,0.01423
23,0.01399
24,0.01347
25,0.01267
26,0.01160
27,0.01029
28,0.00882
29,0.00727
30,0.00573
31,0.00433
32,0.00312
33,0.00214
34,0.00140
35,0.00088
36,0.00054
37,0.00034
38,0.00025
39,0.00025
40,0.00032
41,0.00045
42,0.00063
43,0.00085
44,0.00111
45,0.00139
46,0.00168
47,0.00201
48,0.00238
49,0.00284
50,0.00343
51,0.00416
52,0.00502
53,0.00649
54,0.00796
55,0.00882
56,0.00952
57,0.01004
58,0.01038
59,0.01058
60,0.01067
61,0.01071
62,0.01075
63,0.01089
64,0.01123
65,0.01184
66,0.01282
67,0.01419
68,0.01596
69,0.01805
70,0.02035
71,0.02274
72,0.02509
73,0.02732
74,0.02942
75,0.03144
76,0.03346
77,0.03562
78,0.03802
79,0.04074
80,0.04388
81,0.04746
82,0.05152
83,0.05614
84,0.06136
85,0.06723
86,0.07376
87,0.08094
88,0.08877
89,0.10196
90,0.11688
91,0.12835
92,0.14130
93,0.15606
94,0.17293
95,0.19219
96,0.21416
97,0.23868
98,0.26553
99,0.29441
100,0.32493
101,0.35682
102,0.39001
103,0.42467
104,0.46119
105,0.50001
106,0.54150
107,0.58572
108,0.63234
109,0.68056
110,0.72920
111,0.77682
112,0.82184
113,0.86256
114,0.89808
115,0.92782
116,0.95168
117,0.96999
118,0.98336
119,0.99246
120,0.99788
121,1.00000
122,0.99906
123,0.99521
124,0.98423
125,0.96897
126,0.95661
127,0.94299
128,0.92808
129,0.91159
130,0.89329
131,0.87297
132,0.85063
133,0.82651
134,0.80104
135,0.77471
136,0.74791
137,0.72091
138,0.69383
139,0.66673
140,0.63976
141,0.61331
142,0.58804
143,0.56481
144,0.54443
145,0.52746
146,0.51382
147,0.50249
148,0.49219
149,0.48162
150,0.46980
151,0.45640
152,0.44178
153,0.42679
154,0.41247
155,0.39967
156,0.38882
157,0.37985
158,0.37224
159,0.36527
160,0.35444
161,0.34226
162,0.33322
163,0.32393
164,0.31489
165,0.30658
166,0.29937
167,0.29338
168,0.28846
169,0.28420
170,0.28010
171,0.27563
172,0.27044
173,0.26440
174,0.25762
175,0.25037
176,0.24296
177,0.23565
178,0.22856
179,0.22168
180,0.21495
181,0.20832
182,0.20184
183,0.19563
184,0.18991
185,0.18491
186,0.18085
187,0.17788
188,0.17602
189,0.17514
190,0.17502
191,0.17536
192,0.17590
193,0.17649
194,0.17710
195,0.17844
196,0.18069
197,0.18303
198,0.18596
199,0.18929
200,0.19265
201,0.19551
202,0.19731
203,0.19752
204,0.19578
205,0.19203
206,0.18651
207,0.17980
208,0.17269
209,0.16602
210,0.16055
211,0.15687
212,0.15507
213,0.15489
214,0.15589
215,0.15750
216,0.15912
217,0.16026
218,0.16059
219,0.15996
220,0.15841
221,0.15615
222,0.15350
223,0.15082
224,0.14845
225,0.14663
226,0.14549
227,0.14510
228,0.14541
229,0.14626
230,0.14747
231,0.14946
232,0.15116
233,0.15186
234,0.15212
235,0.15193
236,0.15129
237,0.15023
238,0.14878
239,0.14700
240,0.14499
241,0.14288
242,0.14091
243,0.13934
244,0.13850
245,0.13860
246,0.13971
247,0.14170
248,0.14426
249,0.14691
250,0.14915
251,0.15052
252,0.15069
253,0.14951
254,0.14699
255,0.14330
256,0.13867
257,0.13340
258,0.12779
259,0.12211
260,0.11663
261,0.11158
262,0.10706
263,0.10306
264,0.09954
265,0.09637
266,0.09208
267,0.08815
268,0.08581
269,0.08378
270,0.08217
271,0.08104
272,0.08042
273,0.08033
274,0.08073
275,0.08155
276,0.08267
277,0.08392
278,0.08503
279,0.08573
280,0.08572
281,0.08478
282,0.08279
283,0.07979
284,0.07591
285,0.07145
286,0.06675
287,0.06214
288,0.05794
289,0.05435
290,0.05153
291,0.04952
292,0.04831
293,0.04786
294,0.04810
295,0.04886
296,0.04998
297,0.05132
298,0.05270
299,0.05397
300,0.05501
301,0.05572
302,0.05598
303,0.05541
304,0.05448
305,0.05319
306,0.05154
307,0.04955
308,0.04725
309,0.04466
310,0.04184
311,0.03891
312,0.03601
313,0.03329
314,0.03088
315,0.02885
316,0.02721
317,0.02591
318,0.02480
319,0.02377
320,0.02271
321,0.02158
322,0.02044
323,0.01941
324,0.01864
325,0.01829
326,0.01845
327,0.01915
328,0.02027
329,0.02164
330,0.02307
331,0.02434
332,0.02531
333,0.02586
334,0.02596
335,0.02565
336,0.02499
337,0.02348
338,0.02159
339,0.02012
340,0.01852
341,0.01682
342,0.01510
343,0.01348
344,0.01208
345,0.01105
346,0.01046
347,0.01038
348,0.01078
349,0.01161
350,0.01277
351,0.01411
352,0.01546
353,0.01669
354,0.01764
355,0.01822
356,0.01839
357,0.01814
358,0.01753
359,0.00000
360,0.00000
