day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00278
5,0.00263
6,0.00241
7,0.00211
8,0.00175
9,0.00138
10,0.00102
11,0.00071
12,0.00047
13,0.00029
14,0.00017
15,0.00009
16,0.00005
17,0.00002
18,0.00001
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00002
90,0.00004
91,0.00009
92,0.00016
93,0.00029
94,0.00047
95,0.00071
96,0.00101
97,0.00135
98,0.00168
99,0.00195
100,0.00213
101,0.00218
102,0.00209
103,0.00188
104,0.00159
105,0.00127
106,0.00098
107,0.00075
108,0.00063
109,0.00062
110,0.00073
111,0.00095
112,0.00124
113,0.00157
114,0.00189
115,0.00214
116,0.00230
117,0.00236
118,0.00233
119,0.00226
120,0.00220
121,0.00218
122,0.00223
123,0.00235
124,0.00259
125,0.00288
126,0.00315
127,0.00358
128,0.00426
129,0.00527
130,0.00667
131,0.00843
132,0.01047
133,0.01265
134,0.01480
135,0.01676
136,0.01841
137,0.01971
138,0.02070
139,0.02151
140,0.02234
141,0.02342
142,0.02495
143,0.02715
144,0.03020
145,0.03420
146,0.03921
147,0.04527
148,0.05239
149,0.06054
150,0.06962
151,0.07951
152,0.09006
153,0.10120
154,0.11296
155,0.12559
156,0.13954
157,0.15540
158,0.17385
159,0.19544
160,0.23498
161,0.28209
162,0.31841
163,0.35835
164,0.40192
165,0.44889
166,0.49862
167,0.54995
168,0.60123
169,0.65056
170,0.69613
171,0.74490
172,0.78437
173,0.81546
174,0.84002
175,0.86045
176,0.87923
177,0.89836
178,0.91889
179,0.94058
180,0.96166
181,0.97927
182,0.99034
183,0.99249
184,0.98489
185,0.97002
186,0.95359
187,0.93747
188,0.92291
189,0.91039
190,0.89537
191,0.88271
192,0.87450
193,0.86597
194,0.85689
195,0.84640
196,0.83461
197,0.82153
198,0.80640
199,0.78940
200,0.77113
201,0.75263
202,0.73496
203,0.71902
204,0.70517
205,0.69318
206,0.68234
207,0.67178
208,0.66085
209,0.64961
210,0.63867
211,0.62882
212,0.62068
213,0.61448
214,0.61021
215,0.60768
216,0.60661
217,0.60677
218,0.60792
219,0.60972
220,0.61177
221,0.61360
222,0.61479
223,0.61508
224,0.61443
225,0.61297
226,0.60981
227,0.60684
228,0.60473
229,0.60235
230,0.59985
231,0.59656
232,0.59416
233,0.59337
234,0.59300
235,0.59275
236,0.59223
237,0.59106
238,0.58900
239,0.58593
240,0.58190
241,0.57698
242,0.57134
243,0.56505
244,0.55811
245,0.55063
246,0.54288
247,0.53543
248,0.52881
249,0.52329
250,0.51883
251,0.51498
252,0.51112
253,0.50654
254,0.50069
255,0.49338
256,0.48478
257,0.47533
258,0.46564
259,0.45622
260,0.44734
261,0.43714
262,0.42684
263,0.41774
264,0.40721
265,0.39463
266,0.37241
267,0.34720
268,0.32945
269,0.31223
270,0.29612
271,0.28157
272,0.26889
273,0.25830
274,0.24984
275,0.24340
276,0.23872
277,0.23541
278,0.23305
279,0.23123
280,0.22971
281,0.22817
282,0.22653
283,0.22462
284,0.22215
285,0.21876
286,0.21410
287,0.20798
288,0.20046
289,0.19188
290,0.18283
291,0.17397
292,0.16588
293,0.15890
294,0.15310
295,0.14828
296,0.14412
297,0.14031
298,0.13664
299,0.13306
300,0.12969
301,0.12667
302,0.12312
303,0.12040
304,0.11878
305,0.11683
306,0.11419
307,0.11054
308,0.10572
309,0.09976
310,0.09287
311,0.08538
312,0.07766
313,0.07003
314,0.06273
315,0.05596
316,0.04983
317,0.04442
318,0.03982
319,0.03612
320,0.03333
321,0.03137
322,0.03006
323,0.02919
324,0.02847
325,0.02770
326,0.02675
327,0.02557
328,0.02425
329,0.02289
330,0.02161
331,0.02047
332,0.01944
333,0.01846
334,0.01741
335,0.01622
336,0.01487
337,0.01266
338,0.01053
339,0.00935
340,0.00846
341,0.00785
342,0.00749
343,0.00728
344,0.00710
345,0.00687
346,0.00653
347,0.00609
348,0.00556
349,0.00502
350,0.00452
351,0.00410
352,0.00376
353,0.00350
354,0.00329
355,0.00314
356,0.00303
357,0.00294
358,0.00286
359,0.00000
360,0.00000
