day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00916
5,0.00775
6,0.00583
7,0.00389
8,0.00230
9,0.00120
10,0.00055
11,0.00022
12,0.00008
13,0.00003
14,0.00001
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00001
36,0.00005
37,0.00014
38,0.00036
39,0.00084
40,0.00174
41,0.00317
42,0.00508
43,0.00717
44,0.00890
45,0.00976
46,0.00947
47,0.00813
48,0.00619
49,0.00417
50,0.00249
51,0.00132
52,0.00062
53,0.00017
54,0.00003
55,0.00001
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00001
112,0.00003
113,0.00010
114,0.00031
115,0.00082
116,0.00194
117,0.00407
118,0.00756
119,0.01246
120,0.01826
121,0.02380
122,0.02764
123,0.02860
124,0.02406
125,0.01621
126,0.01140
127,0.00852
128,0.00814
129,0.01022
130,0.01420
131,0.01918
132,0.02403
133,0.02791
134,0.03062
135,0.03255
136,0.03437
137,0.03667
138,0.03966
139,0.04331
140,0.04759
141,0.05287
142,0.06017
143,0.07125
144,0.08826
145,0.11321
146,0.14722
147,0.19013
148,0.24060
149,0.29693
150,0.35479
151,0.41686
152,0.48330
153,0.55289
154,0.62185
155,0.68418
156,0.73359
157,0.76706
158,0.78541
159,0.79216
160,0.79202
161,0.79268
162,0.80202
163,0.82182
164,0.85221
165,0.89068
166,0.93202
167,0.96911
168,0.99433
169,0.99976
170,0.97937
171,0.93381
172,0.86888
173,0.79395
174,0.71955
175,0.65447
176,0.60401
177,0.56952
178,0.54903
179,0.53843
180,0.53227
181,0.52571
182,0.51566
183,0.50100
184,0.48267
185,0.46353
186,0.44766
187,0.43907
188,0.44012
189,0.45044
190,0.46682
191,0.48432
192,0.49786
193,0.50341
194,0.49848
195,0.47596
196,0.42643
197,0.36820
198,0.31898
199,0.27273
200,0.23343
201,0.20214
202,0.17719
203,0.15610
204,0.13769
205,0.12216
206,0.11005
207,0.10128
208,0.09494
209,0.08990
210,0.08562
211,0.08239
212,0.08104
213,0.08235
214,0.08645
215,0.09262
216,0.09921
217,0.10399
218,0.10476
219,0.10028
220,0.09091
221,0.07868
222,0.06642
223,0.05648
224,0.04973
225,0.04546
226,0.04214
227,0.03882
228,0.03561
229,0.03340
230,0.03303
231,0.03595
232,0.04087
233,0.04461
234,0.04780
235,0.05114
236,0.05487
237,0.05867
238,0.06169
239,0.06304
240,0.06249
241,0.06068
242,0.05880
243,0.05776
244,0.05755
245,0.05724
246,0.05573
247,0.05270
248,0.04907
249,0.04643
250,0.04591
251,0.04749
252,0.05022
253,0.05257
254,0.05316
255,0.05126
256,0.04702
257,0.04135
258,0.03553
259,0.03072
260,0.02764
261,0.02645
262,0.02691
263,0.02863
264,0.03121
265,0.03439
266,0.03952
267,0.04370
268,0.04465
269,0.04342
270,0.03990
271,0.03477
272,0.02906
273,0.02376
274,0.01950
275,0.01651
276,0.01455
277,0.01312
278,0.01166
279,0.00986
280,0.00773
281,0.00554
282,0.00368
283,0.00245
284,0.00202
285,0.00242
286,0.00361
287,0.00537
288,0.00734
289,0.00899
290,0.00984
291,0.00969
292,0.00875
293,0.00764
294,0.00708
295,0.00750
296,0.00887
297,0.01079
298,0.01273
299,0.01422
300,0.01502
301,0.01502
302,0.01358
303,0.01129
304,0.00991
305,0.00918
306,0.00924
307,0.00979
308,0.01026
309,0.01007
310,0.00898
311,0.00717
312,0.00511
313,0.00333
314,0.00219
315,0.00186
316,0.00239
317,0.00372
318,0.00559
319,0.00758
320,0.00912
321,0.00972
322,0.00919
323,0.00771
324,0.00575
325,0.00384
326,0.00237
327,0.00153
328,0.00138
329,0.00192
330,0.00312
331,0.00485
332,0.00682
333,0.00856
334,0.00956
335,0.00948
336,0.00834
337,0.00548
338,0.00270
339,0.00145
340,0.00070
341,0.00030
342,0.00011
343,0.00004
344,0.00001
345,0.00000
346,0.00000
347,0.00001
348,0.00002
349,0.00007
350,0.00019
351,0.00048
352,0.00106
353,0.00207
354,0.00357
355,0.00547
356,0.00746
357,0.00903
358,0.00970
359,0.00000
360,0.00000
