day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.02664
5,0.02757
6,0.02807
7,0.02801
8,0.02740
9,0.02630
10,0.02481
11,0.02303
12,0.02107
13,0.01906
14,0.01708
15,0.01521
16,0.01351
17,0.01202
18,0.01024
19,0.00894
20,0.00841
21,0.00812
22,0.00804
23,0.00811
24,0.00822
25,0.00827
26,0.00817
27,0.00788
28,0.00738
29,0.00671
30,0.00590
31,0.00502
32,0.00412
33,0.00325
34,0.00246
35,0.00177
36,0.00122
37,0.00079
38,0.00048
39,0.00028
40,0.00015
41,0.00008
42,0.00004
43,0.00002
44,0.00001
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00001
55,0.00003
56,0.00006
57,0.00011
58,0.00020
59,0.00032
60,0.00049
61,0.00070
62,0.00093
63,0.00116
64,0.00136
65,0.00150
66,0.00156
67,0.00154
68,0.00147
69,0.00137
70,0.00130
71,0.00127
72,0.00130
73,0.00138
74,0.00148
75,0.00156
76,0.00158
77,0.00153
78,0.00139
79,0.00122
80,0.00103
81,0.00089
82,0.00084
83,0.00091
84,0.00115
85,0.00157
86,0.00219
87,0.00302
88,0.00406
89,0.00604
90,0.00840
91,0.01021
92,0.01214
93,0.01411
94,0.01601
95,0.01772
96,0.01913
97,0.02012
98,0.02066
99,0.02077
100,0.02054
101,0.02011
102,0.01961
103,0.01917
104,0.01885
105,0.01866
106,0.01858
107,0.01854
108,0.01846
109,0.01825
110,0.01787
111,0.01729
112,0.01653
113,0.01568
114,0.01482
115,0.01411
116,0.01370
117,0.01372
118,0.01428
119,0.01543
120,0.01715
121,0.01936
122,0.02188
123,0.02450
124,0.02807
125,0.03092
126,0.03233
127,0.03358
128,0.03497
129,0.03677
130,0.03915
131,0.04219
132,0.04582
133,0.04987
134,0.05413
135,0.05840
136,0.06260
137,0.06677
138,0.07115
139,0.07614
140,0.08231
141,0.09029
142,0.10068
143,0.11390
144,0.13033
145,0.14975
146,0.17174
147,0.19580
148,0.22132
149,0.24771
150,0.27453
151,0.30156
152,0.32884
153,0.35668
154,0.38548
155,0.41565
156,0.44740
157,0.48059
158,0.51467
159,0.54882
160,0.59802
161,0.63381
162,0.65234
163,0.67046
164,0.68917
165,0.70911
166,0.73047
167,0.75718
168,0.78485
169,0.80758
170,0.82904
171,0.84879
172,0.86672
173,0.88299
174,0.89795
175,0.91205
176,0.92566
177,0.93891
178,0.95158
179,0.96323
180,0.97325
181,0.98086
182,0.98538
183,0.98633
184,0.98345
185,0.97663
186,0.96622
187,0.94586
188,0.92371
189,0.90089
190,0.87831
191,0.85672
192,0.83666
193,0.81857
194,0.80279
195,0.78940
196,0.77809
197,0.76918
198,0.76221
199,0.75668
200,0.75183
201,0.74672
202,0.73912
203,0.72548
204,0.70894
205,0.68860
206,0.66535
207,0.64047
208,0.61550
209,0.59189
210,0.57081
211,0.55304
212,0.53893
213,0.52835
214,0.52090
215,0.51597
216,0.51284
217,0.51081
218,0.50925
219,0.50761
220,0.50544
221,0.50243
222,0.49843
223,0.49342
224,0.48745
225,0.48068
226,0.47331
227,0.46560
228,0.45783
229,0.45026
230,0.44307
231,0.43425
232,0.42576
233,0.41924
234,0.41211
235,0.40420
236,0.39572
237,0.38728
238,0.37789
239,0.37030
240,0.36641
241,0.36429
242,0.36356
243,0.36369
244,0.36420
245,0.36476
246,0.36525
247,0.36566
248,0.36609
249,0.36648
250,0.36653
251,0.36580
252,0.36385
253,0.36045
254,0.35559
255,0.34957
256,0.34281
257,0.33576
258,0.32876
259,0.32196
260,0.31542
261,0.30901
262,0.30264
263,0.29621
264,0.28973
265,0.28328
266,0.27456
267,0.26626
268,0.26070
269,0.25545
270,0.25054
271,0.24601
272,0.24194
273,0.23809
274,0.23442
275,0.23060
276,0.22609
277,0.22065
278,0.21462
279,0.20813
280,0.20179
281,0.19631
282,0.19211
283,0.18927
284,0.18752
285,0.18642
286,0.18539
287,0.18384
288,0.18125
289,0.17722
290,0.17159
291,0.16446
292,0.15624
293,0.14754
294,0.13908
295,0.13150
296,0.12520
297,0.12032
298,0.11671
299,0.11415
300,0.11225
301,0.11078
302,0.10922
303,0.10837
304,0.10842
305,0.10901
306,0.11008
307,0.11137
308,0.11245
309,0.11274
310,0.11171
311,0.10894
312,0.10433
313,0.09810
314,0.09074
315,0.08289
316,0.07523
317,0.06820
318,0.06204
319,0.05683
320,0.05253
321,0.04906
322,0.04630
323,0.04413
324,0.04237
325,0.04084
326,0.03934
327,0.03773
328,0.03589
329,0.03387
330,0.03176
331,0.02976
332,0.02807
333,0.02685
334,0.02613
335,0.02583
336,0.02578
337,0.02568
338,0.02508
339,0.02420
340,0.02300
341,0.02160
342,0.02016
343,0.01885
344,0.01779
345,0.01708
346,0.01674
347,0.01677
348,0.01710
349,0.01764
350,0.01830
351,0.01897
352,0.01961
353,0.02025
354,0.02097
355,0.02183
356,0.02289
357,0.02412
358,0.02541
359,0.00000
360,0.00000
