day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00003
116,0.00017
117,0.00071
118,0.00200
119,0.00396
120,0.00551
121,0.00536
122,0.00366
123,0.00221
124,0.00571
125,0.01783
126,0.02749
127,0.03022
128,0.02510
129,0.01946
130,0.01943
131,0.02627
132,0.04174
133,0.06949
134,0.11035
135,0.15224
136,0.16872
137,0.15366
138,0.13094
139,0.11694
140,0.11166
141,0.12057
142,0.15026
143,0.20097
144,0.28984
145,0.45361
146,0.67558
147,0.84318
148,0.87849
149,0.85956
150,0.88503
151,0.90565
152,0.82396
153,0.66738
154,0.54297
155,0.50175
156,0.52499
157,0.58652
158,0.68402
159,0.82050
160,0.99705
161,0.97597
162,0.83637
163,0.72131
164,0.70086
165,0.75825
166,0.83896
167,0.91267
168,0.97515
169,1.00000
170,0.91834
171,0.71083
172,0.48568
173,0.35284
174,0.29840
175,0.25845
176,0.21915
177,0.20328
178,0.21622
179,0.23186
180,0.22196
181,0.18388
182,0.13673
183,0.09862
184,0.07778
185,0.07484
186,0.08188
187,0.08670
188,0.08392
189,0.07756
190,0.07332
191,0.07324
192,0.07733
193,0.08383
194,0.08562
195,0.06500
196,0.03678
197,0.02661
198,0.02360
199,0.02545
200,0.02937
201,0.03032
202,0.02491
203,0.01632
204,0.01096
205,0.01128
206,0.01428
207,0.01564
208,0.01405
209,0.01208
210,0.01310
211,0.01715
212,0.02049
213,0.01935
214,0.01410
215,0.00910
216,0.00764
217,0.00877
218,0.00970
219,0.00886
220,0.00639
221,0.00389
222,0.00327
223,0.00461
224,0.00600
225,0.00588
226,0.00517
227,0.00545
228,0.00619
229,0.00600
230,0.00527
231,0.00570
232,0.00558
233,0.00380
234,0.00184
235,0.00063
236,0.00015
237,0.00002
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00004
252,0.00021
253,0.00084
254,0.00229
255,0.00436
256,0.00572
257,0.00514
258,0.00314
259,0.00130
260,0.00036
261,0.00006
262,0.00001
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00001
270,0.00008
271,0.00041
272,0.00143
273,0.00335
274,0.00552
275,0.00688
276,0.00732
277,0.00724
278,0.00642
279,0.00459
280,0.00245
281,0.00094
282,0.00025
283,0.00005
284,0.00005
285,0.00026
286,0.00100
287,0.00271
288,0.00533
289,0.00794
290,0.00927
291,0.00863
292,0.00633
293,0.00352
294,0.00141
295,0.00039
296,0.00007
297,0.00001
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
