day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00172
5,0.00255
6,0.00342
7,0.00421
8,0.00479
9,0.00502
10,0.00484
11,0.00430
12,0.00370
13,0.00339
14,0.00354
15,0.00401
16,0.00434
17,0.00417
18,0.00296
19,0.00153
20,0.00090
21,0.00067
22,0.00080
23,0.00118
24,0.00165
25,0.00200
26,0.00207
27,0.00182
28,0.00137
29,0.00087
30,0.00047
31,0.00022
32,0.00008
33,0.00003
34,0.00001
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00002
46,0.00006
47,0.00017
48,0.00039
49,0.00077
50,0.00127
51,0.00177
52,0.00207
53,0.00189
54,0.00123
55,0.00074
56,0.00038
57,0.00018
58,0.00010
59,0.00014
60,0.00030
61,0.00061
62,0.00107
63,0.00160
64,0.00201
65,0.00214
66,0.00191
67,0.00143
68,0.00090
69,0.00047
70,0.00021
71,0.00008
72,0.00003
73,0.00001
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00001
83,0.00003
84,0.00009
85,0.00027
86,0.00068
87,0.00146
88,0.00272
89,0.00536
90,0.00785
91,0.00863
92,0.00846
93,0.00757
94,0.00643
95,0.00552
96,0.00510
97,0.00512
98,0.00528
99,0.00528
100,0.00498
101,0.00444
102,0.00381
103,0.00318
104,0.00263
105,0.00232
106,0.00243
107,0.00321
108,0.00491
109,0.00774
110,0.01191
111,0.01756
112,0.02465
113,0.03287
114,0.04146
115,0.04927
116,0.05507
117,0.05824
118,0.05930
119,0.05986
120,0.06185
121,0.06667
122,0.07466
123,0.08522
124,0.10399
125,0.12471
126,0.13990
127,0.15580
128,0.17132
129,0.18517
130,0.19659
131,0.20581
132,0.21397
133,0.22286
134,0.23473
135,0.25190
136,0.27586
137,0.30624
138,0.34083
139,0.37719
140,0.41478
141,0.45552
142,0.50112
143,0.54917
144,0.59159
145,0.61853
146,0.62561
147,0.61846
148,0.61002
149,0.61285
150,0.63264
151,0.66727
152,0.70927
153,0.75025
154,0.78424
155,0.80982
156,0.83172
157,0.85878
158,0.89764
159,0.94571
160,1.00000
161,0.99704
162,0.94959
163,0.88082
164,0.80763
165,0.74363
166,0.69593
167,0.66608
168,0.65233
169,0.65149
170,0.65981
171,0.67321
172,0.68680
173,0.69490
174,0.69245
175,0.67728
176,0.65105
177,0.61803
178,0.58310
179,0.55007
180,0.52047
181,0.49384
182,0.46864
183,0.44346
184,0.41779
185,0.39232
186,0.36877
187,0.34922
188,0.33519
189,0.32683
190,0.32259
191,0.31964
192,0.31529
193,0.30877
194,0.30212
195,0.30103
196,0.31228
197,0.32271
198,0.32827
199,0.32560
200,0.31541
201,0.30088
202,0.28522
203,0.27071
204,0.25911
205,0.25142
206,0.24642
207,0.24084
208,0.23152
209,0.21748
210,0.20063
211,0.18467
212,0.17304
213,0.16721
214,0.16613
215,0.16716
216,0.16752
217,0.16550
218,0.16080
219,0.15422
220,0.14699
221,0.14025
222,0.13487
223,0.13144
224,0.13013
225,0.13034
226,0.13056
227,0.12897
228,0.12483
229,0.11932
230,0.11489
231,0.11348
232,0.11370
233,0.11073
234,0.10463
235,0.09706
236,0.08997
237,0.08428
238,0.07974
239,0.07575
240,0.07208
241,0.06887
242,0.06615
243,0.06357
244,0.06070
245,0.05742
246,0.05410
247,0.05123
248,0.04906
249,0.04749
250,0.04637
251,0.04573
252,0.04578
253,0.04656
254,0.04758
255,0.04786
256,0.04644
257,0.04305
258,0.03833
259,0.03345
260,0.02948
261,0.02670
262,0.02470
263,0.02274
264,0.02029
265,0.01730
266,0.01300
267,0.01057
268,0.01090
269,0.01261
270,0.01520
271,0.01791
272,0.01996
273,0.02073
274,0.01993
275,0.01773
276,0.01473
277,0.01173
278,0.00949
279,0.00848
280,0.00883
281,0.01032
282,0.01252
283,0.01499
284,0.01730
285,0.01908
286,0.02002
287,0.02001
288,0.01937
289,0.01864
290,0.01820
291,0.01805
292,0.01795
293,0.01775
294,0.01750
295,0.01721
296,0.01682
297,0.01627
298,0.01562
299,0.01501
300,0.01451
301,0.01411
302,0.01347
303,0.01252
304,0.01155
305,0.01045
306,0.00968
307,0.00977
308,0.01108
309,0.01344
310,0.01626
311,0.01876
312,0.02038
313,0.02086
314,0.02013
315,0.01843
316,0.01609
317,0.01360
318,0.01140
319,0.00965
320,0.00823
321,0.00697
322,0.00583
323,0.00496
324,0.00456
325,0.00469
326,0.00532
327,0.00625
328,0.00722
329,0.00786
330,0.00788
331,0.00720
332,0.00609
333,0.00500
334,0.00434
335,0.00421
336,0.00433
337,0.00409
338,0.00302
339,0.00204
340,0.00125
341,0.00086
342,0.00088
343,0.00121
344,0.00166
345,0.00200
346,0.00208
347,0.00183
348,0.00137
349,0.00088
350,0.00048
351,0.00022
352,0.00009
353,0.00004
354,0.00004
355,0.00010
356,0.00025
357,0.00054
358,0.00103
359,0.00000
360,0.00000
