day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01334
5,0.01502
6,0.01608
7,0.01627
8,0.01565
9,0.01453
10,0.01324
11,0.01201
12,0.01090
13,0.01000
14,0.00946
15,0.00956
16,0.01046
17,0.01189
18,0.01325
19,0.01224
20,0.01027
21,0.00826
22,0.00683
23,0.00607
24,0.00567
25,0.00523
26,0.00449
27,0.00348
28,0.00239
29,0.00144
30,0.00076
31,0.00035
32,0.00014
33,0.00005
34,0.00001
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00001
42,0.00003
43,0.00010
44,0.00025
45,0.00056
46,0.00106
47,0.00170
48,0.00231
49,0.00265
50,0.00261
51,0.00223
52,0.00175
53,0.00144
54,0.00178
55,0.00226
56,0.00263
57,0.00269
58,0.00246
59,0.00211
60,0.00193
61,0.00206
62,0.00248
63,0.00302
64,0.00348
65,0.00375
66,0.00383
67,0.00374
68,0.00347
69,0.00308
70,0.00269
71,0.00250
72,0.00260
73,0.00283
74,0.00296
75,0.00287
76,0.00266
77,0.00259
78,0.00282
79,0.00333
80,0.00392
81,0.00434
82,0.00442
83,0.00411
84,0.00348
85,0.00269
86,0.00200
87,0.00168
88,0.00195
89,0.00371
90,0.00664
91,0.00906
92,0.01160
93,0.01417
94,0.01675
95,0.01913
96,0.02089
97,0.02152
98,0.02074
99,0.01875
100,0.01610
101,0.01340
102,0.01119
103,0.00989
104,0.00955
105,0.00984
106,0.01032
107,0.01076
108,0.01129
109,0.01211
110,0.01318
111,0.01416
112,0.01468
113,0.01469
114,0.01446
115,0.01437
116,0.01462
117,0.01519
118,0.01600
119,0.01702
120,0.01831
121,0.01995
122,0.02189
123,0.02399
124,0.02726
125,0.03046
126,0.03210
127,0.03290
128,0.03291
129,0.03279
130,0.03363
131,0.03641
132,0.04161
133,0.04905
134,0.05802
135,0.06757
136,0.07662
137,0.08398
138,0.08846
139,0.08918
140,0.08617
141,0.08076
142,0.07524
143,0.07204
144,0.07291
145,0.07870
146,0.08945
147,0.10446
148,0.12219
149,0.14048
150,0.15717
151,0.17106
152,0.18218
153,0.19151
154,0.19984
155,0.20757
156,0.21491
157,0.22293
158,0.23301
159,0.24689
160,0.27750
161,0.31949
162,0.35415
163,0.38674
164,0.41734
165,0.44491
166,0.46927
167,0.49066
168,0.50978
169,0.52793
170,0.54685
171,0.56860
172,0.59517
173,0.62819
174,0.66837
175,0.71493
176,0.76540
177,0.81576
178,0.86128
179,0.89780
180,0.92330
181,0.93871
182,0.94730
183,0.95357
184,0.96106
185,0.97057
186,0.97990
187,0.98583
188,0.98687
189,0.98480
190,0.98333
191,0.98497
192,0.98932
193,0.99414
194,0.99790
195,0.99989
196,0.99567
197,0.97724
198,0.95376
199,0.92847
200,0.90912
201,0.89961
202,0.89707
203,0.89392
204,0.88317
205,0.86274
206,0.83588
207,0.80725
208,0.77872
209,0.74950
210,0.71867
211,0.68748
212,0.65923
213,0.63716
214,0.62221
215,0.61234
216,0.60381
217,0.59310
218,0.57833
219,0.55945
220,0.53755
221,0.51397
222,0.49011
223,0.46752
224,0.44794
225,0.43263
226,0.42149
227,0.41265
228,0.40309
229,0.39008
230,0.37258
231,0.34495
232,0.31160
233,0.28662
234,0.26838
235,0.25231
236,0.23819
237,0.22615
238,0.21673
239,0.21026
240,0.20632
241,0.20383
242,0.20171
243,0.19925
244,0.19589
245,0.19090
246,0.18361
247,0.17402
248,0.16305
249,0.15228
250,0.14325
251,0.13703
252,0.13394
253,0.13343
254,0.13422
255,0.13470
256,0.13352
257,0.13007
258,0.12469
259,0.11855
260,0.11236
261,0.10599
262,0.09859
263,0.08948
264,0.07907
265,0.06887
266,0.05821
267,0.05363
268,0.05329
269,0.05323
270,0.05254
271,0.05105
272,0.04904
273,0.04669
274,0.04381
275,0.04003
276,0.03537
277,0.03062
278,0.02721
279,0.02640
280,0.02857
281,0.03286
282,0.03768
283,0.04151
284,0.04351
285,0.04355
286,0.04210
287,0.03989
288,0.03779
289,0.03639
290,0.03567
291,0.03514
292,0.03421
293,0.03271
294,0.03104
295,0.02981
296,0.02941
297,0.02970
298,0.03022
299,0.03051
300,0.03048
301,0.03038
302,0.03108
303,0.03307
304,0.03484
305,0.03609
306,0.03601
307,0.03426
308,0.03118
309,0.02768
310,0.02467
311,0.02263
312,0.02137
313,0.02057
314,0.02005
315,0.01988
316,0.02014
317,0.02068
318,0.02103
319,0.02067
320,0.01937
321,0.01737
322,0.01537
323,0.01412
324,0.01412
325,0.01535
326,0.01735
327,0.01956
328,0.02150
329,0.02284
330,0.02325
331,0.02253
332,0.02079
333,0.01856
334,0.01662
335,0.01558
336,0.01552
337,0.01615
338,0.01619
339,0.01572
340,0.01515
341,0.01460
342,0.01392
343,0.01288
344,0.01134
345,0.00940
346,0.00741
347,0.00586
348,0.00518
349,0.00562
350,0.00699
351,0.00877
352,0.01024
353,0.01089
354,0.01069
355,0.01010
356,0.00979
357,0.01024
358,0.01154
359,0.00000
360,0.00000
