day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00001
89,0.00004
90,0.00017
91,0.00039
92,0.00081
93,0.00150
94,0.00249
95,0.00370
96,0.00497
97,0.00604
98,0.00669
99,0.00677
100,0.00629
101,0.00537
102,0.00423
103,0.00308
104,0.00208
105,0.00136
106,0.00097
107,0.00089
108,0.00110
109,0.00151
110,0.00201
111,0.00243
112,0.00264
113,0.00259
114,0.00237
115,0.00213
116,0.00204
117,0.00222
118,0.00270
119,0.00342
120,0.00430
121,0.00523
122,0.00612
123,0.00690
124,0.00784
125,0.00879
126,0.00982
127,0.01153
128,0.01420
129,0.01808
130,0.02336
131,0.03014
132,0.03838
133,0.04788
134,0.05825
135,0.06912
136,0.08045
137,0.09280
138,0.10735
139,0.12569
140,0.14922
141,0.17855
142,0.21307
143,0.25104
144,0.29020
145,0.32850
146,0.36478
147,0.39875
148,0.43052
149,0.45983
150,0.48573
151,0.50689
152,0.52261
153,0.53395
154,0.54415
155,0.55803
156,0.58060
157,0.61452
158,0.65868
159,0.70936
160,0.78601
161,0.85364
162,0.89000
163,0.92012
164,0.94489
165,0.96489
166,0.98031
167,0.99118
168,0.99763
169,1.00000
170,0.99898
171,0.99578
172,0.99212
173,0.98957
174,0.98835
175,0.98641
176,0.97983
177,0.96477
178,0.93974
179,0.90763
180,0.87420
181,0.84522
182,0.82469
183,0.81410
184,0.81264
185,0.81770
186,0.82535
187,0.83078
188,0.82933
189,0.81787
190,0.79613
191,0.76696
192,0.73538
193,0.70654
194,0.68394
195,0.66398
196,0.65479
197,0.65375
198,0.65626
199,0.66269
200,0.67274
201,0.68455
202,0.69513
203,0.70147
204,0.70146
205,0.69446
206,0.68148
207,0.66473
208,0.64688
209,0.63032
210,0.61643
211,0.60529
212,0.59574
213,0.58599
214,0.57435
215,0.55990
216,0.54258
217,0.52286
218,0.50133
219,0.47855
220,0.45510
221,0.43181
222,0.40987
223,0.39096
224,0.37706
225,0.36968
226,0.36943
227,0.37542
228,0.38516
229,0.39506
230,0.40141
231,0.39769
232,0.37983
233,0.36121
234,0.34078
235,0.32089
236,0.30318
237,0.28862
238,0.27777
239,0.27085
240,0.26761
241,0.26701
242,0.26718
243,0.26580
244,0.26079
245,0.25104
246,0.23724
247,0.22156
248,0.20643
249,0.19373
250,0.18436
251,0.17829
252,0.17484
253,0.17300
254,0.17157
255,0.16918
256,0.16454
257,0.15673
258,0.14557
259,0.13185
260,0.11714
261,0.10326
262,0.09159
263,0.08253
264,0.07549
265,0.06929
266,0.05929
267,0.04809
268,0.04061
269,0.03388
270,0.02817
271,0.02349
272,0.01968
273,0.01659
274,0.01413
275,0.01226
276,0.01098
277,0.01029
278,0.01021
279,0.01076
280,0.01190
281,0.01350
282,0.01531
283,0.01695
284,0.01807
285,0.01837
286,0.01776
287,0.01631
288,0.01428
289,0.01196
290,0.00964
291,0.00756
292,0.00588
293,0.00467
294,0.00391
295,0.00347
296,0.00314
297,0.00278
298,0.00231
299,0.00175
300,0.00121
301,0.00075
302,0.00031
303,0.00009
304,0.00003
305,0.00001
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00001
335,0.00003
336,0.00009
337,0.00031
338,0.00075
339,0.00120
340,0.00172
341,0.00219
342,0.00249
343,0.00253
344,0.00230
345,0.00187
346,0.00136
347,0.00089
348,0.00051
349,0.00027
350,0.00012
351,0.00005
352,0.00002
353,0.00001
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
