day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00168
5,0.00302
6,0.00432
7,0.00545
8,0.00705
9,0.00974
10,0.01306
11,0.01577
12,0.01662
13,0.01505
14,0.01186
15,0.00863
16,0.00639
17,0.00530
18,0.00475
19,0.00504
20,0.00696
21,0.00978
22,0.01145
23,0.01082
24,0.00858
25,0.00590
26,0.00348
27,0.00171
28,0.00088
29,0.00103
30,0.00198
31,0.00309
32,0.00351
33,0.00287
34,0.00170
35,0.00072
36,0.00021
37,0.00004
38,0.00001
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00003
45,0.00014
46,0.00051
47,0.00135
48,0.00256
49,0.00348
50,0.00338
51,0.00232
52,0.00118
53,0.00097
54,0.00241
55,0.00378
56,0.00464
57,0.00508
58,0.00563
59,0.00623
60,0.00635
61,0.00588
62,0.00532
63,0.00507
64,0.00501
65,0.00500
66,0.00524
67,0.00599
68,0.00752
69,0.00957
70,0.01076
71,0.00966
72,0.00659
73,0.00336
74,0.00135
75,0.00087
76,0.00193
77,0.00466
78,0.00838
79,0.01122
80,0.01177
81,0.01089
82,0.01038
83,0.01040
84,0.00980
85,0.00843
86,0.00753
87,0.00790
88,0.00888
89,0.00945
90,0.00885
91,0.00765
92,0.00643
93,0.00607
94,0.00643
95,0.00691
96,0.00791
97,0.01134
98,0.01856
99,0.02754
100,0.03382
101,0.03495
102,0.03269
103,0.03105
104,0.03268
105,0.03715
106,0.04244
107,0.04665
108,0.04797
109,0.04594
110,0.04352
111,0.04594
112,0.05717
113,0.07746
114,0.10314
115,0.12867
116,0.14947
117,0.16384
118,0.17468
119,0.18927
120,0.21416
121,0.25010
122,0.29263
123,0.33356
124,0.37292
125,0.40077
126,0.43204
127,0.47351
128,0.51036
129,0.53166
130,0.53911
131,0.54367
132,0.56312
133,0.61272
134,0.68447
135,0.75112
136,0.80027
137,0.84555
138,0.89671
139,0.93557
140,0.93474
141,0.88816
142,0.82549
143,0.80336
144,0.85993
145,0.95640
146,1.00000
147,0.95179
148,0.86260
149,0.79486
150,0.77580
151,0.81685
152,0.90124
153,0.96415
154,0.95813
155,0.91087
156,0.85778
157,0.78305
158,0.67777
159,0.57799
160,0.50447
161,0.50183
162,0.51384
163,0.48466
164,0.40554
165,0.32082
166,0.26527
167,0.23031
168,0.20069
169,0.17665
170,0.15767
171,0.13779
172,0.11728
173,0.10112
174,0.09025
175,0.08320
176,0.08008
177,0.07990
178,0.07973
179,0.07955
180,0.08039
181,0.07847
182,0.07145
183,0.06522
184,0.06533
185,0.06901
186,0.07143
187,0.07119
188,0.06739
189,0.05974
190,0.05199
191,0.04983
192,0.05403
193,0.05782
194,0.05441
195,0.04127
196,0.03232
197,0.02844
198,0.02402
199,0.02059
200,0.02018
201,0.02244
202,0.02514
203,0.02780
204,0.03287
205,0.04133
206,0.04892
207,0.04945
208,0.04162
209,0.03102
210,0.02484
211,0.02558
212,0.02979
213,0.03228
214,0.03122
215,0.02811
216,0.02393
217,0.01882
218,0.01531
219,0.01733
220,0.02435
221,0.03101
222,0.03299
223,0.03093
224,0.02786
225,0.02556
226,0.02457
227,0.02472
228,0.02457
229,0.02317
230,0.02281
231,0.03064
232,0.03989
233,0.03770
234,0.02872
235,0.01862
236,0.01202
237,0.01014
238,0.01190
239,0.01458
240,0.01479
241,0.01162
242,0.00787
243,0.00676
244,0.00875
245,0.01198
246,0.01458
247,0.01563
248,0.01505
249,0.01385
250,0.01395
251,0.01680
252,0.02226
253,0.02908
254,0.03466
255,0.03515
256,0.02923
257,0.02084
258,0.01501
259,0.01259
260,0.01170
261,0.01176
262,0.01354
263,0.01642
264,0.01797
265,0.01653
266,0.01155
267,0.00824
268,0.00842
269,0.01066
270,0.01419
271,0.01743
272,0.01915
273,0.01895
274,0.01717
275,0.01496
276,0.01342
277,0.01264
278,0.01213
279,0.01132
280,0.00970
281,0.00744
282,0.00567
283,0.00544
284,0.00673
285,0.00904
286,0.01215
287,0.01587
288,0.01922
289,0.02056
290,0.01909
291,0.01581
292,0.01211
293,0.00851
294,0.00564
295,0.00478
296,0.00640
297,0.00915
298,0.01144
299,0.01303
300,0.01414
301,0.01395
302,0.01102
303,0.00931
304,0.00996
305,0.01074
306,0.01061
307,0.00911
308,0.00702
309,0.00622
310,0.00805
311,0.01201
312,0.01559
313,0.01616
314,0.01397
315,0.01225
316,0.01336
317,0.01589
318,0.01672
319,0.01462
320,0.01091
321,0.00731
322,0.00455
323,0.00291
324,0.00269
325,0.00383
326,0.00570
327,0.00754
328,0.00879
329,0.00908
330,0.00830
331,0.00671
332,0.00477
333,0.00318
334,0.00280
335,0.00403
336,0.00607
337,0.00717
338,0.00594
339,0.00507
340,0.00435
341,0.00365
342,0.00350
343,0.00386
344,0.00395
345,0.00360
346,0.00349
347,0.00386
348,0.00421
349,0.00453
350,0.00564
351,0.00760
352,0.00910
353,0.00886
354,0.00695
355,0.00440
356,0.00225
357,0.00105
358,0.00091
359,0.00000
360,0.00000
