day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.10035
5,0.10179
6,0.10247
7,0.10221
8,0.10090
9,0.09849
10,0.09506
11,0.09076
12,0.08585
13,0.08058
14,0.07525
15,0.07002
16,0.06503
17,0.06037
18,0.05417
19,0.04883
20,0.04588
21,0.04338
22,0.04132
23,0.03966
24,0.03836
25,0.03737
26,0.03661
27,0.03603
28,0.03557
29,0.03513
30,0.03465
31,0.03404
32,0.03320
33,0.03206
34,0.03057
35,0.02872
36,0.02657
37,0.02422
38,0.02181
39,0.01952
40,0.01754
41,0.01599
42,0.01501
43,0.01461
44,0.01472
45,0.01519
46,0.01587
47,0.01658
48,0.01717
49,0.01751
50,0.01756
51,0.01732
52,0.01684
53,0.01582
54,0.01471
55,0.01399
56,0.01328
57,0.01257
58,0.01183
59,0.01102
60,0.01014
61,0.00921
62,0.00829
63,0.00742
64,0.00665
65,0.00604
66,0.00562
67,0.00540
68,0.00536
69,0.00547
70,0.00569
71,0.00596
72,0.00625
73,0.00649
74,0.00665
75,0.00671
76,0.00665
77,0.00648
78,0.00621
79,0.00587
80,0.00546
81,0.00502
82,0.00457
83,0.00412
84,0.00367
85,0.00325
86,0.00284
87,0.00245
88,0.00211
89,0.00171
90,0.00150
91,0.00151
92,0.00166
93,0.00194
94,0.00234
95,0.00284
96,0.00340
97,0.00399
98,0.00458
99,0.00515
100,0.00569
101,0.00621
102,0.00674
103,0.00732
104,0.00797
105,0.00875
106,0.00967
107,0.01078
108,0.01210
109,0.01366
110,0.01545
111,0.01749
112,0.01975
113,0.02222
114,0.02488
115,0.02770
116,0.03067
117,0.03376
118,0.03696
119,0.04026
120,0.04362
121,0.04702
122,0.05042
123,0.05381
124,0.05881
125,0.06366
126,0.06677
127,0.06975
128,0.07259
129,0.07527
130,0.07779
131,0.08020
132,0.08256
133,0.08501
134,0.08769
135,0.09076
136,0.09437
137,0.09871
138,0.10394
139,0.11026
140,0.11792
141,0.12718
142,0.13830
143,0.15154
144,0.16706
145,0.18495
146,0.20511
147,0.22730
148,0.25121
149,0.27637
150,0.30241
151,0.32914
152,0.35658
153,0.38492
154,0.41444
155,0.44544
156,0.47810
157,0.51243
158,0.54826
159,0.58531
160,0.64239
161,0.70026
162,0.72198
163,0.74273
164,0.76239
165,0.78068
166,0.79723
167,0.81160
168,0.82341
169,0.83241
170,0.83867
171,0.85058
172,0.86262
173,0.86608
174,0.87017
175,0.87604
176,0.88449
177,0.89582
178,0.90974
179,0.92542
180,0.94157
181,0.95665
182,0.96911
183,0.97763
184,0.98121
185,0.97929
186,0.95671
187,0.92973
188,0.89984
189,0.86833
190,0.83644
191,0.80513
192,0.77514
193,0.74708
194,0.72142
195,0.69830
196,0.67812
197,0.66147
198,0.64803
199,0.63760
200,0.62972
201,0.62379
202,0.61910
203,0.61493
204,0.61066
205,0.60580
206,0.59798
207,0.58883
208,0.58152
209,0.57407
210,0.56661
211,0.55921
212,0.55182
213,0.54442
214,0.53696
215,0.52944
216,0.52191
217,0.51445
218,0.50717
219,0.50015
220,0.49342
221,0.48697
222,0.48073
223,0.47460
224,0.46847
225,0.46220
226,0.45569
227,0.44893
228,0.44198
229,0.43497
230,0.42805
231,0.42016
232,0.41255
233,0.40672
234,0.40136
235,0.39637
236,0.39153
237,0.38667
238,0.38167
239,0.37645
240,0.37100
241,0.36536
242,0.35849
243,0.35159
244,0.34596
245,0.34061
246,0.33568
247,0.33131
248,0.32763
249,0.32471
250,0.32250
251,0.32087
252,0.31959
253,0.31838
254,0.31692
255,0.31499
256,0.31248
257,0.30937
258,0.30575
259,0.30171
260,0.29740
261,0.29293
262,0.28835
263,0.28365
264,0.27874
265,0.27347
266,0.26502
267,0.25560
268,0.24833
269,0.24073
270,0.23310
271,0.22583
272,0.21921
273,0.21351
274,0.20889
275,0.20540
276,0.20301
277,0.20145
278,0.20083
279,0.20116
280,0.20202
281,0.20313
282,0.20417
283,0.20471
284,0.20432
285,0.20266
286,0.19968
287,0.19545
288,0.19020
289,0.18428
290,0.17807
291,0.17198
292,0.16642
293,0.16169
294,0.15802
295,0.15554
296,0.15425
297,0.15402
298,0.15459
299,0.15563
300,0.15672
301,0.15748
302,0.15749
303,0.15637
304,0.15518
305,0.15401
306,0.15312
307,0.15260
308,0.15239
309,0.15223
310,0.15174
311,0.15051
312,0.14821
313,0.14469
314,0.13994
315,0.13430
316,0.12821
317,0.12210
318,0.11634
319,0.11121
320,0.10680
321,0.10307
322,0.09986
323,0.09691
324,0.09395
325,0.09076
326,0.08717
327,0.08317
328,0.07884
329,0.07439
330,0.07010
331,0.06626
332,0.06307
333,0.06069
334,0.05916
335,0.05843
336,0.05835
337,0.05896
338,0.05965
339,0.05979
340,0.05952
341,0.05885
342,0.05790
343,0.05693
344,0.05626
345,0.05621
346,0.05702
347,0.05879
348,0.06151
349,0.06504
350,0.06915
351,0.07355
352,0.07800
353,0.08226
354,0.08621
355,0.08981
356,0.09305
357,0.09596
358,0.09853
359,0.00000
360,0.00000
