day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01070
5,0.01100
6,0.01129
7,0.01152
8,0.01165
9,0.01166
10,0.01155
11,0.01130
12,0.01092
13,0.01042
14,0.00988
15,0.00939
16,0.00905
17,0.00891
18,0.00895
19,0.00886
20,0.00844
21,0.00766
22,0.00657
23,0.00530
24,0.00402
25,0.00285
26,0.00189
27,0.00117
28,0.00068
29,0.00036
30,0.00018
31,0.00008
32,0.00004
33,0.00001
34,0.00001
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00001
110,0.00002
111,0.00004
112,0.00010
113,0.00021
114,0.00044
115,0.00084
116,0.00150
117,0.00250
118,0.00393
119,0.00577
120,0.00795
121,0.01030
122,0.01252
123,0.01433
124,0.01558
125,0.01516
126,0.01406
127,0.01274
128,0.01152
129,0.01059
130,0.00998
131,0.00960
132,0.00925
133,0.00876
134,0.00805
135,0.00714
136,0.00621
137,0.00549
138,0.00525
139,0.00573
140,0.00709
141,0.00933
142,0.01233
143,0.01574
144,0.01902
145,0.02162
146,0.02310
147,0.02323
148,0.02208
149,0.02001
150,0.01756
151,0.01534
152,0.01386
153,0.01348
154,0.01433
155,0.01641
156,0.01955
157,0.02355
158,0.02814
159,0.03310
160,0.04069
161,0.04801
162,0.05259
163,0.05703
164,0.06168
165,0.06722
166,0.07480
167,0.08605
168,0.10283
169,0.12674
170,0.15853
171,0.19751
172,0.24128
173,0.28605
174,0.32750
175,0.36193
176,0.38727
177,0.40362
178,0.41270
179,0.41740
180,0.42007
181,0.42171
182,0.42230
183,0.42135
184,0.41863
185,0.41454
186,0.41017
187,0.40689
188,0.40606
189,0.40868
190,0.41552
191,0.42721
192,0.44445
193,0.46781
194,0.49736
195,0.55108
196,0.60709
197,0.63943
198,0.66354
199,0.67708
200,0.67930
201,0.67126
202,0.65574
203,0.63705
204,0.62052
205,0.61170
206,0.61539
207,0.63460
208,0.66971
209,0.71801
210,0.77398
211,0.83021
212,0.87884
213,0.91288
214,0.92750
215,0.92303
216,0.90207
217,0.86942
218,0.83104
219,0.79306
220,0.76107
221,0.73954
222,0.73167
223,0.73915
224,0.76212
225,0.79891
226,0.84577
227,0.89690
228,0.94484
229,0.98155
230,1.00000
231,0.98177
232,0.92189
233,0.86566
234,0.80780
235,0.75647
236,0.71772
237,0.69468
238,0.68719
239,0.69217
240,0.70445
241,0.71802
242,0.72727
243,0.72811
244,0.71853
245,0.69850
246,0.66945
247,0.63352
248,0.59310
249,0.55076
250,0.50960
251,0.47270
252,0.44278
253,0.42135
254,0.40803
255,0.40039
256,0.39467
257,0.38688
258,0.37413
259,0.35546
260,0.33194
261,0.30604
262,0.28068
263,0.25819
264,0.23971
265,0.22506
266,0.20758
267,0.19063
268,0.17796
269,0.16410
270,0.14964
271,0.13548
272,0.12248
273,0.11119
274,0.10176
275,0.09402
276,0.08766
277,0.08242
278,0.07817
279,0.07490
280,0.07255
281,0.07098
282,0.06985
283,0.06875
284,0.06728
285,0.06525
286,0.06271
287,0.05990
288,0.05716
289,0.05494
290,0.05370
291,0.05388
292,0.05584
293,0.05969
294,0.06519
295,0.07170
296,0.07820
297,0.08348
298,0.08639
299,0.08610
300,0.08236
301,0.07556
302,0.06165
303,0.04735
304,0.03930
305,0.03309
306,0.02878
307,0.02612
308,0.02472
309,0.02418
310,0.02422
311,0.02466
312,0.02538
313,0.02621
314,0.02689
315,0.02711
316,0.02660
317,0.02523
318,0.02312
319,0.02061
320,0.01817
321,0.01620
322,0.01492
323,0.01437
324,0.01449
325,0.01513
326,0.01609
327,0.01713
328,0.01800
329,0.01843
330,0.01819
331,0.01720
332,0.01551
333,0.01337
334,0.01113
335,0.00916
336,0.00775
337,0.00704
338,0.00738
339,0.00783
340,0.00810
341,0.00800
342,0.00748
343,0.00660
344,0.00554
345,0.00452
346,0.00374
347,0.00336
348,0.00347
349,0.00406
350,0.00503
351,0.00622
352,0.00745
353,0.00853
354,0.00933
355,0.00982
356,0.01009
357,0.01026
358,0.01044
359,0.00000
360,0.00000
