day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00001
83,0.00006
84,0.00032
85,0.00114
86,0.00297
87,0.00567
88,0.00791
89,0.00684
90,0.00287
91,0.00100
92,0.00024
93,0.00004
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00001
109,0.00008
110,0.00042
111,0.00147
112,0.00366
113,0.00647
114,0.00820
115,0.00747
116,0.00488
117,0.00228
118,0.00076
119,0.00023
120,0.00033
121,0.00116
122,0.00329
123,0.00723
124,0.01642
125,0.02752
126,0.03381
127,0.03626
128,0.03473
129,0.03271
130,0.03240
131,0.03472
132,0.04125
133,0.05260
134,0.06656
135,0.07997
136,0.09251
137,0.10745
138,0.12841
139,0.15350
140,0.17520
141,0.19315
142,0.21621
143,0.24578
144,0.27242
145,0.29104
146,0.30536
147,0.31784
148,0.32916
149,0.34510
150,0.36809
151,0.38756
152,0.39643
153,0.41093
154,0.45607
155,0.57123
156,0.69991
157,0.81839
158,0.94933
159,1.00000
160,0.88724
161,0.72363
162,0.61210
163,0.58708
164,0.60282
165,0.59218
166,0.53775
167,0.47915
168,0.44789
169,0.43096
170,0.40129
171,0.35378
172,0.30894
173,0.29060
174,0.30301
175,0.32642
176,0.33008
177,0.29950
178,0.25636
179,0.23724
180,0.25267
181,0.27466
182,0.26796
183,0.22941
184,0.18322
185,0.14879
186,0.12752
187,0.11222
188,0.09852
189,0.08623
190,0.07611
191,0.06637
192,0.05603
193,0.04771
194,0.04391
195,0.04967
196,0.05733
197,0.05206
198,0.03852
199,0.02717
200,0.02284
201,0.02267
202,0.02328
203,0.02404
204,0.02391
205,0.02105
206,0.01551
207,0.00928
208,0.00435
209,0.00153
210,0.00039
211,0.00007
212,0.00001
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00000
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00000
236,0.00000
237,0.00000
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
