day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00003
65,0.00026
66,0.00076
67,0.00099
68,0.00062
69,0.00019
70,0.00002
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00001
89,0.00021
90,0.00089
91,0.00104
92,0.00045
93,0.00006
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00001
104,0.00011
105,0.00069
106,0.00129
107,0.00067
108,0.00011
109,0.00001
110,0.00000
111,0.00001
112,0.00015
113,0.00127
114,0.00344
115,0.00391
116,0.00228
117,0.00232
118,0.00542
119,0.00751
120,0.00662
121,0.00712
122,0.01144
123,0.01486
124,0.01466
125,0.01748
126,0.01827
127,0.01934
128,0.02302
129,0.03183
130,0.04048
131,0.04493
132,0.04974
133,0.05300
134,0.05567
135,0.06406
136,0.07470
137,0.08384
138,0.09957
139,0.12482
140,0.14726
141,0.16361
142,0.18691
143,0.21475
144,0.23084
145,0.24535
146,0.28758
147,0.36202
148,0.44275
149,0.49800
150,0.52146
151,0.55848
152,0.65414
153,0.74641
154,0.72778
155,0.64524
156,0.63251
157,0.68737
158,0.74613
159,0.79384
160,0.88016
161,0.90852
162,0.91026
163,0.94712
164,0.93094
165,0.87287
166,0.87125
167,0.89834
168,0.95130
169,1.00000
170,0.95019
171,0.73294
172,0.56981
173,0.54987
174,0.55414
175,0.52371
176,0.50990
177,0.48126
178,0.42166
179,0.36224
180,0.35183
181,0.33968
182,0.28554
183,0.23069
184,0.19093
185,0.15289
186,0.11421
187,0.09889
188,0.09053
189,0.08036
190,0.07341
191,0.07168
192,0.06959
193,0.05878
194,0.05037
195,0.05749
196,0.05417
197,0.04197
198,0.03474
199,0.02580
200,0.01615
201,0.00982
202,0.00663
203,0.00496
204,0.00425
205,0.00335
206,0.00178
207,0.00101
208,0.00182
209,0.00274
210,0.00247
211,0.00172
212,0.00125
213,0.00090
214,0.00089
215,0.00120
216,0.00135
217,0.00123
218,0.00081
219,0.00042
220,0.00059
221,0.00097
222,0.00083
223,0.00032
224,0.00016
225,0.00058
226,0.00140
227,0.00186
228,0.00129
229,0.00042
230,0.00006
231,0.00022
232,0.00089
233,0.00104
234,0.00045
235,0.00006
236,0.00004
237,0.00026
238,0.00082
239,0.00114
240,0.00061
241,0.00067
242,0.00248
243,0.00438
244,0.00300
245,0.00084
246,0.00009
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00007
257,0.00053
258,0.00114
259,0.00082
260,0.00026
261,0.00004
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00003
276,0.00028
277,0.00079
278,0.00098
279,0.00059
280,0.00017
281,0.00002
282,0.00000
283,0.00000
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00000
308,0.00000
309,0.00000
310,0.00000
311,0.00000
312,0.00000
313,0.00000
314,0.00000
315,0.00000
316,0.00000
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00001
336,0.00021
337,0.00279
338,0.00367
339,0.00163
340,0.00036
341,0.00003
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
