day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01341
5,0.01390
6,0.01379
7,0.01259
8,0.01049
9,0.00837
10,0.00704
11,0.00668
12,0.00688
13,0.00698
14,0.00639
15,0.00504
16,0.00347
17,0.00235
18,0.00182
19,0.00171
20,0.00156
21,0.00152
22,0.00187
23,0.00261
24,0.00356
25,0.00437
26,0.00464
27,0.00433
28,0.00377
29,0.00339
30,0.00328
31,0.00325
32,0.00307
33,0.00264
34,0.00209
35,0.00165
36,0.00148
37,0.00147
38,0.00135
39,0.00102
40,0.00067
41,0.00054
42,0.00065
43,0.00088
44,0.00114
45,0.00150
46,0.00191
47,0.00207
48,0.00175
49,0.00109
50,0.00051
51,0.00024
52,0.00029
53,0.00073
54,0.00115
55,0.00118
56,0.00102
57,0.00087
58,0.00102
59,0.00155
60,0.00221
61,0.00252
62,0.00222
63,0.00147
64,0.00073
65,0.00028
66,0.00012
67,0.00017
68,0.00038
69,0.00065
70,0.00089
71,0.00111
72,0.00140
73,0.00175
74,0.00190
75,0.00168
76,0.00116
77,0.00062
78,0.00030
79,0.00030
80,0.00059
81,0.00107
82,0.00147
83,0.00159
84,0.00147
85,0.00138
86,0.00140
87,0.00154
88,0.00182
89,0.00277
90,0.00417
91,0.00494
92,0.00514
93,0.00466
94,0.00377
95,0.00285
96,0.00208
97,0.00152
98,0.00146
99,0.00226
100,0.00391
101,0.00560
102,0.00619
103,0.00536
104,0.00384
105,0.00265
106,0.00225
107,0.00238
108,0.00255
109,0.00246
110,0.00209
111,0.00154
112,0.00097
113,0.00052
114,0.00031
115,0.00035
116,0.00059
117,0.00091
118,0.00126
119,0.00176
120,0.00259
121,0.00382
122,0.00534
123,0.00666
124,0.00715
125,0.00669
126,0.00630
127,0.00575
128,0.00516
129,0.00502
130,0.00549
131,0.00617
132,0.00656
133,0.00650
134,0.00618
135,0.00566
136,0.00507
137,0.00477
138,0.00512
139,0.00612
140,0.00718
141,0.00759
142,0.00740
143,0.00728
144,0.00741
145,0.00724
146,0.00674
147,0.00683
148,0.00830
149,0.01097
150,0.01402
151,0.01678
152,0.01918
153,0.02147
154,0.02344
155,0.02432
156,0.02402
157,0.02355
158,0.02421
159,0.02659
160,0.03268
161,0.03921
162,0.04315
163,0.04769
164,0.05358
165,0.05980
166,0.06438
167,0.06684
168,0.06912
169,0.07371
170,0.08067
171,0.08689
172,0.09133
173,0.09582
174,0.10246
175,0.11110
176,0.11979
177,0.12606
178,0.12880
179,0.12908
180,0.12812
181,0.12751
182,0.12958
183,0.13514
184,0.14290
185,0.15107
186,0.15782
187,0.16140
188,0.16234
189,0.16458
190,0.17209
191,0.18460
192,0.19655
193,0.20126
194,0.19792
195,0.18941
196,0.19092
197,0.20510
198,0.22084
199,0.22798
200,0.21734
201,0.20516
202,0.20441
203,0.21344
204,0.22682
205,0.23397
206,0.22964
207,0.21913
208,0.21194
209,0.21334
210,0.22276
211,0.23840
212,0.26301
213,0.30800
214,0.38980
215,0.51971
216,0.69512
217,0.86713
218,0.97062
219,0.96291
220,0.82721
221,0.60491
222,0.39326
223,0.26053
224,0.19771
225,0.16691
226,0.14905
227,0.13755
228,0.12893
229,0.12195
230,0.11831
231,0.11898
232,0.12242
233,0.12308
234,0.11759
235,0.10856
236,0.09874
237,0.09217
238,0.08720
239,0.08198
240,0.07707
241,0.07303
242,0.07067
243,0.07032
244,0.07069
245,0.06977
246,0.06723
247,0.06475
248,0.06363
249,0.06309
250,0.06196
251,0.06061
252,0.06030
253,0.06093
254,0.06083
255,0.05899
256,0.05628
257,0.05397
258,0.05191
259,0.04948
260,0.04716
261,0.04561
262,0.04460
263,0.04344
264,0.04210
265,0.04111
266,0.04004
267,0.03807
268,0.03573
269,0.03267
270,0.02940
271,0.02655
272,0.02453
273,0.02340
274,0.02257
275,0.02137
276,0.01952
277,0.01748
278,0.01604
279,0.01538
280,0.01507
281,0.01464
282,0.01397
283,0.01358
284,0.01415
285,0.01567
286,0.01711
287,0.01762
288,0.01757
289,0.01786
290,0.01850
291,0.01859
292,0.01755
293,0.01581
294,0.01423
295,0.01346
296,0.01349
297,0.01380
298,0.01405
299,0.01446
300,0.01515
301,0.01570
302,0.01584
303,0.01607
304,0.01601
305,0.01524
306,0.01402
307,0.01275
308,0.01174
309,0.01138
310,0.01178
311,0.01215
312,0.01150
313,0.00995
314,0.00858
315,0.00806
316,0.00824
317,0.00874
318,0.00940
319,0.01023
320,0.01112
321,0.01211
322,0.01351
323,0.01528
324,0.01647
325,0.01584
326,0.01340
327,0.01077
328,0.00942
329,0.00928
330,0.00943
331,0.00948
332,0.00968
333,0.01033
334,0.01136
335,0.01222
336,0.01224
337,0.01077
338,0.00949
339,0.00886
340,0.00805
341,0.00735
342,0.00682
343,0.00610
344,0.00520
345,0.00452
346,0.00412
347,0.00389
348,0.00412
349,0.00529
350,0.00754
351,0.01044
352,0.01315
353,0.01473
354,0.01466
355,0.01348
356,0.01245
357,0.01230
358,0.01278
359,0.00000
360,0.00000
