day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00001
106,0.00002
107,0.00004
108,0.00010
109,0.00023
110,0.00051
111,0.00109
112,0.00218
113,0.00409
114,0.00722
115,0.01196
116,0.01868
117,0.02753
118,0.03840
119,0.05088
120,0.06428
121,0.07778
122,0.09065
123,0.10236
124,0.11717
125,0.12943
126,0.13613
127,0.14184
128,0.14678
129,0.15138
130,0.15632
131,0.16237
132,0.17020
133,0.18013
134,0.19206
135,0.20552
136,0.21990
137,0.23472
138,0.24967
139,0.26469
140,0.27980
141,0.29495
142,0.31007
143,0.32506
144,0.33996
145,0.35501
146,0.37039
147,0.38603
148,0.40136
149,0.41536
150,0.42678
151,0.43460
152,0.43852
153,0.43936
154,0.43923
155,0.44127
156,0.44923
157,0.46665
158,0.49607
159,0.53835
160,0.62340
161,0.72040
162,0.78405
163,0.84099
164,0.88822
165,0.92462
166,0.95079
167,0.96863
168,0.98058
169,0.98892
170,0.99506
171,0.99914
172,1.00000
173,0.99548
174,0.98312
175,0.96102
176,0.92867
177,0.88734
178,0.83992
179,0.79068
180,0.74333
181,0.70021
182,0.66219
183,0.62901
184,0.59992
185,0.57431
186,0.55202
187,0.53330
188,0.51858
189,0.50817
190,0.50220
191,0.50078
192,0.50424
193,0.51317
194,0.52811
195,0.56126
196,0.59783
197,0.61602
198,0.62264
199,0.61368
200,0.58798
201,0.54765
202,0.49767
203,0.44470
204,0.39557
205,0.35594
206,0.32938
207,0.31699
208,0.31746
209,0.32744
210,0.34216
211,0.35619
212,0.36386
213,0.36146
214,0.34788
215,0.32436
216,0.29417
217,0.26175
218,0.23162
219,0.20744
220,0.19144
221,0.18420
222,0.18480
223,0.19129
224,0.20120
225,0.21204
226,0.22169
227,0.22869
228,0.23223
229,0.23197
230,0.22799
231,0.21584
232,0.19886
233,0.18569
234,0.17252
235,0.16059
236,0.15097
237,0.14429
238,0.14054
239,0.13910
240,0.13896
241,0.13902
242,0.13844
243,0.13687
244,0.13452
245,0.13204
246,0.13048
247,0.13089
248,0.13418
249,0.14095
250,0.15133
251,0.16483
252,0.18025
253,0.19574
254,0.20905
255,0.21787
256,0.22029
257,0.21520
258,0.20255
259,0.18339
260,0.15971
261,0.13404
262,0.10898
263,0.08690
264,0.06918
265,0.05613
266,0.04457
267,0.03855
268,0.03648
269,0.03485
270,0.03325
271,0.03153
272,0.02974
273,0.02797
274,0.02629
275,0.02472
276,0.02327
277,0.02200
278,0.02105
279,0.02062
280,0.02089
281,0.02188
282,0.02342
283,0.02522
284,0.02686
285,0.02795
286,0.02815
287,0.02730
288,0.02539
289,0.02258
290,0.01916
291,0.01546
292,0.01184
293,0.00858
294,0.00588
295,0.00380
296,0.00233
297,0.00141
298,0.00091
299,0.00077
300,0.00095
301,0.00147
302,0.00308
303,0.00560
304,0.00780
305,0.01021
306,0.01254
307,0.01446
308,0.01564
309,0.01587
310,0.01510
311,0.01346
312,0.01124
313,0.00878
314,0.00645
315,0.00448
316,0.00299
317,0.00202
318,0.00155
319,0.00158
320,0.00210
321,0.00312
322,0.00465
323,0.00663
324,0.00893
325,0.01132
326,0.01348
327,0.01508
328,0.01583
329,0.01560
330,0.01440
331,0.01243
332,0.01007
333,0.00767
334,0.00549
335,0.00370
336,0.00234
337,0.00108
338,0.00040
339,0.00020
340,0.00009
341,0.00004
342,0.00002
343,0.00001
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
