day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00263
5,0.00196
6,0.00128
7,0.00074
8,0.00038
9,0.00017
10,0.00007
11,0.00002
12,0.00001
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00001
63,0.00002
64,0.00006
65,0.00016
66,0.00036
67,0.00071
68,0.00123
69,0.00190
70,0.00258
71,0.00310
72,0.00331
73,0.00312
74,0.00261
75,0.00194
76,0.00127
77,0.00074
78,0.00039
79,0.00021
80,0.00017
81,0.00027
82,0.00053
83,0.00097
84,0.00159
85,0.00231
86,0.00295
87,0.00331
88,0.00328
89,0.00255
90,0.00153
91,0.00093
92,0.00050
93,0.00024
94,0.00010
95,0.00004
96,0.00001
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00001
107,0.00002
108,0.00006
109,0.00016
110,0.00040
111,0.00088
112,0.00169
113,0.00290
114,0.00445
115,0.00613
116,0.00771
117,0.00899
118,0.00997
119,0.01080
120,0.01171
121,0.01286
122,0.01423
123,0.01559
124,0.01691
125,0.01711
126,0.01665
127,0.01616
128,0.01606
129,0.01665
130,0.01801
131,0.02004
132,0.02254
133,0.02548
134,0.02906
135,0.03354
136,0.03913
137,0.04588
138,0.05391
139,0.06369
140,0.07627
141,0.09318
142,0.11596
143,0.14562
144,0.18206
145,0.22384
146,0.26829
147,0.31203
148,0.35182
149,0.38539
150,0.41160
151,0.43000
152,0.44033
153,0.44299
154,0.44038
155,0.43824
156,0.44486
157,0.46710
158,0.50784
159,0.56522
160,0.67122
161,0.78283
162,0.85282
163,0.91373
164,0.96083
165,0.99025
166,1.00000
167,0.99030
168,0.96330
169,0.92299
170,0.87552
171,0.82897
172,0.79154
173,0.76851
174,0.75956
175,0.75844
176,0.75557
177,0.74244
178,0.71513
179,0.67650
180,0.63363
181,0.59378
182,0.56217
183,0.54073
184,0.52791
185,0.51956
186,0.51065
187,0.49761
188,0.48017
189,0.46171
190,0.44745
191,0.44137
192,0.44369
193,0.45067
194,0.45705
195,0.45906
196,0.45817
197,0.46209
198,0.47137
199,0.48262
200,0.48914
201,0.48361
202,0.46234
203,0.42802
204,0.38735
205,0.34824
206,0.31663
207,0.29511
208,0.28319
209,0.27862
210,0.27862
211,0.28058
212,0.28238
213,0.28242
214,0.27959
215,0.27328
216,0.26329
217,0.25000
218,0.23449
219,0.21860
220,0.20457
221,0.19427
222,0.18836
223,0.18601
224,0.18539
225,0.18474
226,0.18325
227,0.18136
228,0.17997
229,0.17966
230,0.18012
231,0.17894
232,0.17183
233,0.16166
234,0.14790
235,0.13204
236,0.11589
237,0.10113
238,0.08908
239,0.08076
240,0.07694
241,0.07801
242,0.08372
243,0.09294
244,0.10362
245,0.11329
246,0.11976
247,0.12186
248,0.11980
249,0.11506
250,0.10957
251,0.10455
252,0.10033
253,0.09666
254,0.09325
255,0.09011
256,0.08740
257,0.08507
258,0.08262
259,0.07930
260,0.07457
261,0.06851
262,0.06184
263,0.05565
264,0.05091
265,0.04813
266,0.04735
267,0.04806
268,0.04803
269,0.04684
270,0.04445
271,0.04128
272,0.03796
273,0.03495
274,0.03234
275,0.02994
276,0.02767
277,0.02572
278,0.02463
279,0.02495
280,0.02691
281,0.03021
282,0.03411
283,0.03771
284,0.04024
285,0.04130
286,0.04086
287,0.03925
288,0.03695
289,0.03447
290,0.03217
291,0.03027
292,0.02879
293,0.02763
294,0.02663
295,0.02575
296,0.02520
297,0.02539
298,0.02665
299,0.02892
300,0.03152
301,0.03331
302,0.03185
303,0.02582
304,0.02011
305,0.01466
306,0.01035
307,0.00741
308,0.00565
309,0.00471
310,0.00438
311,0.00453
312,0.00507
313,0.00578
314,0.00634
315,0.00645
316,0.00597
317,0.00496
318,0.00369
319,0.00245
320,0.00147
321,0.00082
322,0.00050
323,0.00047
324,0.00073
325,0.00131
326,0.00224
327,0.00354
328,0.00518
329,0.00702
330,0.00887
331,0.01042
332,0.01130
333,0.01124
334,0.01017
335,0.00831
336,0.00613
337,0.00343
338,0.00201
339,0.00196
340,0.00235
341,0.00289
342,0.00329
343,0.00333
344,0.00299
345,0.00238
346,0.00168
347,0.00105
348,0.00060
349,0.00035
350,0.00028
351,0.00040
352,0.00071
353,0.00122
354,0.00188
355,0.00256
356,0.00309
357,0.00331
358,0.00314
359,0.00000
360,0.00000
