day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00300
5,0.00332
6,0.00361
7,0.00384
8,0.00401
9,0.00412
10,0.00415
11,0.00413
12,0.00406
13,0.00395
14,0.00383
15,0.00370
16,0.00359
17,0.00353
18,0.00352
19,0.00360
20,0.00370
21,0.00382
22,0.00395
23,0.00405
24,0.00413
25,0.00415
26,0.00411
27,0.00400
28,0.00382
29,0.00358
30,0.00329
31,0.00297
32,0.00262
33,0.00226
34,0.00191
35,0.00158
36,0.00128
37,0.00102
38,0.00079
39,0.00060
40,0.00045
41,0.00033
42,0.00023
43,0.00016
44,0.00011
45,0.00007
46,0.00005
47,0.00003
48,0.00002
49,0.00001
50,0.00001
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00001
57,0.00001
58,0.00002
59,0.00004
60,0.00006
61,0.00010
62,0.00015
63,0.00022
64,0.00032
65,0.00046
66,0.00065
67,0.00089
68,0.00121
69,0.00159
70,0.00206
71,0.00261
72,0.00324
73,0.00394
74,0.00471
75,0.00553
76,0.00639
77,0.00727
78,0.00818
79,0.00910
80,0.01005
81,0.01105
82,0.01214
83,0.01335
84,0.01473
85,0.01634
86,0.01821
87,0.02039
88,0.02293
89,0.02733
90,0.03224
91,0.03576
92,0.03936
93,0.04297
94,0.04651
95,0.04992
96,0.05314
97,0.05613
98,0.05890
99,0.06147
100,0.06388
101,0.06619
102,0.06845
103,0.07074
104,0.07312
105,0.07568
106,0.07848
107,0.08161
108,0.08519
109,0.08924
110,0.09383
111,0.09902
112,0.10488
113,0.11145
114,0.11878
115,0.12692
116,0.13591
117,0.14578
118,0.15669
119,0.16857
120,0.18144
121,0.19532
122,0.21022
123,0.22615
124,0.25210
125,0.28006
126,0.30002
127,0.32100
128,0.34296
129,0.36583
130,0.38961
131,0.41428
132,0.43987
133,0.46637
134,0.49382
135,0.52219
136,0.55149
137,0.58166
138,0.61266
139,0.64419
140,0.67599
141,0.70771
142,0.73893
143,0.76919
144,0.79795
145,0.82472
146,0.84897
147,0.87028
148,0.88799
149,0.90205
150,0.91259
151,0.91971
152,0.92389
153,0.92562
154,0.92547
155,0.92412
156,0.92228
157,0.92061
158,0.91978
159,0.92040
160,0.92449
161,0.93185
162,0.93880
163,0.94628
164,0.95397
165,0.96122
166,0.96737
167,0.97179
168,0.97369
169,0.97273
170,0.96875
171,0.96166
172,0.95154
173,0.93861
174,0.92325
175,0.90589
176,0.88708
177,0.86741
178,0.84752
179,0.82807
180,0.80963
181,0.79263
182,0.77738
183,0.76410
184,0.75288
185,0.74368
186,0.73636
187,0.73069
188,0.72637
189,0.72309
190,0.72046
191,0.71813
192,0.71589
193,0.71358
194,0.71115
195,0.70789
196,0.70405
197,0.70106
198,0.69903
199,0.69742
200,0.69626
201,0.69551
202,0.69512
203,0.69500
204,0.69506
205,0.69524
206,0.69551
207,0.69590
208,0.69652
209,0.69758
210,0.69935
211,0.70211
212,0.70613
213,0.71169
214,0.71901
215,0.72822
216,0.73937
217,0.75242
218,0.76718
219,0.78346
220,0.80091
221,0.81903
222,0.83740
223,0.85561
224,0.87334
225,0.89028
226,0.90620
227,0.92095
228,0.93442
229,0.94655
230,0.95729
231,0.96723
232,0.97865
233,0.98724
234,0.99157
235,0.99463
236,0.99647
237,0.99714
238,0.99673
239,0.99541
240,0.99336
241,0.99095
242,0.98851
243,0.98631
244,0.98465
245,0.98373
246,0.98368
247,0.98464
248,0.98650
249,0.98909
250,0.99210
251,0.99507
252,0.99761
253,0.99933
254,0.99990
255,0.99907
256,0.99666
257,0.99258
258,0.98678
259,0.97930
260,0.97015
261,0.95948
262,0.94753
263,0.93447
264,0.92052
265,0.90593
266,0.88638
267,0.86399
268,0.84715
269,0.83371
270,0.82138
271,0.81025
272,0.80033
273,0.79151
274,0.78358
275,0.77624
276,0.76913
277,0.76185
278,0.75399
279,0.74537
280,0.73543
281,0.72403
282,0.71109
283,0.69660
284,0.68061
285,0.66329
286,0.64482
287,0.62544
288,0.60541
289,0.58497
290,0.56437
291,0.54383
292,0.52347
293,0.50335
294,0.48349
295,0.46388
296,0.44447
297,0.42523
298,0.40611
299,0.38712
300,0.36827
301,0.34963
302,0.32233
303,0.29593
304,0.27909
305,0.26291
306,0.24742
307,0.23265
308,0.21858
309,0.20520
310,0.19248
311,0.18034
312,0.16873
313,0.15762
314,0.14700
315,0.13688
316,0.12724
317,0.11811
318,0.10950
319,0.10141
320,0.09391
321,0.08694
322,0.08050
323,0.07458
324,0.06915
325,0.06419
326,0.05968
327,0.05558
328,0.05184
329,0.04843
330,0.04529
331,0.04237
332,0.03957
333,0.03686
334,0.03419
335,0.03153
336,0.02886
337,0.02482
338,0.02080
339,0.01819
340,0.01568
341,0.01332
342,0.01114
343,0.00917
344,0.00743
345,0.00592
346,0.00466
347,0.00363
348,0.00282
349,0.00222
350,0.00181
351,0.00157
352,0.00147
353,0.00148
354,0.00159
355,0.00179
356,0.00205
357,0.00235
358,0.00267
359,0.00000
360,0.00000
