day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00001
42,0.00002
43,0.00009
44,0.00030
45,0.00079
46,0.00177
47,0.00338
48,0.00555
49,0.00795
50,0.00997
51,0.01097
52,0.01054
53,0.00752
54,0.00378
55,0.00195
56,0.00096
57,0.00075
58,0.00116
59,0.00208
60,0.00328
61,0.00438
62,0.00512
63,0.00567
64,0.00645
65,0.00761
66,0.00867
67,0.00881
68,0.00766
69,0.00559
70,0.00340
71,0.00171
72,0.00071
73,0.00025
74,0.00007
75,0.00002
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00002
83,0.00008
84,0.00024
85,0.00062
86,0.00137
87,0.00253
88,0.00399
89,0.00594
90,0.00684
91,0.00651
92,0.00553
93,0.00414
94,0.00268
95,0.00148
96,0.00069
97,0.00027
98,0.00010
99,0.00006
100,0.00015
101,0.00041
102,0.00096
103,0.00187
104,0.00305
105,0.00423
106,0.00513
107,0.00567
108,0.00602
109,0.00639
110,0.00678
111,0.00702
112,0.00688
113,0.00620
114,0.00501
115,0.00354
116,0.00213
117,0.00108
118,0.00045
119,0.00015
120,0.00005
121,0.00001
122,0.00000
123,0.00000
124,0.00001
125,0.00005
126,0.00018
127,0.00051
128,0.00119
129,0.00228
130,0.00370
131,0.00517
132,0.00641
133,0.00729
134,0.00796
135,0.00878
136,0.01021
137,0.01254
138,0.01558
139,0.01838
140,0.01963
141,0.01854
142,0.01560
143,0.01247
144,0.01095
145,0.01181
146,0.01446
147,0.01761
148,0.02018
149,0.02190
150,0.02359
151,0.02658
152,0.03157
153,0.03758
154,0.04243
155,0.04498
156,0.04737
157,0.05433
158,0.06937
159,0.09131
160,0.12330
161,0.14212
162,0.14606
163,0.14802
164,0.15071
165,0.15436
166,0.15810
167,0.16157
168,0.16549
169,0.17105
170,0.17949
171,0.19197
172,0.20959
173,0.23335
174,0.26411
175,0.30171
176,0.34290
177,0.38163
178,0.41447
179,0.44650
180,0.48610
181,0.53403
182,0.58052
183,0.61376
184,0.63053
185,0.63854
186,0.64931
187,0.66914
188,0.69634
189,0.72660
190,0.75965
191,0.79958
192,0.84904
193,0.90413
194,0.95477
195,0.99726
196,1.00000
197,0.98404
198,0.96349
199,0.94160
200,0.91950
201,0.89930
202,0.88372
203,0.87260
204,0.86173
205,0.84618
206,0.82531
207,0.80436
208,0.79106
209,0.78853
210,0.79350
211,0.79853
212,0.79551
213,0.77879
214,0.74767
215,0.70720
216,0.66593
217,0.63121
218,0.60506
219,0.58360
220,0.56107
221,0.53522
222,0.50970
223,0.49137
224,0.48472
225,0.48706
226,0.48835
227,0.47641
228,0.44483
229,0.39747
230,0.34580
231,0.28557
232,0.24977
233,0.23708
234,0.22790
235,0.22034
236,0.21379
237,0.20816
238,0.20373
239,0.20134
240,0.20156
241,0.20327
242,0.20332
243,0.19799
244,0.18504
245,0.16514
246,0.14182
247,0.11979
248,0.10260
249,0.09114
250,0.08397
251,0.07870
252,0.07342
253,0.06708
254,0.05947
255,0.05102
256,0.04287
257,0.03678
258,0.03475
259,0.03838
260,0.04793
261,0.06137
262,0.07447
263,0.08248
264,0.08281
265,0.07651
266,0.06265
267,0.05051
268,0.04358
269,0.03641
270,0.02885
271,0.02170
272,0.01614
273,0.01320
274,0.01317
275,0.01539
276,0.01860
277,0.02174
278,0.02458
279,0.02739
280,0.03013
281,0.03197
282,0.03203
283,0.03031
284,0.02787
285,0.02580
286,0.02427
287,0.02264
288,0.02044
289,0.01803
290,0.01615
291,0.01501
292,0.01400
293,0.01225
294,0.00955
295,0.00654
296,0.00417
297,0.00307
298,0.00323
299,0.00423
300,0.00561
301,0.00723
302,0.01026
303,0.01299
304,0.01327
305,0.01192
306,0.00970
307,0.00783
308,0.00717
309,0.00772
310,0.00884
311,0.00976
312,0.00996
313,0.00923
314,0.00768
315,0.00565
316,0.00364
317,0.00208
318,0.00125
319,0.00118
320,0.00179
321,0.00283
322,0.00387
323,0.00437
324,0.00403
325,0.00303
326,0.00187
327,0.00097
328,0.00047
329,0.00037
330,0.00067
331,0.00139
332,0.00246
333,0.00358
334,0.00431
335,0.00436
336,0.00390
337,0.00347
338,0.00394
339,0.00438
340,0.00430
341,0.00355
342,0.00243
343,0.00137
344,0.00063
345,0.00024
346,0.00007
347,0.00002
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
