day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00270
5,0.00313
6,0.00332
7,0.00320
8,0.00281
9,0.00225
10,0.00163
11,0.00108
12,0.00065
13,0.00037
14,0.00021
15,0.00016
16,0.00020
17,0.00034
18,0.00071
19,0.00120
20,0.00151
21,0.00170
22,0.00173
23,0.00158
24,0.00129
25,0.00095
26,0.00062
27,0.00037
28,0.00020
29,0.00010
30,0.00004
31,0.00002
32,0.00003
33,0.00005
34,0.00012
35,0.00024
36,0.00043
37,0.00070
38,0.00102
39,0.00135
40,0.00161
41,0.00172
42,0.00166
43,0.00145
44,0.00113
45,0.00079
46,0.00050
47,0.00028
48,0.00014
49,0.00007
50,0.00003
51,0.00001
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00001
67,0.00002
68,0.00005
69,0.00012
70,0.00025
71,0.00047
72,0.00080
73,0.00125
74,0.00177
75,0.00229
76,0.00273
77,0.00300
78,0.00305
79,0.00289
80,0.00256
81,0.00216
82,0.00180
83,0.00158
84,0.00154
85,0.00166
86,0.00189
87,0.00213
88,0.00233
89,0.00255
90,0.00272
91,0.00282
92,0.00291
93,0.00295
94,0.00293
95,0.00286
96,0.00280
97,0.00283
98,0.00310
99,0.00370
100,0.00470
101,0.00602
102,0.00750
103,0.00885
104,0.00978
105,0.01011
106,0.00980
107,0.00901
108,0.00804
109,0.00724
110,0.00695
111,0.00740
112,0.00866
113,0.01061
114,0.01291
115,0.01512
116,0.01685
117,0.01791
118,0.01837
119,0.01848
120,0.01860
121,0.01901
122,0.01986
123,0.02121
124,0.02410
125,0.02773
126,0.03067
127,0.03411
128,0.03818
129,0.04300
130,0.04871
131,0.05541
132,0.06315
133,0.07190
134,0.08142
135,0.09138
136,0.10143
137,0.11151
138,0.12193
139,0.13329
140,0.14629
141,0.16156
142,0.17955
143,0.20063
144,0.22510
145,0.25320
146,0.28506
147,0.32049
148,0.35889
149,0.39914
150,0.43973
151,0.47716
152,0.51237
153,0.54519
154,0.57633
155,0.60716
156,0.63900
157,0.67259
158,0.70759
159,0.74307
160,0.78763
161,0.83933
162,0.88282
163,0.91584
164,0.94591
165,0.97057
166,0.98789
167,0.99726
168,0.99965
169,0.99694
170,0.99106
171,0.98325
172,0.97363
173,0.96335
174,0.95320
175,0.94337
176,0.93226
177,0.91618
178,0.89044
179,0.85168
180,0.80104
181,0.74418
182,0.68857
183,0.64092
184,0.60509
185,0.58144
186,0.56745
187,0.55919
188,0.55263
189,0.54465
190,0.53341
191,0.51847
192,0.50066
193,0.48202
194,0.46517
195,0.45192
196,0.44267
197,0.43841
198,0.43302
199,0.42229
200,0.40553
201,0.38423
202,0.36088
203,0.33752
204,0.31542
205,0.29525
206,0.27748
207,0.26264
208,0.25147
209,0.24469
210,0.24270
211,0.24517
212,0.25086
213,0.25775
214,0.26347
215,0.26590
216,0.26363
217,0.25621
218,0.24430
219,0.22961
220,0.21459
221,0.20180
222,0.19347
223,0.19049
224,0.19225
225,0.19717
226,0.20323
227,0.20873
228,0.21275
229,0.21536
230,0.21720
231,0.21925
232,0.22054
233,0.21954
234,0.21621
235,0.21114
236,0.20532
237,0.19984
238,0.19535
239,0.19198
240,0.18941
241,0.18709
242,0.18447
243,0.18104
244,0.17663
245,0.17144
246,0.16594
247,0.16071
248,0.15617
249,0.15256
250,0.14985
251,0.14786
252,0.14616
253,0.14431
254,0.14187
255,0.13872
256,0.13524
257,0.13221
258,0.13057
259,0.13093
260,0.13311
261,0.13608
262,0.13843
263,0.13885
264,0.13676
265,0.13243
266,0.12412
267,0.11659
268,0.11272
269,0.10938
270,0.10585
271,0.10151
272,0.09619
273,0.09036
274,0.08495
275,0.08095
276,0.07906
277,0.07941
278,0.08156
279,0.08471
280,0.08795
281,0.09057
282,0.09218
283,0.09277
284,0.09263
285,0.09211
286,0.09151
287,0.09095
288,0.09028
289,0.08925
290,0.08767
291,0.08559
292,0.08341
293,0.08164
294,0.08061
295,0.08021
296,0.07986
297,0.07876
298,0.07635
299,0.07254
300,0.06782
301,0.06300
302,0.05741
303,0.05410
304,0.05297
305,0.05192
306,0.05047
307,0.04840
308,0.04585
309,0.04322
310,0.04087
311,0.03896
312,0.03742
313,0.03606
314,0.03471
315,0.03328
316,0.03178
317,0.03028
318,0.02884
319,0.02746
320,0.02608
321,0.02461
322,0.02297
323,0.02114
324,0.01914
325,0.01704
326,0.01492
327,0.01290
328,0.01111
329,0.00976
330,0.00902
331,0.00901
332,0.00966
333,0.01074
334,0.01190
335,0.01275
336,0.01300
337,0.01202
338,0.01011
339,0.00869
340,0.00745
341,0.00648
342,0.00571
343,0.00503
344,0.00435
345,0.00364
346,0.00299
347,0.00248
348,0.00216
349,0.00203
350,0.00198
351,0.00191
352,0.00175
353,0.00153
354,0.00133
355,0.00124
356,0.00136
357,0.00168
358,0.00216
359,0.00000
360,0.00000
