day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00187
5,0.00178
6,0.00150
7,0.00112
8,0.00073
9,0.00042
10,0.00021
11,0.00009
12,0.00004
13,0.00001
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00001
58,0.00003
59,0.00007
60,0.00019
61,0.00042
62,0.00085
63,0.00149
64,0.00232
65,0.00321
66,0.00397
67,0.00445
68,0.00457
69,0.00438
70,0.00399
71,0.00355
72,0.00315
73,0.00285
74,0.00267
75,0.00255
76,0.00245
77,0.00233
78,0.00223
79,0.00223
80,0.00238
81,0.00271
82,0.00320
83,0.00376
84,0.00433
85,0.00481
86,0.00519
87,0.00557
88,0.00621
89,0.00836
90,0.01184
91,0.01456
92,0.01693
93,0.01853
94,0.01923
95,0.01919
96,0.01876
97,0.01825
98,0.01778
99,0.01730
100,0.01664
101,0.01570
102,0.01455
103,0.01341
104,0.01259
105,0.01229
106,0.01259
107,0.01341
108,0.01448
109,0.01539
110,0.01567
111,0.01501
112,0.01339
113,0.01113
114,0.00870
115,0.00652
116,0.00482
117,0.00367
118,0.00306
119,0.00299
120,0.00352
121,0.00466
122,0.00635
123,0.00838
124,0.01117
125,0.01264
126,0.01228
127,0.01104
128,0.00936
129,0.00781
130,0.00682
131,0.00665
132,0.00717
133,0.00816
134,0.00940
135,0.01070
136,0.01198
137,0.01317
138,0.01416
139,0.01489
140,0.01530
141,0.01543
142,0.01537
143,0.01522
144,0.01502
145,0.01484
146,0.01471
147,0.01475
148,0.01512
149,0.01597
150,0.01741
151,0.01940
152,0.02169
153,0.02395
154,0.02586
155,0.02733
156,0.02865
157,0.03042
158,0.03338
159,0.03823
160,0.05031
161,0.06731
162,0.08155
163,0.09750
164,0.11483
165,0.13323
166,0.15269
167,0.17357
168,0.19668
169,0.22301
170,0.25338
171,0.28822
172,0.32775
173,0.37050
174,0.41794
175,0.46955
176,0.52373
177,0.57781
178,0.62870
179,0.67415
180,0.71343
181,0.74691
182,0.77532
183,0.79940
184,0.81969
185,0.83659
186,0.85050
187,0.86201
188,0.87203
189,0.88189
190,0.89301
191,0.90633
192,0.92167
193,0.93771
194,0.95249
195,0.96495
196,0.97760
197,0.98797
198,0.99488
199,0.99998
200,0.99852
201,0.98588
202,0.95936
203,0.91976
204,0.87193
205,0.82196
206,0.77585
207,0.73839
208,0.71248
209,0.69899
210,0.69683
211,0.70339
212,0.71502
213,0.72782
214,0.73823
215,0.74366
216,0.74278
217,0.73549
218,0.72270
219,0.70602
220,0.68754
221,0.66989
222,0.65586
223,0.64778
224,0.64646
225,0.65047
226,0.65614
227,0.65907
228,0.65645
229,0.64825
230,0.63674
231,0.62222
232,0.60635
233,0.59312
234,0.58002
235,0.56431
236,0.54765
237,0.53317
238,0.52420
239,0.52278
240,0.52875
241,0.53990
242,0.55267
243,0.56296
244,0.56694
245,0.56206
246,0.54838
247,0.52936
248,0.51093
249,0.49934
250,0.49780
251,0.50490
252,0.51567
253,0.52353
254,0.52253
255,0.50940
256,0.48448
257,0.45135
258,0.41530
259,0.38141
260,0.35294
261,0.33068
262,0.31332
263,0.29840
264,0.28352
265,0.26736
266,0.23965
267,0.21023
268,0.19108
269,0.17314
270,0.15673
271,0.14198
272,0.12895
273,0.11749
274,0.10710
275,0.09727
276,0.08772
277,0.07864
278,0.07053
279,0.06379
280,0.05835
281,0.05377
282,0.04959
283,0.04560
284,0.04184
285,0.03838
286,0.03520
287,0.03212
288,0.02892
289,0.02545
290,0.02167
291,0.01772
292,0.01390
293,0.01061
294,0.00821
295,0.00688
296,0.00657
297,0.00703
298,0.00788
299,0.00870
300,0.00913
301,0.00893
302,0.00731
303,0.00491
304,0.00331
305,0.00201
306,0.00110
307,0.00055
308,0.00027
309,0.00018
310,0.00024
311,0.00042
312,0.00072
313,0.00111
314,0.00151
315,0.00181
316,0.00191
317,0.00177
318,0.00144
319,0.00102
320,0.00064
321,0.00035
322,0.00017
323,0.00007
324,0.00003
325,0.00001
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00001
351,0.00003
352,0.00008
353,0.00018
354,0.00037
355,0.00066
356,0.00103
357,0.00142
358,0.00173
359,0.00000
360,0.00000
