day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00269
5,0.00263
6,0.00201
7,0.00105
8,0.00036
9,0.00008
10,0.00001
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00001
26,0.00009
27,0.00039
28,0.00107
29,0.00192
30,0.00225
31,0.00169
32,0.00081
33,0.00025
34,0.00005
35,0.00001
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00005
51,0.00030
52,0.00116
53,0.00350
54,0.00416
55,0.00274
56,0.00123
57,0.00037
58,0.00008
59,0.00001
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00001
97,0.00010
98,0.00042
99,0.00110
100,0.00189
101,0.00215
102,0.00165
103,0.00085
104,0.00030
105,0.00008
106,0.00008
107,0.00032
108,0.00090
109,0.00169
110,0.00214
111,0.00184
112,0.00106
113,0.00040
114,0.00010
115,0.00001
116,0.00000
117,0.00000
118,0.00000
119,0.00000
120,0.00000
121,0.00000
122,0.00000
123,0.00003
124,0.00035
125,0.00129
126,0.00206
127,0.00220
128,0.00159
129,0.00107
130,0.00132
131,0.00206
132,0.00237
133,0.00205
134,0.00214
135,0.00321
136,0.00430
137,0.00434
138,0.00381
139,0.00390
140,0.00439
141,0.00407
142,0.00275
143,0.00152
144,0.00131
145,0.00217
146,0.00365
147,0.00563
148,0.00813
149,0.01023
150,0.01071
151,0.01017
152,0.01087
153,0.01419
154,0.02018
155,0.02905
156,0.04100
157,0.05384
158,0.06363
159,0.06880
160,0.06998
161,0.06900
162,0.07222
163,0.07896
164,0.08709
165,0.09827
166,0.11319
167,0.12296
168,0.11892
169,0.10888
170,0.10986
171,0.12752
172,0.15420
173,0.18059
174,0.20121
175,0.21460
176,0.22387
177,0.22990
178,0.23012
179,0.23124
180,0.24808
181,0.28852
182,0.34254
183,0.38852
184,0.41548
185,0.42915
186,0.43839
187,0.45461
188,0.49411
189,0.55980
190,0.63430
191,0.70113
192,0.75439
193,0.79045
194,0.81207
195,0.83850
196,0.89342
197,0.94451
198,0.95764
199,0.94865
200,0.92275
201,0.90069
202,0.91116
203,0.95777
204,0.99966
205,0.98084
206,0.90049
207,0.80926
208,0.75618
209,0.75330
210,0.77987
211,0.80571
212,0.81725
213,0.81955
214,0.81353
215,0.78824
216,0.73769
217,0.67158
218,0.60415
219,0.54274
220,0.48777
221,0.43531
222,0.38749
223,0.35423
224,0.33351
225,0.31160
226,0.28692
227,0.26855
228,0.25761
229,0.24592
230,0.22762
231,0.20301
232,0.18426
233,0.17490
234,0.16443
235,0.14739
236,0.12598
237,0.10619
238,0.09307
239,0.08574
240,0.07899
241,0.07092
242,0.06409
243,0.05987
244,0.05660
245,0.05286
246,0.04932
247,0.04728
248,0.04654
249,0.04591
250,0.04498
251,0.04401
252,0.04297
253,0.04135
254,0.03764
255,0.03044
256,0.02150
257,0.01498
258,0.01309
259,0.01446
260,0.01598
261,0.01533
262,0.01297
263,0.01182
264,0.01415
265,0.01859
266,0.02002
267,0.01541
268,0.01491
269,0.01875
270,0.02233
271,0.02010
272,0.01292
273,0.00648
274,0.00353
275,0.00258
276,0.00203
277,0.00193
278,0.00252
279,0.00330
280,0.00380
281,0.00438
282,0.00634
283,0.01055
284,0.01540
285,0.01767
286,0.01610
287,0.01262
288,0.00986
289,0.00881
290,0.00869
291,0.00827
292,0.00695
293,0.00484
294,0.00264
295,0.00137
296,0.00157
297,0.00293
298,0.00421
299,0.00411
300,0.00269
301,0.00140
302,0.00210
303,0.00466
304,0.00570
305,0.00545
306,0.00467
307,0.00407
308,0.00377
309,0.00398
310,0.00469
311,0.00476
312,0.00332
313,0.00145
314,0.00040
315,0.00007
316,0.00001
317,0.00000
318,0.00000
319,0.00000
320,0.00000
321,0.00000
322,0.00001
323,0.00004
324,0.00023
325,0.00081
326,0.00186
327,0.00296
328,0.00355
329,0.00334
330,0.00242
331,0.00127
332,0.00046
333,0.00011
334,0.00002
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00002
340,0.00011
341,0.00045
342,0.00120
343,0.00204
344,0.00225
345,0.00157
346,0.00068
347,0.00018
348,0.00003
349,0.00000
350,0.00000
351,0.00000
352,0.00001
353,0.00005
354,0.00026
355,0.00087
356,0.00185
357,0.00259
358,0.00269
359,0.00000
360,0.00000
