day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.05915
5,0.06047
6,0.06153
7,0.06227
8,0.06260
9,0.06243
10,0.06166
11,0.06024
12,0.05816
13,0.05545
14,0.05222
15,0.04860
16,0.04475
17,0.04082
18,0.03518
19,0.03002
20,0.02700
21,0.02435
22,0.02208
23,0.02018
24,0.01867
25,0.01749
26,0.01662
27,0.01598
28,0.01549
29,0.01508
30,0.01465
31,0.01411
32,0.01343
33,0.01260
34,0.01166
35,0.01067
36,0.00971
37,0.00888
38,0.00830
39,0.00804
40,0.00815
41,0.00868
42,0.00957
43,0.01077
44,0.01215
45,0.01354
46,0.01477
47,0.01570
48,0.01620
49,0.01623
50,0.01577
51,0.01488
52,0.01367
53,0.01153
54,0.00945
55,0.00828
56,0.00737
57,0.00677
58,0.00643
59,0.00630
60,0.00629
61,0.00634
62,0.00638
63,0.00634
64,0.00620
65,0.00595
66,0.00558
67,0.00514
68,0.00465
69,0.00415
70,0.00369
71,0.00330
72,0.00299
73,0.00275
74,0.00259
75,0.00249
76,0.00243
77,0.00240
78,0.00240
79,0.00242
80,0.00248
81,0.00258
82,0.00272
83,0.00291
84,0.00316
85,0.00346
86,0.00380
87,0.00419
88,0.00459
89,0.00523
90,0.00587
91,0.00628
92,0.00665
93,0.00699
94,0.00728
95,0.00752
96,0.00772
97,0.00788
98,0.00801
99,0.00815
100,0.00832
101,0.00853
102,0.00880
103,0.00910
104,0.00943
105,0.00974
106,0.00999
107,0.01016
108,0.01021
109,0.01015
110,0.00999
111,0.00977
112,0.00955
113,0.00939
114,0.00935
115,0.00949
116,0.00986
117,0.01049
118,0.01141
119,0.01262
120,0.01410
121,0.01581
122,0.01767
123,0.01962
124,0.02250
125,0.02521
126,0.02689
127,0.02853
128,0.03022
129,0.03206
130,0.03417
131,0.03665
132,0.03960
133,0.04309
134,0.04720
135,0.05201
136,0.05761
137,0.06412
138,0.07180
139,0.08077
140,0.09121
141,0.10332
142,0.11722
143,0.13300
144,0.15067
145,0.17015
146,0.19132
147,0.21400
148,0.23800
149,0.26316
150,0.28934
151,0.31649
152,0.34468
153,0.37392
154,0.40430
155,0.43594
156,0.46891
157,0.50322
158,0.53885
159,0.57564
160,0.63257
161,0.69042
162,0.72893
163,0.76684
164,0.80362
165,0.83866
166,0.88580
167,0.92581
168,0.95741
169,0.97949
170,0.99112
171,0.99174
172,0.98127
173,0.96549
174,0.94598
175,0.92370
176,0.89983
177,0.87534
178,0.85122
179,0.82833
180,0.80742
181,0.78903
182,0.77352
183,0.76096
184,0.75122
185,0.74394
186,0.73860
187,0.73461
188,0.73136
189,0.72834
190,0.72524
191,0.72039
192,0.71524
193,0.71160
194,0.70781
195,0.70337
196,0.69837
197,0.69312
198,0.68710
199,0.68033
200,0.67295
201,0.66527
202,0.65774
203,0.65069
204,0.64437
205,0.63885
206,0.63411
207,0.62992
208,0.62594
209,0.62181
210,0.61720
211,0.61185
212,0.60566
213,0.59866
214,0.59099
215,0.58293
216,0.57477
217,0.56679
218,0.55920
219,0.55222
220,0.54594
221,0.54043
222,0.53563
223,0.53150
224,0.52796
225,0.52497
226,0.52248
227,0.52041
228,0.51939
229,0.51911
230,0.51948
231,0.52039
232,0.52240
233,0.52505
234,0.52804
235,0.53111
236,0.53397
237,0.53627
238,0.53778
239,0.53827
240,0.53770
241,0.53611
242,0.53379
243,0.53107
244,0.52838
245,0.52618
246,0.52500
247,0.52518
248,0.52689
249,0.53005
250,0.53439
251,0.53943
252,0.54454
253,0.54905
254,0.55227
255,0.55358
256,0.55257
257,0.54901
258,0.54286
259,0.53407
260,0.52308
261,0.51035
262,0.49486
263,0.47902
264,0.46447
265,0.45013
266,0.43041
267,0.41252
268,0.40189
269,0.39249
270,0.38422
271,0.37689
272,0.37029
273,0.36414
274,0.35822
275,0.35244
276,0.34671
277,0.34102
278,0.33536
279,0.32975
280,0.32412
281,0.31839
282,0.31244
283,0.30608
284,0.29916
285,0.29155
286,0.28324
287,0.27414
288,0.26488
289,0.25590
290,0.24760
291,0.24033
292,0.23429
293,0.22951
294,0.22583
295,0.22292
296,0.22040
297,0.21788
298,0.21507
299,0.21184
300,0.20824
301,0.20458
302,0.19980
303,0.19648
304,0.19550
305,0.19540
306,0.19593
307,0.19668
308,0.19720
309,0.19700
310,0.19567
311,0.19293
312,0.18862
313,0.18289
314,0.17612
315,0.16875
316,0.16124
317,0.15406
318,0.14756
319,0.14200
320,0.13747
321,0.13393
322,0.13124
323,0.12918
324,0.12750
325,0.12597
326,0.12439
327,0.12261
328,0.12061
329,0.11838
330,0.11598
331,0.11348
332,0.11090
333,0.10827
334,0.10554
335,0.10263
336,0.09941
337,0.09370
338,0.08689
339,0.08161
340,0.07596
341,0.07017
342,0.06449
343,0.05916
344,0.05440
345,0.05041
346,0.04728
347,0.04506
348,0.04376
349,0.04332
350,0.04363
351,0.04459
352,0.04605
353,0.04786
354,0.04985
355,0.05189
356,0.05388
357,0.05576
358,0.05747
359,0.00000
360,0.00000
