day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.03585
5,0.03447
6,0.03273
7,0.03072
8,0.02851
9,0.02623
10,0.02394
11,0.02173
12,0.01967
13,0.01782
14,0.01618
15,0.01477
16,0.01359
17,0.01263
18,0.01160
19,0.01092
20,0.01067
21,0.01053
22,0.01047
23,0.01045
24,0.01043
25,0.01037
26,0.01025
27,0.01005
28,0.00976
29,0.00939
30,0.00895
31,0.00846
32,0.00794
33,0.00743
34,0.00695
35,0.00654
36,0.00625
37,0.00608
38,0.00608
39,0.00626
40,0.00666
41,0.00728
42,0.00815
43,0.00926
44,0.01062
45,0.01221
46,0.01401
47,0.01598
48,0.01807
49,0.02023
50,0.02237
51,0.02445
52,0.02641
53,0.02899
54,0.03116
55,0.03233
56,0.03333
57,0.03421
58,0.03503
59,0.03590
60,0.03692
61,0.03821
62,0.03988
63,0.04204
64,0.04481
65,0.04827
66,0.05250
67,0.05756
68,0.06347
69,0.07026
70,0.07792
71,0.08646
72,0.09589
73,0.10613
74,0.11718
75,0.12905
76,0.14175
77,0.15532
78,0.16978
79,0.18520
80,0.20163
81,0.21912
82,0.23772
83,0.25748
84,0.27849
85,0.30061
86,0.32377
87,0.34786
88,0.37271
89,0.41109
90,0.45011
91,0.47627
92,0.50238
93,0.52837
94,0.55422
95,0.57993
96,0.60558
97,0.63121
98,0.65688
99,0.68258
100,0.70830
101,0.73396
102,0.75945
103,0.78464
104,0.80936
105,0.83345
106,0.85671
107,0.87889
108,0.89982
109,0.91932
110,0.93722
111,0.95329
112,0.96733
113,0.97912
114,0.98846
115,0.99516
116,0.99905
117,1.00000
118,0.99794
119,0.99272
120,0.98447
121,0.97354
122,0.96026
123,0.94502
124,0.91944
125,0.89241
126,0.87418
127,0.85623
128,0.83876
129,0.82185
130,0.80542
131,0.78932
132,0.77330
133,0.75721
134,0.74094
135,0.72449
136,0.70795
137,0.69150
138,0.67538
139,0.65987
140,0.64523
141,0.63170
142,0.61948
143,0.60879
144,0.59950
145,0.59150
146,0.58459
147,0.57847
148,0.57280
149,0.56718
150,0.56119
151,0.55448
152,0.54675
153,0.53781
154,0.52761
155,0.51618
156,0.50390
157,0.49115
158,0.47835
159,0.46592
160,0.44884
161,0.43389
162,0.42548
163,0.41814
164,0.41170
165,0.40592
166,0.40055
167,0.39530
168,0.38998
169,0.38448
170,0.37875
171,0.37282
172,0.36675
173,0.36064
174,0.35461
175,0.34875
176,0.34314
177,0.33784
178,0.33288
179,0.32825
180,0.32395
181,0.31999
182,0.31639
183,0.31321
184,0.31051
185,0.30834
186,0.30674
187,0.30570
188,0.30515
189,0.30500
190,0.30507
191,0.30513
192,0.30497
193,0.30438
194,0.30324
195,0.30022
196,0.29587
197,0.29217
198,0.28800
199,0.28349
200,0.27878
201,0.27402
202,0.26939
203,0.26499
204,0.26093
205,0.25726
206,0.25398
207,0.25105
208,0.24835
209,0.24574
210,0.24306
211,0.24011
212,0.23676
213,0.23293
214,0.22856
215,0.22382
216,0.21890
217,0.21405
218,0.20954
219,0.20564
220,0.20256
221,0.20045
222,0.19936
223,0.19929
224,0.20013
225,0.20175
226,0.20398
227,0.20663
228,0.20951
229,0.21253
230,0.21561
231,0.22026
232,0.22489
233,0.22792
234,0.23084
235,0.23357
236,0.23600
237,0.23798
238,0.23935
239,0.24005
240,0.24001
241,0.23924
242,0.23780
243,0.23582
244,0.23349
245,0.23102
246,0.22866
247,0.22666
248,0.22522
249,0.22452
250,0.22470
251,0.22570
252,0.22743
253,0.22975
254,0.23248
255,0.23541
256,0.23832
257,0.24102
258,0.24335
259,0.24516
260,0.24638
261,0.24693
262,0.24675
263,0.24593
264,0.24451
265,0.24258
266,0.23891
267,0.23480
268,0.23199
269,0.22934
270,0.22699
271,0.22511
272,0.22382
273,0.22330
274,0.22357
275,0.22459
276,0.22628
277,0.22846
278,0.23091
279,0.23336
280,0.23549
281,0.23701
282,0.23766
283,0.23726
284,0.23572
285,0.23299
286,0.22927
287,0.22483
288,0.21994
289,0.21490
290,0.20996
291,0.20532
292,0.20109
293,0.19733
294,0.19401
295,0.19106
296,0.18837
297,0.18581
298,0.18331
299,0.18078
300,0.17821
301,0.17562
302,0.17171
303,0.16782
304,0.16522
305,0.16257
306,0.15980
307,0.15684
308,0.15362
309,0.15005
310,0.14613
311,0.14186
312,0.13728
313,0.13243
314,0.12738
315,0.12222
316,0.11702
317,0.11186
318,0.10680
319,0.10189
320,0.09718
321,0.09268
322,0.08840
323,0.08430
324,0.08037
325,0.07659
326,0.07293
327,0.06938
328,0.06591
329,0.06251
330,0.05918
331,0.05591
332,0.05270
333,0.04958
334,0.04653
335,0.04358
336,0.04075
337,0.03678
338,0.03318
339,0.03107
340,0.02924
341,0.02771
342,0.02651
343,0.02568
344,0.02525
345,0.02523
346,0.02558
347,0.02630
348,0.02733
349,0.02862
350,0.03009
351,0.03166
352,0.03322
353,0.03467
354,0.03589
355,0.03681
356,0.03730
357,0.03731
358,0.03683
359,0.00000
360,0.00000
