day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00737
5,0.00711
6,0.00628
7,0.00508
8,0.00377
9,0.00256
10,0.00159
11,0.00090
12,0.00047
13,0.00022
14,0.00009
15,0.00004
16,0.00001
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00001
90,0.00003
91,0.00008
92,0.00021
93,0.00051
94,0.00116
95,0.00243
96,0.00466
97,0.00825
98,0.01345
99,0.02024
100,0.02786
101,0.03514
102,0.04075
103,0.04360
104,0.04330
105,0.04028
106,0.03561
107,0.03056
108,0.02613
109,0.02274
110,0.02023
111,0.01812
112,0.01593
113,0.01339
114,0.01060
115,0.00784
116,0.00552
117,0.00397
118,0.00349
119,0.00439
120,0.00702
121,0.01163
122,0.01836
123,0.02697
124,0.04160
125,0.05498
126,0.06118
127,0.06457
128,0.06525
129,0.06374
130,0.06080
131,0.05716
132,0.05347
133,0.05033
134,0.04833
135,0.04802
136,0.04981
137,0.05376
138,0.05947
139,0.06599
140,0.07201
141,0.07633
142,0.07811
143,0.07711
144,0.07377
145,0.06918
146,0.06494
147,0.06285
148,0.06454
149,0.07117
150,0.08318
151,0.10025
152,0.12157
153,0.14605
154,0.17270
155,0.20075
156,0.22958
157,0.25856
158,0.28692
159,0.30936
160,0.33934
161,0.36413
162,0.37745
163,0.39060
164,0.40380
165,0.41661
166,0.42826
167,0.43823
168,0.44665
169,0.45439
170,0.46515
171,0.47817
172,0.49284
173,0.51229
174,0.53631
175,0.56363
176,0.59219
177,0.61987
178,0.64513
179,0.66766
180,0.68825
181,0.70821
182,0.72870
183,0.75035
184,0.77314
185,0.79649
186,0.81944
187,0.84091
188,0.85998
189,0.87623
190,0.88988
191,0.90155
192,0.91200
193,0.92182
194,0.93126
195,0.93744
196,0.94500
197,0.95473
198,0.96338
199,0.96992
200,0.97296
201,0.97109
202,0.96360
203,0.95086
204,0.93449
205,0.91023
206,0.89165
207,0.88551
208,0.88788
209,0.89939
210,0.91872
211,0.94225
212,0.96496
213,0.98211
214,0.99076
215,0.99054
216,0.98257
217,0.97200
218,0.96241
219,0.95609
220,0.95356
221,0.95379
222,0.95478
223,0.95438
224,0.95103
225,0.94420
226,0.93436
227,0.92240
228,0.90907
229,0.89429
230,0.87734
231,0.85156
232,0.82182
233,0.79430
234,0.76439
235,0.73361
236,0.70337
237,0.67459
238,0.64729
239,0.62087
240,0.59443
241,0.56140
242,0.52800
243,0.49866
244,0.46794
245,0.43637
246,0.40453
247,0.37322
248,0.34334
249,0.31598
250,0.29226
251,0.27296
252,0.25830
253,0.24773
254,0.23999
255,0.23348
256,0.22677
257,0.21920
258,0.21300
259,0.20650
260,0.20071
261,0.19565
262,0.19037
263,0.18346
264,0.17376
265,0.16096
266,0.13753
267,0.11320
268,0.09829
269,0.08506
270,0.07340
271,0.06303
272,0.05373
273,0.04551
274,0.03861
275,0.03337
276,0.03007
277,0.02895
278,0.02984
279,0.03230
280,0.03569
281,0.03915
282,0.04181
283,0.04302
284,0.04249
285,0.04035
286,0.03701
287,0.03301
288,0.02878
289,0.02467
290,0.02090
291,0.01764
292,0.01499
293,0.01296
294,0.01145
295,0.01029
296,0.00933
297,0.00855
298,0.00810
299,0.00820
300,0.00900
301,0.01046
302,0.01333
303,0.01593
304,0.01700
305,0.01744
306,0.01734
307,0.01693
308,0.01641
309,0.01593
310,0.01559
311,0.01539
312,0.01535
313,0.01548
314,0.01585
315,0.01658
316,0.01784
317,0.01980
318,0.02242
319,0.02543
320,0.02830
321,0.03031
322,0.03080
323,0.02940
324,0.02617
325,0.02164
326,0.01659
327,0.01180
328,0.00789
329,0.00515
330,0.00364
331,0.00321
332,0.00361
333,0.00455
334,0.00570
335,0.00672
336,0.00732
337,0.00695
338,0.00552
339,0.00422
340,0.00296
341,0.00191
342,0.00113
343,0.00061
344,0.00030
345,0.00014
346,0.00006
347,0.00003
348,0.00004
349,0.00008
350,0.00018
351,0.00039
352,0.00077
353,0.00138
354,0.00228
355,0.00345
356,0.00479
357,0.00607
358,0.00702
359,0.00000
360,0.00000
