day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00025
5,0.00009
6,0.00003
7,0.00001
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00001
113,0.00002
114,0.00006
115,0.00018
116,0.00045
117,0.00098
118,0.00187
119,0.00312
120,0.00458
121,0.00594
122,0.00687
123,0.00722
124,0.00749
125,0.00939
126,0.01285
127,0.01781
128,0.02306
129,0.02678
130,0.02740
131,0.02488
132,0.02043
133,0.01584
134,0.01255
135,0.01117
136,0.01148
137,0.01297
138,0.01520
139,0.01801
140,0.02130
141,0.02478
142,0.02781
143,0.02954
144,0.02933
145,0.02716
146,0.02373
147,0.02014
148,0.01736
149,0.01592
150,0.01578
151,0.01652
152,0.01755
153,0.01839
154,0.01899
155,0.01989
156,0.02205
157,0.02648
158,0.03404
159,0.04531
160,0.06932
161,0.09735
162,0.11536
163,0.13077
164,0.14319
165,0.15321
166,0.16168
167,0.16934
168,0.17715
169,0.18679
170,0.20023
171,0.21994
172,0.24743
173,0.28324
174,0.32682
175,0.37633
176,0.42839
177,0.47834
178,0.52154
179,0.55540
180,0.57991
181,0.59604
182,0.60410
183,0.60389
184,0.59639
185,0.58570
186,0.57941
187,0.58664
188,0.61473
189,0.66604
190,0.73628
191,0.81525
192,0.88986
193,0.94859
194,0.98521
195,0.99880
196,0.98998
197,0.96712
198,0.94681
199,0.92619
200,0.90651
201,0.88824
202,0.87136
203,0.85579
204,0.84386
205,0.83601
206,0.82956
207,0.81949
208,0.80219
209,0.77876
210,0.75484
211,0.73737
212,0.73134
213,0.73881
214,0.75943
215,0.79016
216,0.82426
217,0.85134
218,0.86056
219,0.84578
220,0.80865
221,0.75723
222,0.70092
223,0.64578
224,0.59326
225,0.54229
226,0.49215
227,0.44403
228,0.40078
229,0.36550
230,0.34039
231,0.32666
232,0.32785
233,0.34196
234,0.36265
235,0.38830
236,0.41461
237,0.43464
238,0.44070
239,0.42775
240,0.39633
241,0.35249
242,0.30486
243,0.26082
244,0.22429
245,0.19610
246,0.17562
247,0.16191
248,0.15391
249,0.15040
250,0.15019
251,0.15255
252,0.15705
253,0.16310
254,0.16959
255,0.17498
256,0.17779
257,0.17707
258,0.17250
259,0.16454
260,0.15436
261,0.14346
262,0.13290
263,0.12284
264,0.11270
265,0.10200
266,0.08648
267,0.07414
268,0.06908
269,0.06570
270,0.06282
271,0.05969
272,0.05650
273,0.05414
274,0.05360
275,0.05546
276,0.05934
277,0.06432
278,0.06910
279,0.07228
280,0.07262
281,0.06937
282,0.06264
283,0.05356
284,0.04407
285,0.03629
286,0.03187
287,0.03143
288,0.03449
289,0.03969
290,0.04510
291,0.04875
292,0.04916
293,0.04580
294,0.03934
295,0.03137
296,0.02366
297,0.01738
298,0.01280
299,0.00951
300,0.00697
301,0.00492
302,0.00303
303,0.00281
304,0.00396
305,0.00595
306,0.00840
307,0.01071
308,0.01224
309,0.01251
310,0.01143
311,0.00933
312,0.00680
313,0.00441
314,0.00254
315,0.00130
316,0.00061
317,0.00031
318,0.00030
319,0.00058
320,0.00122
321,0.00237
322,0.00414
323,0.00654
324,0.00939
325,0.01239
326,0.01521
327,0.01748
328,0.01887
329,0.01916
330,0.01830
331,0.01647
332,0.01400
333,0.01132
334,0.00887
335,0.00708
336,0.00620
337,0.00640
338,0.00701
339,0.00684
340,0.00597
341,0.00459
342,0.00310
343,0.00184
344,0.00103
345,0.00069
346,0.00081
347,0.00140
348,0.00246
349,0.00387
350,0.00532
351,0.00641
352,0.00676
353,0.00625
354,0.00508
355,0.00362
356,0.00227
357,0.00125
358,0.00060
359,0.00000
360,0.00000
