day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00113
5,0.00078
6,0.00053
7,0.00035
8,0.00022
9,0.00014
10,0.00009
11,0.00005
12,0.00003
13,0.00002
14,0.00001
15,0.00001
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00001
84,0.00001
85,0.00002
86,0.00003
87,0.00006
88,0.00010
89,0.00023
90,0.00046
91,0.00073
92,0.00112
93,0.00168
94,0.00249
95,0.00364
96,0.00519
97,0.00724
98,0.00990
99,0.01328
100,0.01746
101,0.02252
102,0.02855
103,0.03555
104,0.04354
105,0.05255
106,0.06237
107,0.07284
108,0.08377
109,0.09496
110,0.10619
111,0.11722
112,0.12787
113,0.13795
114,0.14734
115,0.15594
116,0.16367
117,0.17066
118,0.17701
119,0.18289
120,0.18847
121,0.19398
122,0.19969
123,0.20586
124,0.21681
125,0.23031
126,0.24165
127,0.25500
128,0.27057
129,0.28846
130,0.30874
131,0.33133
132,0.35610
133,0.38283
134,0.41124
135,0.44103
136,0.47192
137,0.50352
138,0.53553
139,0.56773
140,0.59991
141,0.63186
142,0.66336
143,0.69415
144,0.72392
145,0.75232
146,0.77895
147,0.80318
148,0.82482
149,0.84368
150,0.85969
151,0.87294
152,0.88368
153,0.89231
154,0.89934
155,0.90533
156,0.91086
157,0.91648
158,0.92271
159,0.92978
160,0.94214
161,0.95588
162,0.96546
163,0.97483
164,0.98348
165,0.99089
166,0.99652
167,0.99977
168,1.00000
169,0.99704
170,0.99065
171,0.98073
172,0.96732
173,0.95062
174,0.93100
175,0.90897
176,0.88517
177,0.86037
178,0.83540
179,0.81120
180,0.78846
181,0.76771
182,0.74931
183,0.73346
184,0.72013
185,0.70914
186,0.70018
187,0.69285
188,0.68671
189,0.68131
190,0.67617
191,0.67093
192,0.66535
193,0.65926
194,0.65254
195,0.64108
196,0.62822
197,0.61876
198,0.60870
199,0.59804
200,0.58692
201,0.57540
202,0.56354
203,0.55141
204,0.53905
205,0.52648
206,0.51376
207,0.50090
208,0.48798
209,0.47507
210,0.46235
211,0.45003
212,0.43836
213,0.42763
214,0.41816
215,0.41024
216,0.40411
217,0.39994
218,0.39777
219,0.39751
220,0.39899
221,0.40180
222,0.40533
223,0.40903
224,0.41237
225,0.41485
226,0.41608
227,0.41576
228,0.41371
229,0.40989
230,0.40438
231,0.39314
232,0.37986
233,0.37027
234,0.36060
235,0.35116
236,0.34226
237,0.33414
238,0.32697
239,0.32084
240,0.31576
241,0.31168
242,0.30832
243,0.30540
244,0.30263
245,0.29974
246,0.29650
247,0.29276
248,0.28844
249,0.28362
250,0.27842
251,0.27309
252,0.26799
253,0.26343
254,0.25967
255,0.25688
256,0.25514
257,0.25439
258,0.25446
259,0.25507
260,0.25586
261,0.25641
262,0.25626
263,0.25488
264,0.25204
265,0.24756
266,0.23753
267,0.22452
268,0.21429
269,0.20333
270,0.19201
271,0.18067
272,0.16961
273,0.15903
274,0.14896
275,0.13934
276,0.13007
277,0.12101
278,0.11204
279,0.10307
280,0.09406
281,0.08508
282,0.07625
283,0.06780
284,0.06002
285,0.05314
286,0.04740
287,0.04300
288,0.04007
289,0.03867
290,0.03880
291,0.04038
292,0.04328
293,0.04729
294,0.05225
295,0.05780
296,0.06367
297,0.06963
298,0.07547
299,0.08103
300,0.08616
301,0.09079
302,0.09662
303,0.10132
304,0.10367
305,0.10550
306,0.10682
307,0.10763
308,0.10793
309,0.10768
310,0.10685
311,0.10541
312,0.10335
313,0.10064
314,0.09727
315,0.09323
316,0.08862
317,0.08350
318,0.07794
319,0.07203
320,0.06586
321,0.05954
322,0.05318
323,0.04689
324,0.04079
325,0.03501
326,0.02967
327,0.02483
328,0.02058
329,0.01694
330,0.01396
331,0.01164
332,0.00996
333,0.00892
334,0.00844
335,0.00849
336,0.00902
337,0.01045
338,0.01226
339,0.01354
340,0.01474
341,0.01576
342,0.01652
343,0.01696
344,0.01703
345,0.01672
346,0.01600
347,0.01498
348,0.01370
349,0.01225
350,0.01071
351,0.00914
352,0.00763
353,0.00622
354,0.00495
355,0.00384
356,0.00291
357,0.00217
358,0.00158
359,0.00000
360,0.00000
