day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00274
5,0.00283
6,0.00281
7,0.00276
8,0.00286
9,0.00322
10,0.00378
11,0.00434
12,0.00463
13,0.00447
14,0.00387
15,0.00299
16,0.00205
17,0.00125
18,0.00049
19,0.00013
20,0.00005
21,0.00001
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00001
78,0.00002
79,0.00007
80,0.00018
81,0.00044
82,0.00094
83,0.00171
84,0.00271
85,0.00375
86,0.00453
87,0.00479
88,0.00443
89,0.00309
90,0.00161
91,0.00089
92,0.00044
93,0.00021
94,0.00017
95,0.00026
96,0.00052
97,0.00097
98,0.00161
99,0.00239
100,0.00318
101,0.00382
102,0.00416
103,0.00412
104,0.00371
105,0.00304
106,0.00227
107,0.00162
108,0.00123
109,0.00118
110,0.00144
111,0.00190
112,0.00240
113,0.00281
114,0.00307
115,0.00326
116,0.00349
117,0.00385
118,0.00433
119,0.00486
120,0.00531
121,0.00558
122,0.00557
123,0.00528
124,0.00450
125,0.00379
126,0.00357
127,0.00361
128,0.00392
129,0.00464
130,0.00596
131,0.00798
132,0.01054
133,0.01325
134,0.01555
135,0.01698
136,0.01726
137,0.01642
138,0.01475
139,0.01283
140,0.01126
141,0.01054
142,0.01079
143,0.01177
144,0.01298
145,0.01405
146,0.01487
147,0.01560
148,0.01650
149,0.01765
150,0.01895
151,0.02029
152,0.02169
153,0.02335
154,0.02545
155,0.02802
156,0.03090
157,0.03389
158,0.03680
159,0.03956
160,0.04397
161,0.05009
162,0.05657
163,0.06544
164,0.07660
165,0.08957
166,0.10383
167,0.11898
168,0.13478
169,0.15100
170,0.16749
171,0.18431
172,0.20196
173,0.22114
174,0.24247
175,0.26607
176,0.29143
177,0.31745
178,0.34292
179,0.36741
180,0.39179
181,0.41757
182,0.44587
183,0.47664
184,0.50897
185,0.54207
186,0.57612
187,0.61260
188,0.65361
189,0.70058
190,0.75293
191,0.80748
192,0.85917
193,0.90277
194,0.93472
195,0.95885
196,0.96623
197,0.96698
198,0.96879
199,0.97228
200,0.97535
201,0.97433
202,0.96607
203,0.95028
204,0.93081
205,0.91276
206,0.90012
207,0.89431
208,0.89467
209,0.89994
210,0.90923
211,0.92213
212,0.93806
213,0.95576
214,0.97317
215,0.98785
216,0.99748
217,1.00000
218,0.99364
219,0.97738
220,0.95203
221,0.92125
222,0.89140
223,0.86954
224,0.86024
225,0.86283
226,0.87115
227,0.87628
228,0.87048
229,0.85217
230,0.82454
231,0.77671
232,0.73050
233,0.70228
234,0.67593
235,0.65182
236,0.63069
237,0.61293
238,0.59802
239,0.58462
240,0.57143
241,0.55808
242,0.54513
243,0.53340
244,0.52305
245,0.51321
246,0.50241
247,0.48953
248,0.47468
249,0.45965
250,0.44717
251,0.43920
252,0.43531
253,0.43225
254,0.42649
255,0.41654
256,0.40359
257,0.39030
258,0.37868
259,0.36885
260,0.35931
261,0.34820
262,0.33447
263,0.31821
264,0.30037
265,0.28229
266,0.25777
267,0.23750
268,0.22586
269,0.21330
270,0.19800
271,0.17979
272,0.16087
273,0.14489
274,0.13504
275,0.13236
276,0.13538
277,0.14099
278,0.14630
279,0.14992
280,0.15162
281,0.15171
282,0.15034
283,0.14747
284,0.14314
285,0.13782
286,0.13222
287,0.12673
288,0.12102
289,0.11411
290,0.10507
291,0.09375
292,0.08116
293,0.06913
294,0.05955
295,0.05363
296,0.05151
297,0.05220
298,0.05405
299,0.05541
300,0.05520
301,0.05315
302,0.04756
303,0.04144
304,0.03808
305,0.03571
306,0.03440
307,0.03401
308,0.03428
309,0.03482
310,0.03518
311,0.03503
312,0.03427
313,0.03309
314,0.03181
315,0.03058
316,0.02932
317,0.02780
318,0.02589
319,0.02366
320,0.02129
321,0.01891
322,0.01651
323,0.01414
324,0.01205
325,0.01068
326,0.01039
327,0.01107
328,0.01224
329,0.01334
330,0.01401
331,0.01414
332,0.01374
333,0.01284
334,0.01151
335,0.00989
336,0.00825
337,0.00633
338,0.00527
339,0.00509
340,0.00512
341,0.00511
342,0.00484
343,0.00422
344,0.00333
345,0.00235
346,0.00148
347,0.00088
348,0.00058
349,0.00059
350,0.00087
351,0.00135
352,0.00190
353,0.00237
354,0.00263
355,0.00267
356,0.00260
357,0.00255
358,0.00261
359,0.00000
360,0.00000
