day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01472
5,0.01643
6,0.01824
7,0.02005
8,0.02156
9,0.02230
10,0.02211
11,0.02138
12,0.02087
13,0.02120
14,0.02239
15,0.02382
16,0.02458
17,0.02410
18,0.02233
19,0.02269
20,0.02531
21,0.02894
22,0.03273
23,0.03675
24,0.04166
25,0.04753
26,0.05315
27,0.05689
28,0.05791
29,0.05645
30,0.05348
31,0.05028
32,0.04809
33,0.04780
34,0.04944
35,0.05207
36,0.05415
37,0.05440
38,0.05243
39,0.04885
40,0.04517
41,0.04367
42,0.04679
43,0.05602
44,0.07104
45,0.08959
46,0.10861
47,0.12628
48,0.14427
49,0.16759
50,0.20065
51,0.24210
52,0.28557
53,0.34122
54,0.37868
55,0.38705
56,0.38391
57,0.37531
58,0.36766
59,0.36323
60,0.36024
61,0.35694
62,0.35477
63,0.35709
64,0.36535
65,0.37784
66,0.39271
67,0.41114
68,0.43565
69,0.46515
70,0.49307
71,0.51237
72,0.52188
73,0.52681
74,0.53364
75,0.54643
76,0.56773
77,0.59957
78,0.64122
79,0.68754
80,0.73176
81,0.76952
82,0.79893
83,0.81980
84,0.83527
85,0.85167
86,0.87419
87,0.90274
88,0.93323
89,0.97239
90,0.99741
91,1.00000
92,0.98862
93,0.96272
94,0.92657
95,0.88910
96,0.85861
97,0.83589
98,0.81300
99,0.78063
100,0.73772
101,0.69309
102,0.65751
103,0.63560
104,0.62532
105,0.62139
106,0.61674
107,0.60262
108,0.57189
109,0.52430
110,0.46792
111,0.41415
112,0.37109
113,0.34015
114,0.31743
115,0.29747
116,0.27653
117,0.25222
118,0.22387
119,0.19413
120,0.16779
121,0.14749
122,0.13147
123,0.11618
124,0.09324
125,0.07541
126,0.06821
127,0.06214
128,0.05477
129,0.04537
130,0.03510
131,0.02592
132,0.01917
133,0.01492
134,0.01221
135,0.01001
136,0.00790
137,0.00600
138,0.00452
139,0.00344
140,0.00263
141,0.00196
142,0.00137
143,0.00091
144,0.00070
145,0.00086
146,0.00139
147,0.00201
148,0.00233
149,0.00214
150,0.00155
151,0.00089
152,0.00041
153,0.00015
154,0.00005
155,0.00001
156,0.00000
157,0.00000
158,0.00000
159,0.00000
160,0.00000
161,0.00000
162,0.00000
163,0.00000
164,0.00000
165,0.00000
166,0.00000
167,0.00000
168,0.00002
169,0.00007
170,0.00019
171,0.00042
172,0.00075
173,0.00106
174,0.00117
175,0.00102
176,0.00069
177,0.00036
178,0.00015
179,0.00005
180,0.00001
181,0.00000
182,0.00000
183,0.00000
184,0.00000
185,0.00000
186,0.00000
187,0.00000
188,0.00000
189,0.00000
190,0.00000
191,0.00000
192,0.00000
193,0.00000
194,0.00000
195,0.00000
196,0.00000
197,0.00000
198,0.00000
199,0.00000
200,0.00000
201,0.00000
202,0.00000
203,0.00000
204,0.00000
205,0.00000
206,0.00000
207,0.00000
208,0.00000
209,0.00000
210,0.00000
211,0.00000
212,0.00000
213,0.00000
214,0.00000
215,0.00000
216,0.00000
217,0.00000
218,0.00000
219,0.00000
220,0.00000
221,0.00000
222,0.00000
223,0.00000
224,0.00000
225,0.00000
226,0.00000
227,0.00000
228,0.00000
229,0.00000
230,0.00000
231,0.00000
232,0.00000
233,0.00000
234,0.00000
235,0.00000
236,0.00000
237,0.00000
238,0.00000
239,0.00000
240,0.00000
241,0.00000
242,0.00000
243,0.00000
244,0.00000
245,0.00000
246,0.00000
247,0.00000
248,0.00000
249,0.00000
250,0.00000
251,0.00000
252,0.00000
253,0.00000
254,0.00000
255,0.00000
256,0.00000
257,0.00000
258,0.00000
259,0.00000
260,0.00000
261,0.00000
262,0.00000
263,0.00000
264,0.00000
265,0.00000
266,0.00000
267,0.00000
268,0.00000
269,0.00000
270,0.00000
271,0.00000
272,0.00000
273,0.00000
274,0.00000
275,0.00000
276,0.00000
277,0.00000
278,0.00000
279,0.00000
280,0.00000
281,0.00000
282,0.00000
283,0.00001
284,0.00003
285,0.00011
286,0.00033
287,0.00074
288,0.00133
289,0.00194
290,0.00228
291,0.00223
292,0.00189
293,0.00155
294,0.00136
295,0.00127
296,0.00112
297,0.00083
298,0.00051
299,0.00024
300,0.00010
301,0.00004
302,0.00013
303,0.00049
304,0.00101
305,0.00167
306,0.00219
307,0.00226
308,0.00185
309,0.00121
310,0.00063
311,0.00026
312,0.00009
313,0.00002
314,0.00001
315,0.00000
316,0.00000
317,0.00002
318,0.00006
319,0.00018
320,0.00040
321,0.00075
322,0.00114
323,0.00149
324,0.00171
325,0.00181
326,0.00185
327,0.00192
328,0.00210
329,0.00235
330,0.00245
331,0.00222
332,0.00167
333,0.00104
334,0.00059
335,0.00046
336,0.00063
337,0.00118
338,0.00167
339,0.00183
340,0.00190
341,0.00190
342,0.00185
343,0.00171
344,0.00148
345,0.00122
346,0.00116
347,0.00161
348,0.00280
349,0.00469
350,0.00686
351,0.00880
352,0.01013
353,0.01085
354,0.01116
355,0.01133
356,0.01160
357,0.01219
358,0.01325
359,0.00000
360,0.00000
