day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00349
5,0.00206
6,0.00119
7,0.00106
8,0.00153
9,0.00220
10,0.00264
11,0.00251
12,0.00189
13,0.00111
14,0.00051
15,0.00018
16,0.00005
17,0.00001
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00001
69,0.00003
70,0.00012
71,0.00037
72,0.00086
73,0.00160
74,0.00241
75,0.00299
76,0.00321
77,0.00323
78,0.00324
79,0.00313
80,0.00267
81,0.00188
82,0.00107
83,0.00050
84,0.00025
85,0.00031
86,0.00076
87,0.00172
88,0.00324
89,0.00583
90,0.00716
91,0.00646
92,0.00484
93,0.00310
94,0.00203
95,0.00201
96,0.00302
97,0.00473
98,0.00661
99,0.00817
100,0.00918
101,0.00974
102,0.00992
103,0.00946
104,0.00804
105,0.00588
106,0.00384
107,0.00281
108,0.00311
109,0.00440
110,0.00587
111,0.00671
112,0.00653
113,0.00545
114,0.00392
115,0.00247
116,0.00155
117,0.00147
118,0.00235
119,0.00406
120,0.00617
121,0.00822
122,0.00996
123,0.01143
124,0.01309
125,0.01323
126,0.01164
127,0.00944
128,0.00805
129,0.00836
130,0.00991
131,0.01125
132,0.01139
133,0.01055
134,0.00962
135,0.00898
136,0.00819
137,0.00678
138,0.00494
139,0.00359
140,0.00380
141,0.00628
142,0.01088
143,0.01619
144,0.01997
145,0.02074
146,0.01911
147,0.01732
148,0.01722
149,0.01968
150,0.02512
151,0.03423
152,0.04728
153,0.06235
154,0.07511
155,0.08193
156,0.08358
157,0.08511
158,0.09190
159,0.10658
160,0.14669
161,0.20783
162,0.25898
163,0.30713
164,0.34372
165,0.36052
166,0.37683
167,0.40060
168,0.43590
169,0.47849
170,0.51955
171,0.55287
172,0.58119
173,0.61454
174,0.66145
175,0.72095
176,0.78066
177,0.82335
178,0.84064
179,0.84475
180,0.85971
181,0.89701
182,0.94147
183,0.96149
184,0.94109
185,0.89687
186,0.86013
187,0.85025
188,0.86229
189,0.87557
190,0.87245
191,0.85025
192,0.82134
193,0.80190
194,0.80025
195,0.81482
196,0.83498
197,0.84884
198,0.84904
199,0.83598
200,0.80009
201,0.75742
202,0.73052
203,0.70845
204,0.68637
205,0.65687
206,0.61733
207,0.57299
208,0.53172
209,0.49708
210,0.46721
211,0.43870
212,0.41010
213,0.38365
214,0.36380
215,0.35382
216,0.35197
217,0.35051
218,0.34153
219,0.32226
220,0.29640
221,0.27058
222,0.24977
223,0.23528
224,0.22559
225,0.21785
226,0.20941
227,0.19903
228,0.18719
229,0.17561
230,0.16621
231,0.15778
232,0.15673
233,0.15682
234,0.15262
235,0.14415
236,0.13214
237,0.12560
238,0.12093
239,0.11424
240,0.10539
241,0.09578
242,0.08651
243,0.07760
244,0.06892
245,0.06131
246,0.05609
247,0.05406
248,0.05498
249,0.05776
250,0.06127
251,0.06501
252,0.06889
253,0.07245
254,0.07471
255,0.07495
256,0.07336
257,0.07090
258,0.06851
259,0.06688
260,0.06656
261,0.06787
262,0.07025
263,0.07227
264,0.07233
265,0.06962
266,0.06043
267,0.04916
268,0.04374
269,0.04175
270,0.04240
271,0.04340
272,0.04319
273,0.04189
274,0.04135
275,0.04375
276,0.04918
277,0.05468
278,0.05668
279,0.05393
280,0.04830
281,0.04282
282,0.03930
283,0.03790
284,0.03797
285,0.03894
286,0.04051
287,0.04268
288,0.04566
289,0.04920
290,0.05210
291,0.05269
292,0.05032
293,0.04614
294,0.04231
295,0.04040
296,0.04053
297,0.04171
298,0.04252
299,0.04173
300,0.03880
301,0.03431
302,0.02792
303,0.02395
304,0.02251
305,0.02123
306,0.02001
307,0.01927
308,0.01971
309,0.02151
310,0.02378
311,0.02520
312,0.02514
313,0.02390
314,0.02196
315,0.01934
316,0.01593
317,0.01209
318,0.00864
319,0.00628
320,0.00540
321,0.00621
322,0.00862
323,0.01196
324,0.01496
325,0.01645
326,0.01601
327,0.01411
328,0.01162
329,0.00929
330,0.00765
331,0.00701
332,0.00751
333,0.00889
334,0.01044
335,0.01139
336,0.01151
337,0.01089
338,0.00987
339,0.00865
340,0.00729
341,0.00633
342,0.00586
343,0.00559
344,0.00530
345,0.00508
346,0.00517
347,0.00571
348,0.00670
349,0.00787
350,0.00879
351,0.00904
352,0.00849
353,0.00744
354,0.00646
355,0.00600
356,0.00597
357,0.00578
358,0.00492
359,0.00000
360,0.00000
