day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.02923
5,0.02997
6,0.03056
7,0.03098
8,0.03119
9,0.03103
10,0.03025
11,0.02866
12,0.02623
13,0.02320
14,0.02000
15,0.01705
16,0.01462
17,0.01275
18,0.01066
19,0.00877
20,0.00751
21,0.00634
22,0.00548
23,0.00504
24,0.00501
25,0.00520
26,0.00536
27,0.00526
28,0.00479
29,0.00401
30,0.00305
31,0.00211
32,0.00132
33,0.00075
34,0.00038
35,0.00017
36,0.00007
37,0.00003
38,0.00001
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00001
53,0.00006
54,0.00021
55,0.00043
56,0.00077
57,0.00125
58,0.00180
59,0.00232
60,0.00269
61,0.00282
62,0.00271
63,0.00248
64,0.00233
65,0.00242
66,0.00287
67,0.00359
68,0.00439
69,0.00503
70,0.00531
71,0.00520
72,0.00479
73,0.00428
74,0.00384
75,0.00354
76,0.00336
77,0.00318
78,0.00293
79,0.00261
80,0.00231
81,0.00215
82,0.00222
83,0.00250
84,0.00292
85,0.00337
86,0.00379
87,0.00418
88,0.00460
89,0.00526
90,0.00573
91,0.00573
92,0.00550
93,0.00510
94,0.00465
95,0.00423
96,0.00382
97,0.00336
98,0.00283
99,0.00225
100,0.00172
101,0.00136
102,0.00125
103,0.00140
104,0.00177
105,0.00223
106,0.00260
107,0.00274
108,0.00259
109,0.00219
110,0.00164
111,0.00110
112,0.00066
113,0.00035
114,0.00017
115,0.00007
116,0.00003
117,0.00001
118,0.00001
119,0.00002
120,0.00006
121,0.00016
122,0.00037
123,0.00078
124,0.00203
125,0.00403
126,0.00576
127,0.00753
128,0.00898
129,0.00981
130,0.00979
131,0.00893
132,0.00749
133,0.00586
134,0.00454
135,0.00386
136,0.00398
137,0.00483
138,0.00617
139,0.00765
140,0.00892
141,0.00979
142,0.01027
143,0.01061
144,0.01117
145,0.01233
146,0.01436
147,0.01732
148,0.02109
149,0.02541
150,0.02997
151,0.03438
152,0.03834
153,0.04166
154,0.04451
155,0.04750
156,0.05174
157,0.05844
158,0.06824
159,0.08086
160,0.10231
161,0.12232
162,0.13290
163,0.14106
164,0.14722
165,0.15206
166,0.15647
167,0.16154
168,0.16837
169,0.17764
170,0.18931
171,0.20253
172,0.21605
173,0.22884
174,0.24056
175,0.25171
176,0.26473
177,0.27907
178,0.29479
179,0.31108
180,0.32721
181,0.34317
182,0.35991
183,0.37880
184,0.40088
185,0.42617
186,0.45353
187,0.48091
188,0.50600
189,0.52703
190,0.54338
191,0.55733
192,0.57240
193,0.58698
194,0.60380
195,0.62516
196,0.65160
197,0.67669
198,0.69985
199,0.71910
200,0.73354
201,0.74342
202,0.74985
203,0.75426
204,0.75808
205,0.76296
206,0.77088
207,0.78417
208,0.80495
209,0.83412
210,0.87047
211,0.91026
212,0.94801
213,0.97796
214,0.99585
215,1.00000
216,0.99016
217,0.97403
218,0.95444
219,0.93374
220,0.91375
221,0.89559
222,0.87970
223,0.86600
224,0.85407
225,0.84324
226,0.83254
227,0.81397
228,0.78851
229,0.76568
230,0.73990
231,0.71123
232,0.68228
233,0.65836
234,0.63895
235,0.62457
236,0.61470
237,0.60791
238,0.60222
239,0.59566
240,0.58688
241,0.57549
242,0.56228
243,0.54814
244,0.53367
245,0.51929
246,0.50585
247,0.49419
248,0.48471
249,0.47713
250,0.47057
251,0.46387
252,0.45602
253,0.44626
254,0.43414
255,0.41951
256,0.40254
257,0.38363
258,0.36342
259,0.34252
260,0.32152
261,0.30084
262,0.27825
263,0.25782
264,0.24003
265,0.22230
266,0.19847
267,0.18081
268,0.17348
269,0.16825
270,0.16359
271,0.15849
272,0.15292
273,0.14753
274,0.14286
275,0.13870
276,0.13401
277,0.12758
278,0.11884
279,0.10839
280,0.09784
281,0.08899
282,0.08346
283,0.08134
284,0.08172
285,0.08332
286,0.08501
287,0.08606
288,0.08616
289,0.08522
290,0.08310
291,0.07977
292,0.07521
293,0.06962
294,0.06347
295,0.05746
296,0.05227
297,0.04831
298,0.04554
299,0.04353
300,0.04166
301,0.03942
302,0.03494
303,0.02985
304,0.02679
305,0.02464
306,0.02394
307,0.02499
308,0.02778
309,0.03174
310,0.03586
311,0.03903
312,0.04039
313,0.04001
314,0.03859
315,0.03707
316,0.03616
317,0.03606
318,0.03650
319,0.03694
320,0.03695
321,0.03642
322,0.03556
323,0.03471
324,0.03407
325,0.03359
326,0.03301
327,0.03208
328,0.03078
329,0.02926
330,0.02779
331,0.02655
332,0.02564
333,0.02508
334,0.02489
335,0.02503
336,0.02518
337,0.02447
338,0.02239
339,0.02051
340,0.01899
341,0.01844
342,0.01920
343,0.02125
344,0.02416
345,0.02730
346,0.03002
347,0.03192
348,0.03293
349,0.03322
350,0.03301
351,0.03242
352,0.03145
353,0.03019
354,0.02888
355,0.02787
356,0.02747
357,0.02775
358,0.02846
359,0.00000
360,0.00000
