day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00000
92,0.00000
93,0.00000
94,0.00000
95,0.00000
96,0.00000
97,0.00000
98,0.00000
99,0.00000
100,0.00000
101,0.00000
102,0.00000
103,0.00000
104,0.00000
105,0.00000
106,0.00000
107,0.00000
108,0.00000
109,0.00000
110,0.00000
111,0.00000
112,0.00000
113,0.00000
114,0.00000
115,0.00001
116,0.00003
117,0.00014
118,0.00044
119,0.00105
120,0.00194
121,0.00277
122,0.00306
123,0.00264
124,0.00136
125,0.00039
126,0.00012
127,0.00003
128,0.00001
129,0.00000
130,0.00000
131,0.00000
132,0.00000
133,0.00000
134,0.00000
135,0.00000
136,0.00000
137,0.00000
138,0.00000
139,0.00000
140,0.00001
141,0.00004
142,0.00015
143,0.00041
144,0.00087
145,0.00141
146,0.00176
147,0.00184
148,0.00190
149,0.00225
150,0.00310
151,0.00456
152,0.00643
153,0.00797
154,0.00835
155,0.00759
156,0.00669
157,0.00664
158,0.00765
159,0.00947
160,0.01444
161,0.02237
162,0.02784
163,0.03124
164,0.03300
165,0.03581
166,0.04151
167,0.04881
168,0.05454
169,0.05708
170,0.05766
171,0.05815
172,0.05850
173,0.05744
174,0.05547
175,0.05550
176,0.05976
177,0.06722
178,0.07550
179,0.08491
180,0.09816
181,0.11558
182,0.13315
183,0.14619
184,0.15425
185,0.16120
186,0.17029
187,0.18020
188,0.18773
189,0.19403
190,0.20565
191,0.22815
192,0.26002
193,0.29472
194,0.32808
195,0.38403
196,0.45777
197,0.51047
198,0.54376
199,0.54414
200,0.52111
201,0.50168
202,0.50365
203,0.51921
204,0.52791
205,0.52105
206,0.51088
207,0.52082
208,0.56945
209,0.65542
210,0.75013
211,0.81380
212,0.82910
213,0.81917
214,0.82802
215,0.87219
216,0.92275
217,0.93524
218,0.89094
219,0.80335
220,0.70129
221,0.61378
222,0.55900
223,0.54042
224,0.55356
225,0.59178
226,0.64491
227,0.69866
228,0.74071
229,0.76889
230,0.79206
231,0.82278
232,0.81719
233,0.79794
234,0.82019
235,0.90138
236,0.98641
237,1.00000
238,0.93747
239,0.86538
240,0.82551
241,0.78810
242,0.72140
243,0.65443
244,0.63348
245,0.65006
246,0.64552
247,0.57697
248,0.46284
249,0.35401
250,0.28480
251,0.26061
252,0.26734
253,0.28314
254,0.28918
255,0.27803
256,0.25435
257,0.22837
258,0.20848
259,0.19777
260,0.19452
261,0.19508
262,0.19649
263,0.19737
264,0.19666
265,0.19229
266,0.17409
267,0.14957
268,0.13762
269,0.13256
270,0.13217
271,0.13201
272,0.12800
273,0.11852
274,0.10539
275,0.09224
276,0.08144
277,0.07317
278,0.06670
279,0.06123
280,0.05593
281,0.05042
282,0.04506
283,0.04016
284,0.03552
285,0.03103
286,0.02700
287,0.02394
288,0.02241
289,0.02259
290,0.02393
291,0.02525
292,0.02567
293,0.02519
294,0.02443
295,0.02395
296,0.02392
297,0.02455
298,0.02593
299,0.02739
300,0.02745
301,0.02504
302,0.01800
303,0.01103
304,0.00800
305,0.00632
306,0.00558
307,0.00537
308,0.00527
309,0.00488
310,0.00408
311,0.00326
312,0.00299
313,0.00346
314,0.00420
315,0.00446
316,0.00385
317,0.00264
318,0.00144
319,0.00062
320,0.00021
321,0.00006
322,0.00001
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
