day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01061
5,0.01037
6,0.01014
7,0.01011
8,0.01039
9,0.01098
10,0.01175
11,0.01245
12,0.01285
13,0.01274
14,0.01207
15,0.01090
16,0.00943
17,0.00787
18,0.00589
19,0.00466
20,0.00441
21,0.00454
22,0.00494
23,0.00544
24,0.00592
25,0.00629
26,0.00654
27,0.00673
28,0.00696
29,0.00726
30,0.00766
31,0.00808
32,0.00843
33,0.00859
34,0.00853
35,0.00821
36,0.00768
37,0.00696
38,0.00611
39,0.00518
40,0.00423
41,0.00335
42,0.00266
43,0.00223
44,0.00212
45,0.00233
46,0.00282
47,0.00352
48,0.00434
49,0.00524
50,0.00618
51,0.00713
52,0.00808
53,0.00928
54,0.01005
55,0.01021
56,0.01015
57,0.00997
58,0.00979
59,0.00969
60,0.00969
61,0.00974
62,0.00977
63,0.00975
64,0.00966
65,0.00956
66,0.00953
67,0.00971
68,0.01018
69,0.01099
70,0.01213
71,0.01349
72,0.01494
73,0.01636
74,0.01768
75,0.01896
76,0.02037
77,0.02216
78,0.02469
79,0.02835
80,0.03337
81,0.03986
82,0.04777
83,0.05687
84,0.06685
85,0.07739
86,0.08834
87,0.09974
88,0.11179
89,0.13180
90,0.15412
91,0.17055
92,0.18815
93,0.20719
94,0.22825
95,0.25209
96,0.27943
97,0.31054
98,0.34523
99,0.38262
100,0.42180
101,0.46223
102,0.50375
103,0.54649
104,0.59058
105,0.63592
106,0.68216
107,0.72864
108,0.77452
109,0.81874
110,0.86003
111,0.89690
112,0.92777
113,0.95122
114,0.96643
115,0.97361
116,0.97427
117,0.97121
118,0.96786
119,0.96739
120,0.97094
121,0.97762
122,0.98533
123,0.99195
124,0.99752
125,0.99966
126,1.00000
127,0.99974
128,0.99828
129,0.99464
130,0.98789
131,0.97740
132,0.96300
133,0.94513
134,0.92475
135,0.90309
136,0.88108
137,0.85898
138,0.83627
139,0.81223
140,0.78692
141,0.76146
142,0.73764
143,0.71720
144,0.70095
145,0.68850
146,0.67849
147,0.66914
148,0.65888
149,0.64665
150,0.63191
151,0.61462
152,0.59510
153,0.57406
154,0.55259
155,0.53197
156,0.51338
157,0.49757
158,0.48467
159,0.47431
160,0.46162
161,0.45026
162,0.44300
163,0.43592
164,0.42929
165,0.42365
166,0.41979
167,0.41843
168,0.41987
169,0.42362
170,0.42830
171,0.43192
172,0.43247
173,0.42862
174,0.42011
175,0.40765
176,0.39251
177,0.37585
178,0.35829
179,0.33994
180,0.32080
181,0.30112
182,0.28164
183,0.26338
184,0.24742
185,0.23460
186,0.22540
187,0.21990
188,0.21784
189,0.21868
190,0.22163
191,0.22576
192,0.23008
193,0.23372
194,0.23607
195,0.23667
196,0.23509
197,0.23333
198,0.23129
199,0.22869
200,0.22499
201,0.21976
202,0.21296
203,0.20516
204,0.19735
205,0.19061
206,0.18571
207,0.18277
208,0.18130
209,0.18035
210,0.17896
211,0.17648
212,0.17278
213,0.16826
214,0.16360
215,0.15951
216,0.15637
217,0.15408
218,0.15208
219,0.14964
220,0.14637
221,0.14239
222,0.13828
223,0.13482
224,0.13264
225,0.13194
226,0.13247
227,0.13365
228,0.13476
229,0.13519
230,0.13451
231,0.13094
232,0.12504
233,0.12000
234,0.11458
235,0.10924
236,0.10443
237,0.10054
238,0.09783
239,0.09617
240,0.09523
241,0.09458
242,0.09382
243,0.09271
244,0.09124
245,0.08959
246,0.08809
247,0.08705
248,0.08663
249,0.08684
250,0.08747
251,0.08825
252,0.08890
253,0.08924
254,0.08916
255,0.08859
256,0.08745
257,0.08556
258,0.08270
259,0.07867
260,0.07355
261,0.06758
262,0.06127
263,0.05526
264,0.05022
265,0.04667
266,0.04487
267,0.04622
268,0.04844
269,0.05085
270,0.05286
271,0.05401
272,0.05410
273,0.05314
274,0.05129
275,0.04881
276,0.04599
277,0.04314
278,0.04057
279,0.03853
280,0.03713
281,0.03642
282,0.03634
283,0.03669
284,0.03721
285,0.03763
286,0.03768
287,0.03727
288,0.03647
289,0.03546
290,0.03448
291,0.03369
292,0.03314
293,0.03277
294,0.03244
295,0.03203
296,0.03147
297,0.03073
298,0.02985
299,0.02895
300,0.02811
301,0.02744
302,0.02688
303,0.02679
304,0.02698
305,0.02725
306,0.02747
307,0.02750
308,0.02726
309,0.02669
310,0.02582
311,0.02473
312,0.02357
313,0.02252
314,0.02176
315,0.02144
316,0.02159
317,0.02212
318,0.02283
319,0.02350
320,0.02397
321,0.02414
322,0.02394
323,0.02334
324,0.02233
325,0.02094
326,0.01925
327,0.01741
328,0.01563
329,0.01416
330,0.01324
331,0.01303
332,0.01352
333,0.01452
334,0.01570
335,0.01666
336,0.01705
337,0.01615
338,0.01410
339,0.01256
340,0.01131
341,0.01050
342,0.01013
343,0.01001
344,0.00997
345,0.00984
346,0.00957
347,0.00918
348,0.00877
349,0.00842
350,0.00821
351,0.00816
352,0.00830
353,0.00862
354,0.00908
355,0.00963
356,0.01017
357,0.01058
358,0.01075
359,0.00000
360,0.00000
