day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00398
5,0.00480
6,0.00515
7,0.00496
8,0.00427
9,0.00330
10,0.00229
11,0.00143
12,0.00080
13,0.00040
14,0.00018
15,0.00007
16,0.00003
17,0.00001
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00001
87,0.00003
88,0.00008
89,0.00032
90,0.00086
91,0.00153
92,0.00243
93,0.00343
94,0.00435
95,0.00494
96,0.00504
97,0.00463
98,0.00386
99,0.00295
100,0.00220
101,0.00184
102,0.00204
103,0.00290
104,0.00440
105,0.00636
106,0.00845
107,0.01025
108,0.01139
109,0.01171
110,0.01129
111,0.01042
112,0.00940
113,0.00848
114,0.00783
115,0.00767
116,0.00824
117,0.00978
118,0.01245
119,0.01634
120,0.02147
121,0.02784
122,0.03532
123,0.04358
124,0.05606
125,0.06735
126,0.07405
127,0.08097
128,0.08915
129,0.09942
130,0.11197
131,0.12630
132,0.14151
133,0.15689
134,0.17244
135,0.18920
136,0.20883
137,0.23277
138,0.26141
139,0.29351
140,0.32639
141,0.35681
142,0.38222
143,0.40190
144,0.41729
145,0.43130
146,0.44702
147,0.46656
148,0.49058
149,0.51859
150,0.54954
151,0.58229
152,0.61575
153,0.64905
154,0.68171
155,0.71385
156,0.74605
157,0.77905
158,0.81300
159,0.84729
160,0.89583
161,0.93746
162,0.95867
163,0.97449
164,0.98536
165,0.99230
166,0.99662
167,0.99925
168,1.00000
169,0.99717
170,0.98790
171,0.96932
172,0.94011
173,0.90167
174,0.85817
175,0.81540
176,0.77859
177,0.75040
178,0.73015
179,0.71408
180,0.69763
181,0.67736
182,0.65167
183,0.62112
184,0.58821
185,0.55652
186,0.52940
187,0.50874
188,0.49462
189,0.48589
190,0.48132
191,0.48040
192,0.48339
193,0.49046
194,0.50078
195,0.51648
196,0.52380
197,0.51823
198,0.50338
199,0.48015
200,0.45036
201,0.41685
202,0.38184
203,0.34744
204,0.31578
205,0.28891
206,0.26832
207,0.25434
208,0.24592
209,0.24107
210,0.23765
211,0.23428
212,0.23054
213,0.22660
214,0.22253
215,0.21781
216,0.21141
217,0.20231
218,0.19014
219,0.17558
220,0.16016
221,0.14582
222,0.13430
223,0.12637
224,0.12144
225,0.11813
226,0.11495
227,0.11101
228,0.10639
229,0.10187
230,0.09826
231,0.09538
232,0.09423
233,0.09380
234,0.09339
235,0.09325
236,0.09377
237,0.09520
238,0.09738
239,0.09979
240,0.10179
241,0.10293
242,0.10309
243,0.10237
244,0.10104
245,0.09958
246,0.09861
247,0.09888
248,0.10100
249,0.10513
250,0.11087
251,0.11722
252,0.12289
253,0.12666
254,0.12780
255,0.12622
256,0.12235
257,0.11693
258,0.11064
259,0.10392
260,0.09697
261,0.08983
262,0.08255
263,0.07529
264,0.06837
265,0.06231
266,0.05629
267,0.05379
268,0.05398
269,0.05496
270,0.05634
271,0.05780
272,0.05897
273,0.05929
274,0.05817
275,0.05522
276,0.05044
277,0.04437
278,0.03793
279,0.03226
280,0.02834
281,0.02679
282,0.02757
283,0.03004
284,0.03315
285,0.03582
286,0.03731
287,0.03744
288,0.03647
289,0.03496
290,0.03324
291,0.03129
292,0.02889
293,0.02590
294,0.02244
295,0.01890
296,0.01576
297,0.01342
298,0.01204
299,0.01154
300,0.01165
301,0.01194
302,0.01172
303,0.01041
304,0.00906
305,0.00779
306,0.00690
307,0.00646
308,0.00633
309,0.00632
310,0.00640
311,0.00668
312,0.00733
313,0.00835
314,0.00949
315,0.01031
316,0.01042
317,0.00966
318,0.00818
319,0.00640
320,0.00480
321,0.00374
322,0.00338
323,0.00363
324,0.00422
325,0.00482
326,0.00511
327,0.00492
328,0.00427
329,0.00332
330,0.00231
331,0.00144
332,0.00081
333,0.00041
334,0.00019
335,0.00008
336,0.00003
337,0.00001
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00001
351,0.00002
352,0.00005
353,0.00013
354,0.00031
355,0.00064
356,0.00119
357,0.00199
358,0.00296
359,0.00000
360,0.00000
