day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.07705
5,0.07647
6,0.07486
7,0.07241
8,0.06930
9,0.06573
10,0.06187
11,0.05788
12,0.05390
13,0.05005
14,0.04645
15,0.04320
16,0.04035
17,0.03795
18,0.03518
19,0.03319
20,0.03230
21,0.03164
22,0.03115
23,0.03075
24,0.03035
25,0.02989
26,0.02930
27,0.02856
28,0.02767
29,0.02668
30,0.02563
31,0.02461
32,0.02366
33,0.02285
34,0.02218
35,0.02164
36,0.02118
37,0.02071
38,0.02017
39,0.01954
40,0.01881
41,0.01803
42,0.01728
43,0.01665
44,0.01624
45,0.01613
46,0.01639
47,0.01704
48,0.01803
49,0.01928
50,0.02068
51,0.02207
52,0.02334
53,0.02486
54,0.02611
55,0.02690
56,0.02778
57,0.02879
58,0.02990
59,0.03104
60,0.03209
61,0.03298
62,0.03368
63,0.03424
64,0.03483
65,0.03568
66,0.03705
67,0.03925
68,0.04248
69,0.04675
70,0.05200
71,0.05802
72,0.06448
73,0.07103
74,0.07724
75,0.08275
76,0.08722
77,0.09045
78,0.09236
79,0.09304
80,0.09275
81,0.09185
82,0.09078
83,0.08999
84,0.08985
85,0.09054
86,0.09209
87,0.09444
88,0.09750
89,0.10320
90,0.10997
91,0.11531
92,0.12154
93,0.12894
94,0.13786
95,0.14860
96,0.16141
97,0.17638
98,0.19344
99,0.21250
100,0.23315
101,0.25514
102,0.27838
103,0.30292
104,0.32897
105,0.35684
106,0.38679
107,0.41898
108,0.45335
109,0.48961
110,0.52728
111,0.56571
112,0.60424
113,0.64234
114,0.67966
115,0.71612
116,0.75193
117,0.78733
118,0.82236
119,0.85668
120,0.88957
121,0.91995
122,0.94663
123,0.96850
124,0.99004
125,1.00000
126,0.99958
127,0.99483
128,0.98674
129,0.97633
130,0.96461
131,0.95255
132,0.94087
133,0.93005
134,0.92037
135,0.91197
136,0.90488
137,0.89906
138,0.89442
139,0.89082
140,0.88803
141,0.88578
142,0.88379
143,0.88175
144,0.87935
145,0.87627
146,0.87213
147,0.86632
148,0.85835
149,0.84765
150,0.83373
151,0.81631
152,0.79545
153,0.77157
154,0.74549
155,0.71830
156,0.69126
157,0.66556
158,0.64216
159,0.62162
160,0.59647
161,0.57576
162,0.56373
163,0.55219
164,0.54083
165,0.52965
166,0.51880
167,0.50838
168,0.49838
169,0.48855
170,0.47849
171,0.46770
172,0.45576
173,0.44242
174,0.42766
175,0.41171
176,0.39498
177,0.37804
178,0.36154
179,0.34621
180,0.33266
181,0.32143
182,0.31290
183,0.30724
184,0.30429
185,0.30363
186,0.30454
187,0.30614
188,0.30750
189,0.30778
190,0.30636
191,0.30298
192,0.29771
193,0.29099
194,0.28350
195,0.27273
196,0.26392
197,0.25973
198,0.25666
199,0.25432
200,0.25222
201,0.24986
202,0.24689
203,0.24315
204,0.23870
205,0.23383
206,0.22894
207,0.22451
208,0.22093
209,0.21843
210,0.21708
211,0.21656
212,0.21648
213,0.21637
214,0.21576
215,0.21427
216,0.21161
217,0.20763
218,0.20235
219,0.19595
220,0.18877
221,0.18129
222,0.17407
223,0.16770
224,0.16272
225,0.15955
226,0.15851
227,0.15954
228,0.16228
229,0.16621
230,0.17066
231,0.17660
232,0.18041
233,0.18100
234,0.18007
235,0.17784
236,0.17459
237,0.17063
238,0.16619
239,0.16142
240,0.15643
241,0.15128
242,0.14612
243,0.14117
244,0.13668
245,0.13292
246,0.13010
247,0.12834
248,0.12763
249,0.12782
250,0.12870
251,0.12998
252,0.13138
253,0.13260
254,0.13341
255,0.13358
256,0.13298
257,0.13155
258,0.12932
259,0.12649
260,0.12331
261,0.12003
262,0.11687
263,0.11399
264,0.11146
265,0.10927
266,0.10650
267,0.10397
268,0.10229
269,0.10060
270,0.09895
271,0.09748
272,0.09639
273,0.09592
274,0.09628
275,0.09756
276,0.09983
277,0.10303
278,0.10703
279,0.11160
280,0.11641
281,0.12105
282,0.12512
283,0.12821
284,0.13003
285,0.13046
286,0.12956
287,0.12757
288,0.12490
289,0.12201
290,0.11937
291,0.11726
292,0.11583
293,0.11505
294,0.11475
295,0.11470
296,0.11465
297,0.11436
298,0.11365
299,0.11245
300,0.11076
301,0.10869
302,0.10530
303,0.10212
304,0.10043
305,0.09915
306,0.09821
307,0.09748
308,0.09684
309,0.09622
310,0.09564
311,0.09523
312,0.09521
313,0.09577
314,0.09700
315,0.09883
316,0.10098
317,0.10304
318,0.10459
319,0.10526
320,0.10491
321,0.10355
322,0.10151
323,0.09911
324,0.09658
325,0.09406
326,0.09149
327,0.08875
328,0.08560
329,0.08187
330,0.07744
331,0.07231
332,0.06663
333,0.06066
334,0.05472
335,0.04913
336,0.04417
337,0.03847
338,0.03451
339,0.03290
340,0.03193
341,0.03147
342,0.03142
343,0.03169
344,0.03224
345,0.03309
346,0.03427
347,0.03591
348,0.03810
349,0.04096
350,0.04453
351,0.04875
352,0.05348
353,0.05847
354,0.06336
355,0.06785
356,0.07162
357,0.07443
358,0.07615
359,0.00000
360,0.00000
