day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.07283
5,0.07038
6,0.06752
7,0.06429
8,0.06073
9,0.05692
10,0.05292
11,0.04886
12,0.04485
13,0.04102
14,0.03748
15,0.03436
16,0.03171
17,0.02960
18,0.02753
19,0.02652
20,0.02647
21,0.02681
22,0.02746
23,0.02831
24,0.02928
25,0.03027
26,0.03121
27,0.03200
28,0.03256
29,0.03282
30,0.03273
31,0.03224
32,0.03134
33,0.03005
34,0.02840
35,0.02650
36,0.02449
37,0.02250
38,0.02068
39,0.01919
40,0.01813
41,0.01761
42,0.01766
43,0.01831
44,0.01948
45,0.02110
46,0.02303
47,0.02510
48,0.02713
49,0.02897
50,0.03051
51,0.03168
52,0.03243
53,0.03276
54,0.03242
55,0.03185
56,0.03111
57,0.03025
58,0.02931
59,0.02830
60,0.02722
61,0.02607
62,0.02483
63,0.02352
64,0.02216
65,0.02079
66,0.01947
67,0.01826
68,0.01724
69,0.01645
70,0.01597
71,0.01580
72,0.01590
73,0.01623
74,0.01673
75,0.01731
76,0.01787
77,0.01832
78,0.01858
79,0.01859
80,0.01829
81,0.01769
82,0.01677
83,0.01560
84,0.01425
85,0.01283
86,0.01142
87,0.01012
88,0.00901
89,0.00790
90,0.00744
91,0.00758
92,0.00803
93,0.00874
94,0.00967
95,0.01074
96,0.01187
97,0.01303
98,0.01418
99,0.01527
100,0.01631
101,0.01726
102,0.01811
103,0.01883
104,0.01940
105,0.01977
106,0.01991
107,0.01979
108,0.01944
109,0.01890
110,0.01823
111,0.01754
112,0.01693
113,0.01651
114,0.01639
115,0.01663
116,0.01728
117,0.01833
118,0.01975
119,0.02148
120,0.02340
121,0.02542
122,0.02746
123,0.02948
124,0.03243
125,0.03538
126,0.03746
127,0.03974
128,0.04233
129,0.04535
130,0.04896
131,0.05322
132,0.05821
133,0.06402
134,0.07074
135,0.07845
136,0.08726
137,0.09726
138,0.10857
139,0.12129
140,0.13551
141,0.15129
142,0.16874
143,0.18781
144,0.20838
145,0.23038
146,0.25374
147,0.27845
148,0.30457
149,0.33226
150,0.36174
151,0.39334
152,0.42738
153,0.46414
154,0.50382
155,0.54643
156,0.59124
157,0.63742
158,0.68385
159,0.72919
160,0.79151
161,0.84507
162,0.87231
163,0.89413
164,0.91081
165,0.92294
166,0.93136
167,0.93748
168,0.94253
169,0.94747
170,0.95296
171,0.95935
172,0.96660
173,0.97439
174,0.98214
175,0.98919
176,0.99484
177,0.99852
178,0.99981
179,0.99853
180,0.99489
181,0.98943
182,0.98276
183,0.97552
184,0.96844
185,0.96216
186,0.95712
187,0.95417
188,0.95362
189,0.95559
190,0.95991
191,0.96621
192,0.97381
193,0.98166
194,0.98877
195,0.99414
196,0.99637
197,0.99189
198,0.98343
199,0.97105
200,0.95511
201,0.93626
202,0.91533
203,0.89335
204,0.87159
205,0.85114
206,0.83300
207,0.81799
208,0.80666
209,0.79918
210,0.79533
211,0.79447
212,0.79558
213,0.79736
214,0.79837
215,0.79711
216,0.79243
217,0.78387
218,0.77140
219,0.75545
220,0.73683
221,0.71661
222,0.69591
223,0.67576
224,0.65699
225,0.64012
226,0.62535
227,0.61260
228,0.60150
229,0.59148
230,0.58214
231,0.57111
232,0.55831
233,0.54831
234,0.54123
235,0.53518
236,0.53029
237,0.52652
238,0.52361
239,0.52107
240,0.51826
241,0.51459
242,0.50964
243,0.50318
244,0.49526
245,0.48619
246,0.47652
247,0.46693
248,0.45820
249,0.45100
250,0.44595
251,0.44342
252,0.44332
253,0.44529
254,0.44877
255,0.45303
256,0.45724
257,0.46055
258,0.46216
259,0.46135
260,0.45762
261,0.45069
262,0.44052
263,0.42718
264,0.41144
265,0.39411
266,0.36863
267,0.34308
268,0.32714
269,0.31489
270,0.30549
271,0.29905
272,0.29548
273,0.29443
274,0.29553
275,0.29811
276,0.30149
277,0.30510
278,0.30841
279,0.31095
280,0.31232
281,0.31215
282,0.31022
283,0.30636
284,0.30050
285,0.29270
286,0.28312
287,0.27207
288,0.26014
289,0.24780
290,0.23552
291,0.22369
292,0.21261
293,0.20244
294,0.19323
295,0.18491
296,0.17736
297,0.17041
298,0.16393
299,0.15786
300,0.15213
301,0.14681
302,0.13981
303,0.13402
304,0.13105
305,0.12876
306,0.12710
307,0.12600
308,0.12534
309,0.12500
310,0.12486
311,0.12478
312,0.12468
313,0.12446
314,0.12409
315,0.12353
316,0.12277
317,0.12183
318,0.12073
319,0.11950
320,0.11814
321,0.11667
322,0.11505
323,0.11320
324,0.11102
325,0.10841
326,0.10526
327,0.10151
328,0.09714
329,0.09218
330,0.08675
331,0.08101
332,0.07518
333,0.06949
334,0.06416
335,0.05946
336,0.05551
337,0.05120
338,0.04854
339,0.04779
340,0.04773
341,0.04827
342,0.04936
343,0.05093
344,0.05292
345,0.05529
346,0.05797
347,0.06087
348,0.06388
349,0.06687
350,0.06971
351,0.07226
352,0.07439
353,0.07601
354,0.07704
355,0.07744
356,0.07722
357,0.07638
358,0.07496
359,0.00000
360,0.00000
