day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00506
5,0.00444
6,0.00326
7,0.00199
8,0.00105
9,0.00059
10,0.00062
11,0.00110
12,0.00202
13,0.00331
14,0.00478
15,0.00603
16,0.00653
17,0.00597
18,0.00379
19,0.00207
20,0.00192
21,0.00230
22,0.00281
23,0.00316
24,0.00323
25,0.00301
26,0.00259
27,0.00216
28,0.00191
29,0.00188
30,0.00197
31,0.00198
32,0.00184
33,0.00166
34,0.00165
35,0.00195
36,0.00248
37,0.00298
38,0.00322
39,0.00316
40,0.00296
41,0.00288
42,0.00322
43,0.00422
44,0.00585
45,0.00766
46,0.00901
47,0.00956
48,0.00951
49,0.00936
50,0.00936
51,0.00944
52,0.00967
53,0.01084
54,0.01289
55,0.01435
56,0.01550
57,0.01621
58,0.01641
59,0.01603
60,0.01516
61,0.01423
62,0.01397
63,0.01500
64,0.01745
65,0.02089
66,0.02469
67,0.02850
68,0.03247
69,0.03722
70,0.04372
71,0.05313
72,0.06622
73,0.08248
74,0.09991
75,0.11615
76,0.13043
77,0.14402
78,0.15858
79,0.17431
80,0.19033
81,0.20665
82,0.22528
83,0.25011
84,0.31875
85,0.39496
86,0.47669
87,0.56015
88,0.64089
89,0.73202
90,0.80778
91,0.85403
92,0.88909
93,0.91639
94,0.93913
95,0.95900
96,0.97623
97,0.98960
98,0.99706
99,0.99177
100,0.98262
101,0.96756
102,0.94679
103,0.92377
104,0.90361
105,0.88921
106,0.87785
107,0.86442
108,0.84755
109,0.83115
110,0.81813
111,0.80427
112,0.78122
113,0.74568
114,0.68678
115,0.64632
116,0.63553
117,0.62905
118,0.62078
119,0.61061
120,0.60160
121,0.59454
122,0.58616
123,0.57261
124,0.54672
125,0.52469
126,0.51439
127,0.50799
128,0.50355
129,0.49825
130,0.48931
131,0.47614
132,0.46132
133,0.44860
134,0.44001
135,0.43504
136,0.43196
137,0.42962
138,0.42763
139,0.42470
140,0.41840
141,0.40740
142,0.39305
143,0.37827
144,0.36513
145,0.35414
146,0.34491
147,0.33690
148,0.32983
149,0.32371
150,0.31770
151,0.31359
152,0.31087
153,0.30566
154,0.29483
155,0.27762
156,0.25652
157,0.23571
158,0.21869
159,0.20695
160,0.19728
161,0.19119
162,0.18828
163,0.18488
164,0.18011
165,0.17288
166,0.16199
167,0.14749
168,0.13202
169,0.11981
170,0.11349
171,0.11182
172,0.11071
173,0.10649
174,0.09864
175,0.08970
176,0.08262
177,0.07825
178,0.07478
179,0.07094
180,0.06595
181,0.06030
182,0.05517
183,0.05125
184,0.04820
185,0.04530
186,0.04238
187,0.03993
188,0.03861
189,0.03869
190,0.03975
191,0.04071
192,0.04050
193,0.03869
194,0.03588
195,0.03285
196,0.03307
197,0.03474
198,0.03619
199,0.03679
200,0.03669
201,0.03622
202,0.03541
203,0.03409
204,0.03210
205,0.02927
206,0.02554
207,0.02144
208,0.01824
209,0.01732
210,0.01909
211,0.02242
212,0.02576
213,0.02807
214,0.02905
215,0.02881
216,0.02761
217,0.02590
218,0.02423
219,0.02296
220,0.02206
221,0.02140
222,0.02104
223,0.02118
224,0.02182
225,0.02266
226,0.02318
227,0.02295
228,0.02172
229,0.01956
230,0.01693
231,0.01403
232,0.01376
233,0.01500
234,0.01588
235,0.01542
236,0.01375
237,0.01192
238,0.01089
239,0.01082
240,0.01123
241,0.01169
242,0.01218
243,0.01299
244,0.01428
245,0.01582
246,0.01702
247,0.01728
248,0.01639
249,0.01479
250,0.01318
251,0.01205
252,0.01141
253,0.01095
254,0.01036
255,0.00958
256,0.00879
257,0.00828
258,0.00836
259,0.00913
260,0.01029
261,0.01114
262,0.01103
263,0.00991
264,0.00838
265,0.00724
266,0.00718
267,0.00810
268,0.00841
269,0.00796
270,0.00688
271,0.00564
272,0.00478
273,0.00453
274,0.00481
275,0.00543
276,0.00619
277,0.00678
278,0.00686
279,0.00640
280,0.00566
281,0.00497
282,0.00438
283,0.00378
284,0.00316
285,0.00266
286,0.00252
287,0.00294
288,0.00397
289,0.00536
290,0.00652
291,0.00684
292,0.00612
293,0.00476
294,0.00341
295,0.00262
296,0.00245
297,0.00265
298,0.00295
299,0.00328
300,0.00369
301,0.00413
302,0.00435
303,0.00413
304,0.00401
305,0.00421
306,0.00477
307,0.00539
308,0.00567
309,0.00541
310,0.00475
311,0.00392
312,0.00306
313,0.00218
314,0.00136
315,0.00072
316,0.00033
317,0.00017
318,0.00021
319,0.00039
320,0.00066
321,0.00093
322,0.00105
323,0.00096
324,0.00072
325,0.00046
326,0.00034
327,0.00040
328,0.00062
329,0.00092
330,0.00117
331,0.00130
332,0.00133
333,0.00132
334,0.00128
335,0.00112
336,0.00083
337,0.00038
338,0.00010
339,0.00006
340,0.00010
341,0.00023
342,0.00049
343,0.00085
344,0.00122
345,0.00149
346,0.00162
347,0.00159
348,0.00141
349,0.00118
350,0.00105
351,0.00118
352,0.00159
353,0.00212
354,0.00260
355,0.00302
356,0.00355
357,0.00428
358,0.00494
359,0.00000
360,0.00000
